area_id,area_name,b19202b001,b19202b001_moe
1,Rogers Park,327862,108786
2,West Ridge,249010,149985
3,Uptown,421319,304238
4,Lincoln Square,94428,66176
5,North Center,84375,47358
6,Lake View,675891,314622
7,Lincoln Park,218822,160561
8,Near North Side,391020,222911
14,Albany Park,233072,145319
15,Portage Park,32286,27040
16,Irving Park,159392,84662
18,Montclare,17813,5821
19,Belmont Cragin,159942,67862
20,Hermosa,33389,31002
21,Avondale,239722,134603
22,Logan Square,471087,163533
23,Humboldt Park,203526,92197
24,West Town,762385,142980
25,Austin,532668,81567
26,West Garfield Park,198408,60510
27,East Garfield Park,243425,43746
28,Near West Side,649797,197164
29,North Lawndale,349982,132627
30,South Lawndale,202218,208438
31,Lower West Side,71140,217371
32,Loop,165875,84121
33,Near South Side,99144,39205
34,Armour Square,46030,93252
35,Douglas,273884,54353
36,Oakland,46919,11621
37,Fuller Park,18302,3798
38,Grand Boulevard,359281,63632
39,Kenwood,241867,32761
40,Washington Park,118523,44528
41,Hyde Park,308554,89204
42,Woodlawn,221625,34469
43,South Shore,320492,41603
44,Chatham,210626,49781
45,Avalon Park,65698,13154
46,South Chicago,187529,32464
47,Burnside,13390,2186
48,Calumet Heights,192348,45656
49,Roseland,402800,61436
50,Pullman,105570,44483
51,South Deering,66410,26923
52,East Side,96687,12371
53,West Pullman,233349,40776
54,Riverdale,21812,5137
55,Hegewisch,39556,9659
56,Garfield Ridge,27250,18549
60,Bridgeport,20990,17244
61,New City,284663,531133
63,Gage Park,36902,20126
65,West Lawn,90783,38300
66,Chicago Lawn,199319,51750
67,West Englewood,363975,88646
68,Englewood,146953,26101
69,Greater Grand Crossing,270765,50889
70,Ashburn,304374,80636
71,Auburn Gresham,272911,29982
72,Beverly,249160,39207
73,Washington Heights,219976,29978
74,Mount Greenwood,141402,161984
75,Morgan Park,187823,56659
76,O'Hare,177285,217632
77,Edgewater,366681,104535
