area_id,area_name,b07008001,b07008001_moe,b07008002,b07008002_moe,b07008003,b07008003_moe,b07008004,b07008004_moe,b07008005,b07008005_moe,b07008006,b07008006_moe,b07008007,b07008007_moe,b07008008,b07008008_moe,b07008009,b07008009_moe,b07008010,b07008010_moe,b07008011,b07008011_moe,b07008012,b07008012_moe,b07008013,b07008013_moe,b07008014,b07008014_moe,b07008015,b07008015_moe,b07008016,b07008016_moe,b07008017,b07008017_moe,b07008018,b07008018_moe,b07008019,b07008019_moe,b07008020,b07008020_moe,b07008021,b07008021_moe,b07008022,b07008022_moe,b07008023,b07008023_moe,b07008024,b07008024_moe,b07008025,b07008025_moe,b07008026,b07008026_moe,b07008027,b07008027_moe,b07008028,b07008028_moe,b07008029,b07008029_moe,b07008030,b07008030_moe,b07008031,b07008031_moe,b07008032,b07008032_moe,b07008033,b07008033_moe,b07008034,b07008034_moe,b07008035,b07008035_moe,b07008036,b07008036_moe
1,Rogers Park,47961,1713,25747,1402,14414,1144,4494,474,1464,354,1842,364,36148,1585,18038,1142,11717,1027,3790,443,1031,294,1572,336,7986,1030,4983,759,1862,456,511,169,370,179,260,142,478,172,418,163,30,65,23,51,7,48,0,48,2077,376,1626,351,253,125,132,88,56,79,10,51,1272,446,682,315,552,273,38,54,0,48,0,48
2,West Ridge,57178,1916,20338,1424,28427,1415,3990,495,986,280,3437,460,49437,1877,17322,1311,24484,1327,3571,479,904,269,3156,443,5673,922,2280,578,2759,658,387,135,82,86,165,89,267,160,65,75,181,145,0,51,0,51,21,54,642,263,332,170,278,201,32,56,0,51,0,51,1159,420,339,176,725,299,0,51,0,51,95,109
3,Uptown,49323,1420,25547,1225,14524,1074,5285,576,1191,291,2776,419,38321,1386,18551,1111,11987,943,4467,529,958,278,2358,382,7833,793,4921,636,1771,416,625,193,181,92,335,153,539,160,331,114,41,69,77,82,42,59,48,68,2024,470,1291,304,581,295,107,67,10,48,35,53,606,243,453,208,144,137,9,48,0,48,0,48
4,Lincoln Square,33118,1023,14091,838,14635,937,2572,379,772,245,1048,219,26616,1069,10457,749,12372,868,2098,352,736,241,953,210,4989,736,2738,502,1796,420,371,169,36,46,48,46,283,152,160,105,62,107,46,57,0,40,15,42,1030,239,635,164,306,166,57,63,0,40,32,65,200,122,101,98,99,82,0,40,0,40,0,40
5,North Center,27674,850,12230,783,12808,692,1523,250,299,126,814,202,21840,854,8527,655,10954,655,1376,238,214,111,769,197,4797,606,3057,521,1506,324,104,70,85,76,45,57,237,122,184,114,48,61,5,42,0,43,0,43,704,206,395,153,271,126,38,57,0,43,0,43,96,86,67,83,29,49,0,43,0,43,0,43
6,Lake View,87406,1504,53502,1559,26549,1201,4862,503,525,169,1968,289,60032,1560,31961,1382,22151,1117,3663,442,354,148,1903,287,17191,1149,13265,1049,2805,457,943,256,134,97,44,68,2319,440,1902,381,350,250,39,71,18,72,10,67,6471,648,5349,586,896,256,205,115,10,67,11,68,1393,399,1025,357,347,171,12,67,9,65,0,66
7,Lincoln Park,56663,1342,32586,1318,18802,1077,3433,402,451,148,1391,238,38878,1286,18466,1018,16097,992,2719,339,332,134,1264,221,11286,970,8748,836,1718,434,588,195,106,74,126,88,1472,322,1252,294,195,128,24,56,0,51,1,49,4311,591,3621,551,596,228,81,63,13,51,0,51,716,236,499,193,196,120,21,52,0,51,0,51
8,Near North Side,75100,1587,37012,1458,26704,1499,7890,675,551,213,2943,395,55724,1624,23452,1222,22660,1322,6481,608,397,185,2734,387,10728,974,7316,782,2164,525,1028,276,49,67,171,108,1719,430,1415,405,144,108,118,102,42,86,0,54,5490,843,4007,659,1132,539,250,143,63,86,38,62,1439,396,822,281,604,278,13,57,0,54,0,54
9,Edison Park,9249,434,2860,341,4703,363,848,238,82,62,756,148,8622,418,2594,329,4580,364,696,185,34,37,718,145,431,160,171,115,104,79,103,81,48,54,5,24,9,27,9,27,0,25,0,25,0,25,0,25,175,159,80,89,13,32,49,76,0,25,33,52,12,27,6,26,6,24,0,25,0,25,0,25
10,Norwood Park,30770,899,8191,672,16122,834,2822,385,371,145,3264,393,29140,953,7689,673,15524,808,2539,372,240,116,3148,393,1246,323,284,129,517,233,271,125,110,88,64,54,102,75,68,68,31,49,0,39,0,39,3,36,189,91,98,62,27,48,12,42,19,46,33,50,93,57,52,48,23,44,0,39,2,37,16,45
11,Jefferson Park,21805,961,7185,701,11053,726,1806,294,332,148,1429,236,19903,982,6414,666,10193,702,1608,278,281,139,1407,234,1471,390,593,219,672,268,162,105,41,55,3,30,52,63,52,63,0,29,0,29,0,29,0,29,304,333,119,136,139,198,36,52,10,32,0,29,75,83,7,29,49,77,0,29,0,29,19,41
12,Forest Glen,14823,500,3824,436,9068,464,830,185,76,59,1025,197,13530,549,3315,419,8434,448,739,171,51,46,991,195,950,269,304,143,530,239,82,64,0,29,34,37,92,77,67,67,0,29,0,29,25,47,0,29,164,100,92,76,63,66,9,31,0,29,0,29,87,69,46,55,41,45,0,29,0,29,0,29
13,North Park,15254,777,5271,620,7047,567,1620,287,266,129,1050,220,13138,793,4190,518,6297,585,1452,280,216,122,983,215,1492,424,665,314,600,246,150,84,33,41,44,43,286,248,239,246,13,31,18,25,0,27,16,27,147,79,89,61,51,53,0,27,0,27,7,25,191,106,88,72,86,73,0,27,17,34,0,27
14,Albany Park,42619,1577,18071,1132,18508,1138,3175,463,960,263,1905,350,34691,1591,13725,1059,16064,1088,2397,393,742,225,1763,337,6246,1013,3295,687,1973,465,644,231,192,139,142,91,369,186,185,123,104,106,80,112,0,45,0,45,850,224,606,182,244,155,0,45,0,45,0,45,463,176,260,130,123,91,54,86,26,60,0,45
15,Portage Park,51400,1395,18604,1061,23821,1124,4569,537,1163,274,3243,374,46092,1490,15510,980,22532,1112,4063,505,956,244,3031,355,4260,723,2511,532,948,312,443,181,197,140,161,88,273,182,192,140,69,121,12,50,0,47,0,47,549,245,243,137,194,150,51,66,10,49,51,92,226,151,148,118,78,82,0,47,0,47,0,47
16,Irving Park,44952,1531,17301,1159,20285,1185,4010,493,1186,259,2170,318,38881,1595,14137,1076,18357,1174,3335,439,993,244,2059,306,4735,651,2429,441,1477,379,542,167,176,115,111,87,238,118,101,79,60,72,62,76,15,53,0,47,757,336,386,264,298,173,71,83,2,46,0,47,341,195,248,162,93,117,0,47,0,47,0,47
17,Dunning,35878,1019,11403,747,18336,822,2809,377,428,120,2902,323,33608,1009,10476,721,17292,800,2659,376,380,114,2801,318,1900,429,801,231,861,279,114,69,23,41,101,64,132,77,74,59,40,57,18,43,0,40,0,40,143,96,46,65,54,70,18,47,25,46,0,40,95,69,6,39,89,65,0,40,0,40,0,40
18,Montclare,9852,627,3315,425,4669,496,741,179,239,113,888,187,8792,611,2859,380,4239,488,716,178,188,96,790,178,827,288,412,181,300,179,12,24,19,33,84,79,46,55,0,23,0,23,0,23,32,53,14,26,74,63,14,21,60,59,0,23,0,23,0,23,113,81,30,40,70,70,13,26,0,23,0,23
19,Belmont Cragin,58320,1903,24344,1436,24672,1255,4696,510,2028,344,2580,321,53207,1955,21909,1375,22786,1226,4136,496,1834,336,2542,319,4266,781,2023,567,1538,410,486,176,181,98,38,56,13,55,13,55,0,52,0,52,0,52,0,52,420,197,181,120,198,137,41,75,0,52,0,52,414,188,218,116,150,108,33,65,13,54,0,52
