area_id,area_name,b01002g001,b01002g001_moe,b01002g002,b01002g002_moe,b01002g003,b01002g003_moe
1,Rogers Park,214,65,276,69,183,85
2,West Ridge,231,132,221,186,179,95
3,Uptown,214,45,162,89,234,67
4,Lincoln Square,134,63,112,127,145,55
5,North Center,96,76,171,183,132,99
6,Lake View,207,62,204,109,224,91
7,Lincoln Park,190,75,223,97,138,54
8,Near North Side,271,97,313,149,269,92
9,Edison Park,25,17,26,14,16,13
10,Norwood Park,51,72,30,82,77,49
11,Jefferson Park,146,41,81,88,188,42
12,Forest Glen,22,46,26,36,51,87
13,North Park,39,32,33,17,77,42
14,Albany Park,206,43,200,47,201,97
15,Portage Park,218,65,214,68,284,65
16,Irving Park,166,55,218,85,142,56
17,Dunning,122,50,116,34,147,76
18,Montclare,12,35,2,17,32,19
19,Belmont Cragin,206,83,206,88,248,104
20,Hermosa,81,30,126,83,89,35
21,Avondale,146,63,147,94,125,59
22,Logan Square,254,69,199,98,269,120
23,Humboldt Park,194,64,227,124,195,88
24,West Town,289,101,298,181,278,110
25,Austin,161,52,165,64,152,108
28,Near West Side,233,79,222,94,295,86
29,North Lawndale,32,18,17,6,64,38
30,South Lawndale,92,27,72,44,113,31
31,Lower West Side,139,28,130,100,138,30
32,Loop,132,56,136,48,93,88
33,Near South Side,22,79,9,111,68,94
34,Armour Square,45,45,41,11,71,16
35,Douglas,57,38,68,86,50,33
38,Grand Boulevard,33,32,59,75,33,17
39,Kenwood,84,16,114,104,86,23
40,Washington Park,26,26,12,30,26,19
41,Hyde Park,206,64,197,35,198,89
42,Woodlawn,63,98,84,64,33,139
43,South Shore,280,113,253,84,285,151
44,Chatham,44,42,37,20,58,59
46,South Chicago,24,2,21,0,25,18
49,Roseland,36,32,33,16,123,47
51,South Deering,71,9,60,30,73,6
52,East Side,134,49,124,43,114,37
53,West Pullman,15,3,12,0,16,22
55,Hegewisch,33,11,44,49,62,1
56,Garfield Ridge,116,21,122,31,98,70
57,Archer Heights,35,31,41,22,12,10
58,Brighton Park,44,40,44,52,47,0
59,McKinley Park,82,49,79,60,80,55
60,Bridgeport,109,52,114,30,98,85
61,New City,79,35,42,99,76,37
62,West Elsdon,41,22,41,37,30,4
63,Gage Park,37,23,50,15,38,48
64,Clearing,25,38,47,3,42,25
65,West Lawn,78,36,47,60,87,49
66,Chicago Lawn,116,70,111,71,94,108
67,West Englewood,77,9,99,5,59,72
69,Greater Grand Crossing,79,101,117,56,56,112
70,Ashburn,58,77,69,105,95,57
71,Auburn Gresham,12,2,12,0,10,7
72,Beverly,58,20,49,11,65,12
74,Mount Greenwood,24,36,22,81,44,49
75,Morgan Park,115,19,91,26,121,24
77,Edgewater,233,83,207,90,207,77
