area_id,area_name,b16007001,b16007001_moe,b16007002,b16007002_moe,b16007003,b16007003_moe,b16007004,b16007004_moe,b16007005,b16007005_moe,b16007006,b16007006_moe,b16007007,b16007007_moe,b16007008,b16007008_moe,b16007009,b16007009_moe,b16007010,b16007010_moe,b16007011,b16007011_moe,b16007012,b16007012_moe,b16007013,b16007013_moe,b16007014,b16007014_moe,b16007015,b16007015_moe,b16007016,b16007016_moe,b16007017,b16007017_moe,b16007018,b16007018_moe,b16007019,b16007019_moe
58,Brighton Park,39912,1657,10341,839,1465,365,8525,795,14,57,337,122,0,43,26792,1158,3879,512,20590,1188,370,180,1912,358,41,80,2779,322,1026,185,1228,250,344,124,181,92,0,43
59,McKinley Park,15157,841,3297,452,1144,317,1783,342,0,25,370,121,0,25,10581,612,2885,399,5708,578,138,89,1760,312,90,92,1279,178,580,151,434,141,115,58,150,77,0,25
60,Bridgeport,30800,1265,5269,596,2607,410,1250,377,57,65,1345,259,10,36,22273,959,9878,653,3927,572,736,228,7680,795,52,68,3258,377,1557,220,652,236,156,77,893,225,0,37
61,New City,37869,1701,9589,775,4651,604,4745,544,26,54,131,67,36,75,25733,1259,12198,1041,12973,889,152,84,322,115,88,73,2547,298,1563,223,825,191,155,98,4,46,0,47
62,West Elsdon,17491,974,3942,554,574,222,3319,548,40,40,0,27,9,27,11817,641,2382,425,8273,715,940,322,184,102,38,50,1732,241,764,146,598,184,326,127,34,33,10,33
63,Gage Park,36045,1597,9633,741,1194,303,8413,694,0,41,26,46,0,41,24181,1207,2902,491,21036,1245,60,51,163,121,20,50,2231,283,790,157,1289,251,90,58,48,54,14,41
64,Clearing,21062,871,3886,422,2212,365,1442,317,157,99,26,51,49,81,14180,709,8172,719,4550,508,1241,285,140,188,77,73,2996,275,1888,214,376,196,732,239,0,31,0,31
65,West Lawn,30301,1156,7645,675,1708,426,5862,633,75,95,0,34,0,34,19888,878,4845,563,14544,975,393,156,46,47,60,59,2768,328,1646,249,876,244,230,94,16,41,0,34
66,Chicago Lawn,49130,1912,13023,1001,7141,795,5844,673,32,63,0,49,6,47,32556,1342,19573,1089,12391,971,221,127,255,262,116,104,3551,365,2570,317,712,194,184,101,85,76,0,49
67,West Englewood,32712,1463,7443,721,7257,712,172,134,9,49,0,48,5,47,20919,1069,20179,1055,564,266,91,89,15,52,70,84,4350,321,4281,317,68,58,1,47,0,48,0,48
68,Englewood,26388,1353,6353,674,6266,675,87,74,0,36,0,36,0,36,16586,993,16285,995,196,112,54,66,19,39,32,50,3449,336,3402,335,35,44,0,36,4,36,8,37
69,Greater Grand Crossing,30392,1401,6684,742,6544,738,113,80,27,46,0,38,0,38,19391,948,18914,957,194,103,98,66,64,70,121,78,4317,322,4221,320,43,48,21,47,4,37,28,54
70,Ashburn,40020,1447,8835,744,5621,702,3060,392,32,45,28,49,94,113,26983,1078,19212,1076,7126,709,229,103,27,42,389,234,4202,293,3660,300,334,137,169,103,0,41,39,51
71,Auburn Gresham,46201,1725,9947,847,9656,838,267,127,24,51,0,46,0,46,28861,1254,28263,1242,350,147,69,69,50,76,129,129,7393,453,7305,453,27,49,39,50,22,51,0,46
72,Beverly,19816,776,4413,383,4120,388,199,86,88,72,5,28,1,27,12632,554,11965,549,391,155,214,96,5,28,57,75,2771,229,2581,232,76,64,103,62,11,33,0,29
73,Washington Heights,24742,1067,4405,506,4237,505,42,52,126,200,0,33,0,33,14933,814,14494,827,176,91,195,128,0,33,68,72,5404,309,5341,318,22,42,5,33,1,29,35,62
74,Mount Greenwood,17274,748,3448,448,3232,431,108,78,68,56,40,65,0,25,11680,501,11228,498,220,92,112,66,86,66,34,47,2146,222,2050,227,9,27,63,52,24,42,0,25
75,Morgan Park,21530,1031,4282,593,4134,576,97,73,51,55,0,31,0,31,13544,702,13027,665,227,116,240,97,50,69,0,31,3704,293,3457,297,66,48,175,108,6,30,0,31
76,O'Hare,12369,856,1241,440,325,169,190,118,475,256,34,59,217,303,9534,683,2927,466,1138,417,4102,640,704,355,663,389,1594,362,723,192,323,317,486,176,30,55,32,62
77,Edgewater,52702,1597,3934,616,1941,430,1193,380,310,138,385,209,105,93,42158,1339,27380,1189,5128,811,4619,612,3016,595,2015,447,6610,477,4203,412,394,149,1350,275,492,185,171,112
