Selected Monthly Owner Costs
----------------------------
Universe: Owner-occupied Housing Units

B25094001 Total:
B25094002  Less than $100
B25094003  $100 to $199
B25094004  $200 to $299
B25094005  $300 to $399
B25094006  $400 to $499
B25094007  $500 to $599
B25094008  $600 to $699
B25094009  $700 to $799
B25094010  $800 to $899
B25094011  $900 to $999
B25094012  $1,000 to $1,499
B25094013  $1,500 to $1,999
B25094014  $2,000 or more
