area_id,area_name,b05010001,b05010001_moe,b05010002,b05010002_moe,b05010003,b05010003_moe,b05010004,b05010004_moe,b05010005,b05010005_moe,b05010006,b05010006_moe,b05010007,b05010007_moe,b05010008,b05010008_moe,b05010009,b05010009_moe,b05010010,b05010010_moe,b05010011,b05010011_moe,b05010012,b05010012_moe,b05010013,b05010013_moe,b05010014,b05010014_moe,b05010015,b05010015_moe,b05010016,b05010016_moe,b05010017,b05010017_moe,b05010018,b05010018_moe,b05010019,b05010019_moe,b05010020,b05010020_moe,b05010021,b05010021_moe,b05010022,b05010022_moe,b05010023,b05010023_moe,b05010024,b05010024_moe,b05010025,b05010025_moe
1,Rogers Park,10781,1006,3640,773,1624,586,181,192,1443,555,0,48,2016,616,1341,485,675,317,2949,620,1509,490,78,106,1322,463,109,145,1440,383,879,332,561,229,4192,547,3177,499,1951,402,780,290,446,194,1015,292,829,262,186,134
2,West Ridge,18510,1433,5390,1180,3322,993,614,575,2541,778,167,179,2068,686,1116,450,952,528,5444,995,4454,904,1258,584,2864,651,332,232,990,417,575,358,415,215,7676,841,6480,811,2645,505,2471,521,1364,489,1196,302,543,207,653,233
3,Uptown,6206,807,1794,499,758,363,0,48,758,363,0,48,1036,348,795,318,241,134,1343,552,840,528,313,238,486,473,41,81,503,228,339,210,164,97,3069,464,2156,381,1451,387,396,197,309,148,913,292,495,195,418,232
4,Lincoln Square,6150,685,1009,468,722,422,118,136,604,402,0,40,287,163,155,99,132,136,1330,436,707,247,81,82,489,189,137,155,623,369,146,199,477,313,3811,480,3267,439,2261,358,367,151,639,259,544,205,459,193,85,80
5,North Center,6158,547,98,69,56,60,56,60,0,43,0,43,42,53,42,53,0,43,243,133,131,102,28,58,48,88,55,54,112,95,80,86,32,56,5817,538,5327,526,4502,451,259,144,566,277,490,168,415,152,75,82
6,Lake View,9751,699,683,253,199,123,121,117,43,71,35,73,484,235,345,207,139,132,960,346,725,286,401,244,269,148,55,92,235,214,46,76,189,211,8108,643,7542,629,5992,589,696,229,854,199,566,195,528,190,38,78
7,Lincoln Park,8732,835,494,213,130,129,32,62,12,54,86,122,364,186,351,186,13,52,365,159,194,132,142,106,52,94,0,51,171,101,147,94,24,62,7873,817,7188,807,5424,747,724,238,1040,291,685,207,620,201,65,66
8,Near North Side,5754,724,1703,532,74,100,0,54,37,81,37,80,1629,525,1600,523,29,70,447,200,231,137,61,78,170,138,0,54,216,154,202,146,14,58,3604,552,3097,545,1936,438,797,319,364,187,507,203,413,186,94,85
9,Edison Park,2255,249,56,60,34,57,34,57,0,25,0,25,22,31,22,31,0,25,150,125,85,78,85,78,0,25,0,25,65,100,65,100,0,25,2049,260,1769,234,1533,276,69,86,167,127,280,154,273,153,7,25
10,Norwood Park,7290,694,339,205,232,182,132,142,100,119,0,39,107,102,31,53,76,96,822,348,277,148,85,86,133,105,59,86,545,311,486,302,59,84,6129,683,5445,673,3346,548,1212,506,887,378,684,282,357,190,327,211
11,Jefferson Park,5692,648,503,247,146,115,0,29,112,104,34,59,357,235,227,169,130,165,1072,369,737,318,239,184,366,223,132,118,335,182,244,166,91,82,4117,603,3584,587,1908,418,1095,435,581,250,533,230,479,225,54,46
12,Forest Glen,4401,340,360,210,166,152,0,29,40,39,126,149,194,147,194,147,0,29,413,203,368,192,61,75,238,159,69,100,45,84,45,84,0,29,3628,346,3336,326,2526,326,256,145,554,223,292,139,292,139,0,29
13,North Park,4166,568,529,249,331,219,0,27,331,219,0,27,198,131,30,39,168,127,1047,373,737,330,200,223,532,344,5,44,310,166,168,135,142,105,2590,454,2052,398,968,289,879,283,205,111,538,236,178,85,360,220
14,Albany Park,12894,1079,3786,875,2162,592,192,152,1887,560,83,101,1624,629,734,471,890,438,4012,685,2307,488,115,98,1786,467,406,214,1705,486,488,212,1217,428,5096,724,3837,638,1850,429,1392,431,595,287,1259,332,431,186,828,280
15,Portage Park,13909,1047,2892,765,772,350,17,53,574,318,181,152,2120,692,1642,628,478,275,3303,687,2306,570,502,338,1466,448,338,220,997,372,581,298,416,228,7714,710,5994,647,2816,454,2143,482,1035,303,1720,373,1170,299,550,223
16,Irving Park,12704,943,2467,652,959,357,258,242,676,265,25,61,1508,580,834,449,674,356,3287,631,2264,520,568,250,1529,456,167,128,1023,356,592,243,431,265,6950,720,5196,653,2842,426,1163,314,1191,461,1754,458,1129,320,625,326
