area_id,area_name,c23002i001,c23002i001_moe,c23002i002,c23002i002_moe,c23002i003,c23002i003_moe,c23002i004,c23002i004_moe,c23002i005,c23002i005_moe,c23002i006,c23002i006_moe,c23002i007,c23002i007_moe,c23002i008,c23002i008_moe,c23002i009,c23002i009_moe,c23002i010,c23002i010_moe,c23002i011,c23002i011_moe,c23002i012,c23002i012_moe,c23002i013,c23002i013_moe,c23002i014,c23002i014_moe,c23002i015,c23002i015_moe,c23002i016,c23002i016_moe,c23002i017,c23002i017_moe,c23002i018,c23002i018_moe,c23002i019,c23002i019_moe,c23002i020,c23002i020_moe,c23002i021,c23002i021_moe,c23002i022,c23002i022_moe,c23002i023,c23002i023_moe,c23002i024,c23002i024_moe,c23002i025,c23002i025_moe,c23002i026,c23002i026_moe,c23002i027,c23002i027_moe
1,Rogers Park,10116,1148,5759,755,5574,747,4831,701,0,48,4831,701,4497,689,334,140,743,342,185,97,53,57,39,55,14,50,132,84,4357,613,4088,597,2631,460,0,48,2631,460,2363,452,268,131,1457,302,269,133,37,53,37,53,0,48,232,126
2,West Ridge,10727,1432,5563,826,4927,777,4124,699,0,51,4124,699,3897,685,227,130,803,316,636,237,162,157,146,154,16,57,474,191,5164,749,4440,691,2757,477,0,51,2757,477,2427,456,330,152,1683,428,724,250,59,82,59,82,0,51,665,240
3,Uptown,6048,857,3457,573,3344,568,2715,511,0,48,2715,511,2394,473,321,161,629,224,113,70,53,58,40,56,13,49,60,56,2591,448,2269,426,1515,336,0,48,1515,336,1376,311,139,99,754,269,322,149,52,81,52,81,0,48,270,133
4,Lincoln Square,5623,800,2851,494,2596,482,2238,430,0,40,2238,430,2032,409,206,152,358,164,255,115,93,79,69,69,24,55,162,100,2772,435,2483,413,1822,368,0,40,1822,368,1578,341,244,147,661,199,289,168,108,132,108,132,0,40,181,109
5,North Center,3866,614,1924,382,1689,366,1304,295,0,43,1304,295,1153,278,151,87,385,145,235,105,18,49,18,49,0,43,217,102,1942,347,1607,327,1170,235,0,43,1170,235,1117,225,53,55,437,168,335,149,22,47,22,47,0,43,313,146
6,Lake View,6273,673,3128,423,2958,414,2633,395,0,66,2633,395,2452,386,181,106,325,155,170,88,10,67,10,67,0,66,160,88,3145,460,2827,450,2314,408,0,66,2314,408,2184,388,130,98,513,172,318,120,54,82,54,82,0,66,264,109
7,Lincoln Park,3286,511,1687,367,1566,363,1253,348,0,51,1253,348,1206,346,47,56,313,138,121,71,19,52,11,52,8,51,102,70,1599,294,1321,269,932,232,0,51,932,232,797,218,135,86,389,128,278,113,25,53,25,53,0,51,253,111
8,Near North Side,4154,711,1935,456,1766,439,1396,389,0,54,1396,389,1301,380,95,106,370,189,169,132,35,66,35,66,0,54,134,126,2219,473,2051,465,1438,405,0,54,1438,405,1375,403,63,70,613,206,168,90,38,62,38,62,0,54,130,84
9,Edison Park,352,133,122,72,110,70,84,55,0,25,84,55,84,55,0,25,26,48,12,26,12,26,12,26,0,25,0,25,230,95,179,88,145,83,0,25,145,83,118,73,27,36,34,38,51,51,0,25,0,25,0,25,51,51
10,Norwood Park,3293,604,1539,345,1459,339,1363,332,6,41,1357,332,1320,335,37,60,96,62,80,57,0,39,0,39,0,39,80,57,1754,400,1570,402,1185,348,0,39,1185,348,1074,339,111,67,385,136,184,76,0,39,0,39,0,39,184,76
11,Jefferson Park,3483,592,1705,318,1652,313,1602,293,0,29,1602,293,1348,260,254,136,50,61,53,46,9,31,0,29,9,31,44,46,1778,397,1708,399,1275,359,0,29,1275,359,1154,334,121,88,433,129,70,56,0,29,0,29,0,29,70,56
12,Forest Glen,1525,331,754,189,669,180,602,166,0,29,602,166,548,160,54,54,67,54,85,68,37,42,25,38,12,33,48,60,771,188,712,182,606,166,0,29,606,166,588,163,18,39,106,68,59,59,18,37,18,37,0,29,41,53
13,North Park,2536,536,1309,314,1194,297,944,264,0,27,944,264,872,253,72,58,250,156,115,71,56,52,40,48,16,34,59,53,1227,290,1095,277,799,229,0,27,799,229,733,217,66,51,296,140,132,84,21,31,21,31,0,27,111,83
14,Albany Park,19991,1570,11188,1028,10904,1038,9694,964,0,45,9694,964,8783,900,911,287,1210,284,284,105,147,79,147,79,0,45,137,79,8803,851,8240,833,5381,718,0,45,5381,718,4448,658,933,266,2859,400,563,193,126,126,126,126,0,45,437,150
15,Portage Park,18659,1319,9024,734,8521,720,7337,646,0,47,7337,646,6414,610,923,230,1184,274,503,172,133,94,133,94,0,47,370,148,9635,855,9083,816,6714,716,0,47,6714,716,5628,596,1086,324,2369,413,552,170,123,93,123,93,0,47,429,149
16,Irving Park,18194,1375,9577,914,8987,889,7772,840,0,47,7772,840,7033,796,739,219,1215,313,590,182,148,90,148,90,0,47,442,165,8617,710,8026,704,5644,618,0,47,5644,618,4881,588,763,218,2382,393,591,169,56,54,48,55,8,46,535,168
17,Dunning,7264,691,3657,432,3388,423,2816,383,0,40,2816,383,2616,348,200,116,572,144,269,105,41,66,41,66,0,40,228,93,3607,436,3189,405,2481,371,0,40,2481,371,2171,346,310,118,708,163,418,120,26,52,7,41,19,52,392,117
18,Montclare,4430,570,2166,313,2024,292,1669,237,0,23,1669,237,1419,216,250,97,355,130,142,95,54,77,54,77,0,23,88,58,2264,335,1976,303,1422,250,0,23,1422,250,1149,209,273,120,554,182,288,131,11,23,11,23,0,23,277,130
19,Belmont Cragin,41956,1837,21471,1157,20399,1133,17007,1012,0,52,17007,1012,14485,926,2522,409,3392,490,1072,224,162,96,156,96,6,52,910,208,20485,988,19206,971,12342,764,0,52,12342,764,10435,729,1907,330,6864,669,1279,233,188,106,188,106,0,52,1091,213
20,Hermosa,16330,1021,8041,652,7449,626,6146,541,0,29,6146,541,5582,516,564,174,1303,327,592,174,175,109,137,107,38,66,417,137,8289,624,7538,591,4988,477,0,29,4988,477,3977,423,1011,252,2550,373,751,191,51,48,51,48,0,29,700,183
21,Avondale,20380,1598,10917,963,10367,950,8968,901,0,38,8968,901,8324,868,644,204,1399,282,550,170,81,59,81,59,0,38,469,160,9463,895,8604,857,5006,571,0,38,5006,571,4451,556,555,196,3598,628,859,216,94,95,94,95,0,38,765,198
22,Logan Square,27012,1518,13678,936,12444,925,9584,812,0,57,9584,812,8495,766,1089,250,2860,458,1234,238,231,122,231,122,0,57,1003,210,13334,848,11712,812,6977,618,0,57,6977,618,6140,601,837,207,4735,537,1622,251,221,109,216,108,5,57,1401,232
23,Humboldt Park,20126,1234,9718,751,9089,738,6268,668,0,51,6268,668,5730,631,538,183,2821,404,629,162,57,61,57,61,0,51,572,160,10408,741,9584,730,5340,511,0,51,5340,511,4413,466,927,232,4244,543,824,182,42,53,42,53,0,51,782,184
24,West Town,18701,1248,9195,754,8094,726,6143,580,0,62,6143,580,5315,540,828,203,1951,341,1101,220,130,99,130,99,0,62,971,207,9506,726,8195,685,5249,513,0,62,5249,513,4742,473,507,187,2946,417,1311,204,90,76,82,76,8,63,1221,197
25,Austin,5888,831,2875,455,2660,437,2309,397,0,61,2309,397,2127,377,182,118,351,133,215,112,27,73,27,73,0,61,188,106,3013,484,2827,460,1736,330,0,61,1736,330,1556,303,180,96,1091,252,186,96,18,66,18,66,0,61,168,90
26,West Garfield Park,178,127,124,90,117,90,78,82,0,35,78,82,68,82,10,34,39,51,7,35,0,35,0,35,0,35,7,35,54,51,54,51,49,52,0,35,49,52,49,52,0,35,5,34,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,266,107,127,66,126,66,67,54,0,38,67,54,53,54,14,38,59,53,1,37,0,38,0,38,0,38,1,37,139,75,134,74,115,70,0,38,115,70,91,67,24,40,19,38,5,37,0,38,0,38,0,38,5,37
28,Near West Side,3901,486,1956,329,1940,329,1341,258,0,52,1341,258,1232,244,109,83,599,202,16,51,4,50,4,50,0,52,12,52,1945,284,1774,267,1385,239,0,52,1385,239,1217,220,168,109,389,130,171,86,28,66,28,66,0,52,143,76
29,North Lawndale,1340,333,817,273,804,274,643,255,0,43,643,255,541,222,102,78,161,112,13,45,0,43,0,43,0,43,13,45,523,143,488,136,328,117,0,43,328,117,279,101,49,58,160,87,35,49,0,43,0,43,0,43,35,49
30,South Lawndale,42206,1589,23122,1093,21755,1082,17162,975,17,54,17145,974,14559,903,2586,386,4593,488,1367,237,222,95,205,92,17,51,1145,218,19084,866,17470,840,9676,667,0,48,9676,667,7991,593,1685,309,7794,590,1614,262,167,94,150,85,17,55,1447,249
