area_id,area_name,b19313h001,b19313h001_moe
1,Rogers Park,773389000,51993245
2,West Ridge,992512400,170862809
3,Uptown,1419328200,81018487
4,Lincoln Square,1125749600,72170538
5,North Center,1696466500,112680872
6,Lake View,5038237600,191625360
7,Lincoln Park,4204059400,220459304
8,Near North Side,5977419600,332520507
9,Edison Park,428262200,30636068
10,Norwood Park,1056402400,50430942
11,Jefferson Park,546156900,40355074
12,Forest Glen,655688600,57766578
13,North Park,323067600,37166238
14,Albany Park,536169800,45862203
15,Portage Park,976789900,50215347
16,Irving Park,922682700,51988899
17,Dunning,839660600,41687817
18,Montclare,141911400,23551200
19,Belmont Cragin,295134200,30883752
20,Hermosa,59830700,14383513
21,Avondale,359129000,30356650
22,Logan Square,1540196400,71272836
23,Humboldt Park,91276700,16697102
24,West Town,2806936200,107602922
25,Austin,148395800,20169627
26,West Garfield Park,3703300,2451695
27,East Garfield Park,17398500,6896747
28,Near West Side,1518326200,98712367
29,North Lawndale,14950000,6410205
30,South Lawndale,42577800,12293312
31,Lower West Side,147513600,20436976
32,Loop,1235191200,191623502
33,Near South Side,675591300,82056651
34,Armour Square,49095300,10638873
35,Douglas,61162800,16783358
36,Oakland,6952700,5800255
37,Fuller Park,576500,746480
38,Grand Boulevard,40463800,16016308
39,Kenwood,204040400,40859017
41,Hyde Park,555824900,54517336
42,Woodlawn,37283500,8366320
43,South Shore,27140000,17559873
44,Chatham,3302100,3654912
45,Avalon Park,7514600,8290736
46,South Chicago,17342400,6776282
48,Calumet Heights,6842800,3669079
49,Roseland,7782100,4614998
50,Pullman,21956000,6227536
51,South Deering,16215900,5628744
52,East Side,112625800,21568671
53,West Pullman,10658800,10221440
55,Hegewisch,135370000,22003651
56,Garfield Ridge,567832500,33509267
57,Archer Heights,67325800,11855946
58,Brighton Park,79586300,12277668
59,McKinley Park,69044600,12240955
60,Bridgeport,342969600,26400697
61,New City,129863700,14864496
62,West Elsdon,80213800,12051707
63,Gage Park,47539000,10833996
64,Clearing,360458100,25809061
65,West Lawn,155009400,20240713
66,Chicago Lawn,41807500,9816942
67,West Englewood,4715400,2769219
68,Englewood,1997800,1319999
69,Greater Grand Crossing,2906800,1462116
70,Ashburn,201333200,26029773
71,Auburn Gresham,324300,339711
72,Beverly,541577200,35101456
73,Washington Heights,5406000,4587257
74,Mount Greenwood,587476600,32804821
75,Morgan Park,254061600,22781653
76,O'Hare,265980700,32241660
77,Edgewater,1274952600,75451702
