area_id,area_name,b11002001,b11002001_moe,b11002002,b11002002_moe,b11002003,b11002003_moe,b11002004,b11002004_moe,b11002005,b11002005_moe,b11002006,b11002006_moe,b11002007,b11002007_moe,b11002008,b11002008_moe,b11002009,b11002009_moe,b11002010,b11002010_moe,b11002011,b11002011_moe,b11002012,b11002012_moe
65,West Lawn,32935,1269,30796,1413,22037,1483,21862,1485,175,120,3254,882,2828,760,426,189,5505,1015,5139,962,366,153,2139,330
66,Chicago Lawn,54585,2223,50073,2299,23786,2006,23359,1913,427,371,5512,1193,4909,1079,603,212,20775,1906,19935,1841,840,234,4512,533
67,West Englewood,35043,1617,31740,1714,8853,1103,8740,1082,113,89,3142,668,2865,614,277,119,19745,1565,18951,1509,794,219,3303,396
68,Englewood,28684,1517,24443,1575,4704,747,4627,731,77,84,2046,658,1949,630,97,85,17693,1497,17033,1424,660,229,4241,442
69,Greater Grand Crossing,32405,1519,26124,1677,5270,801,5236,794,34,49,2836,743,2586,669,250,126,18018,1561,17479,1510,539,169,6281,518
70,Ashburn,42292,1588,39121,1783,26070,1979,25731,1971,339,218,2877,802,2606,723,271,132,10174,1512,9617,1416,557,224,3171,456
71,Auburn Gresham,49561,1881,42775,2042,12713,1474,12660,1465,53,74,3526,858,3272,813,254,139,26536,1966,25558,1889,978,275,6786,564
72,Beverly,21203,812,18596,909,14757,958,14746,958,11,32,978,333,888,303,90,71,2861,593,2766,577,95,84,2607,276
73,Washington Heights,25804,1155,22250,1251,8839,1088,8774,1084,65,68,2219,645,2031,585,188,112,11192,1073,10876,1029,316,152,3554,415
74,Mount Greenwood,17907,771,15689,863,13156,922,13152,924,4,26,1017,459,958,428,59,68,1516,407,1453,386,63,57,2218,311
75,Morgan Park,22280,1067,18820,1236,10748,969,10704,961,44,53,1042,535,1002,522,40,47,7030,1137,6679,1092,351,150,3460,432
76,O'Hare,13674,1091,10506,1275,8004,1252,8004,1252,0,38,1314,626,1258,571,56,79,1188,449,1188,449,0,38,3168,386
77,Edgewater,52728,1661,28260,1914,19062,1571,19020,1571,42,64,3371,1012,3181,950,190,126,5827,1037,5417,927,410,253,24468,1072
