area_id,area_name,b17012001,b17012001_moe,b17012002,b17012002_moe,b17012003,b17012003_moe,b17012004,b17012004_moe,b17012005,b17012005_moe,b17012006,b17012006_moe,b17012007,b17012007_moe,b17012008,b17012008_moe,b17012009,b17012009_moe,b17012010,b17012010_moe,b17012011,b17012011_moe,b17012012,b17012012_moe,b17012013,b17012013_moe,b17012014,b17012014_moe,b17012015,b17012015_moe,b17012016,b17012016_moe,b17012017,b17012017_moe,b17012018,b17012018_moe,b17012019,b17012019_moe,b17012020,b17012020_moe,b17012021,b17012021_moe,b17012022,b17012022_moe,b17012023,b17012023_moe,b17012024,b17012024_moe,b17012025,b17012025_moe,b17012026,b17012026_moe,b17012027,b17012027_moe,b17012028,b17012028_moe,b17012029,b17012029_moe,b17012030,b17012030_moe,b17012031,b17012031_moe,b17012032,b17012032_moe,b17012033,b17012033_moe,b17012034,b17012034_moe,b17012035,b17012035_moe
1,Rogers Park,10091,605,2189,357,908,234,326,136,327,152,162,105,93,91,1281,292,214,140,90,113,110,93,14,50,0,48,1067,260,195,108,590,193,250,133,32,66,7902,531,5292,478,2564,324,2318,351,393,148,17,54,2610,360,1070,260,542,211,462,162,66,70,0,48,1540,264,554,159,851,208,127,84,8,50
2,West Ridge,16321,613,2690,405,1602,324,379,139,738,232,382,173,103,99,1088,271,234,145,7,51,153,117,28,67,46,88,854,238,164,121,485,192,157,93,48,68,13631,597,10476,594,5112,453,4150,467,911,234,303,116,3155,397,980,238,509,170,404,157,67,87,0,51,2175,325,1231,242,851,219,93,96,0,51
3,Uptown,9232,572,1657,320,616,190,282,121,231,134,79,70,24,58,1041,261,230,146,163,145,67,69,0,48,0,48,811,226,136,83,588,208,87,79,0,48,7575,535,5529,458,3707,383,1525,276,252,118,45,87,2046,349,764,210,528,182,236,123,0,48,0,48,1282,297,627,224,599,186,39,56,17,52
4,Lincoln Square,8394,466,701,206,402,171,121,88,139,107,126,113,16,44,299,125,36,69,0,40,36,69,0,40,0,40,263,111,133,92,121,69,9,41,0,40,7693,444,6282,409,3630,322,2383,297,269,103,0,40,1411,283,448,184,278,145,87,57,83,99,0,40,963,211,454,146,489,163,20,65,0,40
5,North Center,7252,362,171,77,69,50,31,48,29,45,9,42,0,43,102,71,12,42,5,42,7,43,0,43,0,43,90,71,55,61,35,53,0,43,0,43,7081,360,5994,335,3091,292,2283,244,620,151,0,43,1087,199,309,109,209,94,77,61,23,48,0,43,778,169,452,130,326,115,0,43,0,43
6,Lake View,14864,634,638,189,203,89,90,75,93,82,20,67,0,66,435,179,82,86,36,75,24,74,22,72,0,66,353,170,102,100,251,152,0,66,0,66,14226,619,12446,591,7454,497,4408,339,559,137,25,76,1780,284,686,186,444,140,236,135,6,66,0,66,1094,222,676,158,375,163,43,74,0,66
7,Lincoln Park,10261,528,379,123,85,69,28,54,27,53,30,63,0,51,294,114,68,78,38,73,30,58,0,51,0,51,226,94,40,53,137,76,49,71,0,51,9882,528,8829,522,4853,416,3229,290,747,236,0,51,1053,194,286,109,132,76,154,89,0,51,0,51,767,163,307,108,434,122,26,58,0,51
8,Near North Side,15079,781,1201,251,349,158,276,134,73,98,0,54,0,54,852,200,101,93,80,91,21,57,0,54,0,54,751,183,124,97,281,127,346,160,0,54,13878,760,12348,726,10239,700,1886,296,223,127,0,54,1530,313,481,182,404,170,64,88,13,57,0,54,1049,250,643,201,348,154,58,68,0,54
9,Edison Park,2829,194,37,34,30,31,12,28,7,24,11,28,0,25,7,25,0,25,0,25,0,25,0,25,0,25,7,25,0,25,7,25,0,25,0,25,2792,195,2236,186,1302,167,715,135,210,75,9,27,556,148,214,101,190,98,24,25,0,25,0,25,342,123,194,85,136,86,12,26,0,25
10,Norwood Park,9614,389,351,121,220,101,121,71,38,66,61,64,0,39,131,76,0,39,0,39,0,39,0,39,0,39,131,76,60,59,71,62,0,39,0,39,9263,401,7302,411,4388,324,2357,290,487,131,70,87,1961,312,594,169,375,112,219,121,0,39,0,39,1367,265,871,205,422,161,63,66,11,41
