area_id,area_name,b12005001,b12005001_moe,b12005002,b12005002_moe,b12005003,b12005003_moe,b12005004,b12005004_moe,b12005005,b12005005_moe,b12005006,b12005006_moe,b12005007,b12005007_moe,b12005008,b12005008_moe,b12005009,b12005009_moe,b12005010,b12005010_moe,b12005011,b12005011_moe,b12005012,b12005012_moe,b12005013,b12005013_moe,b12005014,b12005014_moe,b12005015,b12005015_moe,b12005016,b12005016_moe
1,Rogers Park,47961,1713,25747,1402,20141,1255,5606,827,14414,1144,7493,737,6921,867,1464,354,656,224,808,267,1842,364,1060,288,782,238,4494,474,2943,381,1551,305
2,West Ridge,57178,1916,20338,1424,12492,977,7846,1136,28427,1415,9441,811,18986,1346,986,280,268,132,718,247,3437,460,1399,267,2038,394,3990,495,2289,346,1701,324
3,Uptown,49323,1420,25547,1225,21050,1116,4497,678,14524,1074,8786,817,5738,748,1191,291,594,195,597,219,2776,419,1521,314,1255,293,5285,576,3950,486,1335,304
4,Lincoln Square,33118,1023,14091,838,11448,738,2643,494,14635,937,9128,715,5507,707,772,245,299,132,473,210,1048,219,551,151,497,155,2572,379,1754,286,818,261
5,North Center,27674,850,12230,783,11257,769,973,291,12808,692,10514,607,2294,390,299,126,271,123,28,49,814,202,562,175,252,102,1523,250,1337,233,186,97
6,Lake View,87406,1504,53502,1559,49394,1529,4108,565,26549,1201,21414,1069,5135,572,525,169,430,153,95,94,1968,289,1230,232,738,189,4862,503,3786,419,1076,262
7,Lincoln Park,56663,1342,32586,1318,30207,1296,2379,381,18802,1077,15696,997,3106,414,451,148,355,124,96,74,1391,238,1230,223,161,79,3433,402,2987,380,446,157
8,Near North Side,75100,1587,37012,1458,32045,1420,4967,699,26704,1499,19884,1312,6820,823,551,213,458,192,93,98,2943,395,2351,338,592,232,7890,675,6447,628,1443,280
9,Edison Park,9249,434,2860,341,2666,364,194,168,4703,363,3803,363,900,259,82,62,67,58,15,27,756,148,534,122,222,99,848,238,815,236,33,36
10,Norwood Park,30770,899,8191,672,6990,646,1201,286,16122,834,11041,733,5081,681,371,145,216,111,155,97,3264,393,2454,347,810,174,2822,385,2038,307,784,241
11,Jefferson Park,21805,961,7185,701,5481,636,1704,415,11053,726,6528,630,4525,582,332,148,204,124,128,103,1429,236,907,180,522,154,1806,294,1274,247,532,171
12,Forest Glen,14823,500,3824,436,3506,424,318,136,9068,464,6522,422,2546,342,76,59,76,59,0,29,1025,197,777,186,248,97,830,185,619,166,211,95
13,North Park,15254,777,5271,620,3854,513,1417,421,7047,567,2957,352,4090,534,266,129,33,36,233,125,1050,220,554,152,496,165,1620,287,971,253,649,187
14,Albany Park,42619,1577,18071,1132,9538,778,8533,978,18508,1138,6469,645,12039,1010,960,263,265,126,695,231,1905,350,711,210,1194,280,3175,463,1964,366,1211,272
15,Portage Park,51400,1395,18604,1061,14573,990,4031,590,23821,1124,11779,863,12042,974,1163,274,547,202,616,197,3243,374,1870,273,1373,263,4569,537,2642,431,1927,341
16,Irving Park,44952,1531,17301,1159,12235,895,5066,778,20285,1185,10803,793,9482,921,1186,259,532,176,654,201,2170,318,1168,221,1002,226,4010,493,2714,398,1296,278
17,Dunning,35878,1019,11403,747,8326,667,3077,491,18336,822,8914,681,9422,790,428,120,247,94,181,78,2902,323,1824,242,1078,219,2809,377,1791,291,1018,250
18,Montclare,9852,627,3315,425,2348,368,967,279,4669,496,2027,384,2642,430,239,113,140,86,99,73,888,187,560,147,328,124,741,179,487,146,254,100
19,Belmont Cragin,58320,1903,24344,1436,15737,1169,8607,981,24672,1255,8679,801,15993,1057,2028,344,879,214,1149,277,2580,321,1292,217,1288,255,4696,510,2570,376,2126,368
20,Hermosa,19170,972,8379,738,5975,635,2404,484,7694,700,2917,447,4777,603,547,186,298,139,249,131,764,211,410,157,354,144,1786,385,962,235,824,270
21,Avondale,33396,1507,15661,1178,10066,845,5595,960,13567,1007,4981,591,8586,864,734,198,249,119,485,158,1383,268,637,180,746,213,2051,343,1245,251,806,233
22,Logan Square,61331,1568,32027,1332,27317,1217,4710,612,21990,1127,13112,819,8878,854,984,223,505,161,479,158,1767,275,1116,226,651,168,4563,461,3712,401,851,231
23,Humboldt Park,41049,1588,21964,1320,18716,1269,3248,593,11890,955,7045,752,4845,613,1663,330,1355,304,308,129,1912,316,1707,302,205,109,3620,456,3171,433,449,145
24,West Town,72661,1631,40030,1443,36129,1389,3901,539,23974,1120,16938,917,7036,637,1007,222,675,192,332,128,2337,311,1409,231,928,196,5313,487,4402,446,911,207
25,Austin,76778,2003,43303,1711,42188,1696,1115,335,18610,1058,16267,993,2343,457,2466,352,2429,348,37,72,5106,479,4954,471,152,99,7293,579,7032,574,261,136
26,West Garfield Park,13790,900,8953,736,8948,736,5,35,2139,380,2102,381,37,45,644,172,638,171,6,33,1029,181,1029,181,0,35,1025,204,1025,204,0,35
27,East Garfield Park,15365,956,9710,843,9485,832,225,129,2669,400,2515,390,154,92,547,129,547,129,0,38,1001,182,997,182,4,38,1438,238,1387,235,51,63
28,Near West Side,47484,1395,26667,1260,22806,1192,3861,541,14020,864,10347,729,3673,508,1029,204,878,189,151,87,1769,242,1639,229,130,88,3999,405,3547,391,452,147
29,North Lawndale,26212,1275,16489,1069,16115,1060,374,139,4398,500,3995,485,403,138,1024,217,1024,217,0,43,2073,279,2013,275,60,67,2228,303,2183,297,45,67
30,South Lawndale,54121,1718,29335,1307,18953,1088,10382,923,18989,1066,3322,452,15667,954,1635,300,478,149,1157,257,1974,291,679,170,1295,247,2188,339,963,196,1225,273
31,Lower West Side,28610,1272,14995,1029,9599,782,5396,705,9514,781,2192,351,7322,677,967,225,385,123,582,177,1094,211,506,140,588,165,2040,307,1046,200,994,234
32,Loop,24874,1328,13012,1143,10864,1056,2148,461,8992,911,6379,824,2613,517,200,134,140,112,60,79,622,170,475,143,147,111,2048,411,1878,395,170,106
33,Near South Side,17941,974,7881,824,6860,820,1021,351,6409,734,4297,587,2112,464,337,200,299,198,38,36,1117,278,752,191,365,261,2197,394,1889,384,308,131
34,Armour Square,11819,647,4052,478,2761,407,1291,327,5628,590,1299,292,4329,539,238,102,73,48,165,93,1178,225,384,131,794,189,723,212,411,113,312,174
35,Douglas,16450,769,9098,699,7135,530,1963,466,2985,402,2130,341,855,211,802,190,759,187,43,49,1120,184,1056,182,64,56,2445,295,2252,286,193,96
36,Oakland,4666,380,2293,327,2198,313,95,83,1145,254,981,244,164,92,212,82,176,76,36,34,351,112,315,105,36,43,665,169,665,169,0,19
37,Fuller Park,2290,369,1205,271,1177,266,28,45,456,164,423,160,33,37,180,70,180,70,0,16,220,69,220,69,0,16,229,78,165,56,64,63
38,Grand Boulevard,17898,836,9637,704,9490,700,147,81,3436,500,3201,476,235,130,968,192,940,189,28,49,1546,222,1474,212,72,70,2311,304,2249,301,62,51
39,Kenwood,15085,734,7462,569,6624,549,838,232,4236,518,3182,453,1054,269,559,157,496,145,63,68,926,190,872,186,54,44,1902,258,1799,260,103,80
40,Washington Park,8077,584,5223,524,5181,522,42,44,1010,245,978,240,32,37,376,111,360,110,16,28,627,143,613,142,14,27,841,157,832,156,9,29
41,Hyde Park,23533,1036,12626,964,10739,886,1887,306,7095,522,4920,437,2175,340,456,155,390,146,66,68,932,182,858,174,74,53,2424,321,2241,315,183,72
42,Woodlawn,19613,909,10847,806,10421,796,426,129,3573,506,3086,464,487,163,1089,208,1057,203,32,53,1402,226,1371,222,31,48,2702,332,2547,321,155,98
43,South Shore,38616,1516,21060,1234,20601,1235,459,183,6803,759,6142,695,661,303,2308,377,2249,373,59,64,3365,407,3261,403,104,83,5080,511,4906,509,174,108
44,Chatham,26425,1174,13134,880,13043,875,91,73,5760,635,5669,637,91,73,1550,283,1510,280,40,53,2667,346,2667,346,0,37,3314,428,3283,427,31,41
45,Avalon Park,8143,558,3688,470,3663,468,25,31,2175,347,2052,332,123,74,439,163,439,163,0,19,839,204,829,205,10,22,1002,236,991,234,11,21
46,South Chicago,22509,1160,11305,948,10356,886,949,348,6254,723,4524,627,1730,352,827,234,632,186,195,121,1846,299,1540,279,306,118,2277,339,2050,325,227,106
47,Burnside,2652,368,1317,300,1284,302,33,52,679,177,647,173,32,45,139,95,139,95,0,11,195,76,195,76,0,11,322,100,287,103,35,37
48,Calumet Heights,11891,587,4433,579,4304,567,129,146,4082,473,3668,439,414,178,386,160,386,160,0,27,1352,223,1308,220,44,47,1638,289,1569,279,69,60
49,Roseland,36871,1212,17702,985,17512,976,190,98,9373,763,9068,760,305,129,1673,300,1601,295,72,67,3370,355,3306,355,64,56,4753,448,4677,443,76,72
50,Pullman,5773,392,2897,339,2833,320,64,85,1305,249,1171,247,134,89,251,114,239,113,12,22,564,121,535,120,29,29,756,180,749,180,7,18
51,South Deering,12771,711,5910,633,5396,599,514,223,4287,482,2951,404,1336,304,405,133,343,127,62,48,734,165,534,145,200,88,1435,240,1330,233,105,57
52,East Side,17092,863,6704,700,4953,554,1751,506,7583,584,3224,398,4359,488,490,151,203,87,287,122,1067,194,771,162,296,110,1248,232,823,197,425,138
53,West Pullman,23613,1133,11734,932,11547,936,187,116,6228,662,5762,650,466,179,916,214,832,202,84,75,1744,252,1720,250,24,49,2991,383,2945,382,46,47
54,Riverdale,4278,450,2877,403,2877,403,0,16,495,173,441,169,54,41,166,75,166,75,0,16,240,132,240,132,0,16,500,166,500,166,0,16
55,Hegewisch,7748,743,2886,484,2744,488,142,88,3121,511,2301,483,820,299,168,147,156,146,12,24,544,161,467,152,77,55,1029,297,999,279,30,38
56,Garfield Ridge,27325,846,8655,680,7595,645,1060,264,14008,697,8883,638,5125,557,611,217,380,188,231,123,2202,306,1450,247,752,200,1849,277,1448,256,401,122
57,Archer Heights,9940,583,3952,469,2523,344,1429,327,4585,504,1368,276,3217,456,175,91,77,65,98,67,530,135,212,80,318,105,698,154,306,107,392,117
58,Brighton Park,32156,1308,14180,944,9021,793,5159,671,13903,914,2796,432,11107,841,681,188,235,109,446,158,1456,255,473,128,983,238,1936,325,1008,222,928,246
