area_id,area_name,b01002a001,b01002a001_moe,b01002a002,b01002a002_moe,b01002a003,b01002a003_moe
1,Rogers Park,406,18,402,23,411,25
2,West Ridge,571,27,534,39,582,35
3,Uptown,439,12,437,15,435,22
4,Lincoln Square,403,14,403,18,405,14
5,North Center,459,9,453,13,462,13
6,Lake View,1078,14,1121,24,1039,24
7,Lincoln Park,623,12,625,18,622,16
8,Near North Side,820,21,825,40,810,32
9,Edison Park,132,7,134,9,128,12
10,Norwood Park,363,13,349,17,381,18
11,Jefferson Park,248,11,228,20,266,16
12,Forest Glen,177,6,171,10,183,10
13,North Park,169,10,167,15,172,15
14,Albany Park,383,15,386,20,376,21
15,Portage Park,589,18,563,27,617,27
16,Irving Park,544,13,539,19,542,22
17,Dunning,478,14,436,20,518,19
18,Montclare,87,9,85,12,88,9
19,Belmont Cragin,623,31,617,36,631,43
20,Hermosa,199,15,188,21,197,24
21,Avondale,323,13,312,16,340,17
22,Logan Square,854,22,854,28,864,25
23,Humboldt Park,508,65,517,70,504,74
24,West Town,1005,18,1010,38,989,20
25,Austin,767,88,783,102,786,127
26,West Garfield Park,113,41,112,36,91,31
27,East Garfield Park,243,54,243,58,235,74
28,Near West Side,630,39,611,75,623,67
29,North Lawndale,304,58,376,108,277,68
30,South Lawndale,512,19,517,28,517,36
31,Lower West Side,342,20,332,23,361,31
32,Loop,157,11,163,12,158,13
33,Near South Side,105,4,112,13,105,3
34,Armour Square,182,28,172,26,197,22
35,Douglas,239,61,261,76,244,74
36,Oakland,83,12,56,22,80,21
37,Fuller Park,58,17,67,68,62,17
38,Grand Boulevard,324,49,262,102,378,34
39,Kenwood,287,43,278,51,286,53
40,Washington Park,49,35,50,17,23,1
41,Hyde Park,369,21,371,26,372,29
42,Woodlawn,258,29,275,75,197,60
43,South Shore,378,75,292,114,390,82
44,Chatham,46,47,72,48,46,45
45,Avalon Park,41,48,40,0,77,0
46,South Chicago,290,43,290,44,323,61
48,Calumet Heights,103,87,89,57,156,23
49,Roseland,161,25,160,39,175,84
50,Pullman,99,11,101,16,100,9
51,South Deering,176,33,180,34,131,104
52,East Side,209,19,217,20,202,26
53,West Pullman,116,18,113,49,119,58
54,Riverdale,48,0,49,38,22,2
55,Hegewisch,80,4,73,11,85,6
56,Garfield Ridge,407,28,407,30,401,37
57,Archer Heights,184,19,181,20,172,25
58,Brighton Park,288,20,282,22,294,26
59,McKinley Park,181,18,167,25,197,17
60,Bridgeport,364,22,358,27,377,40
61,New City,465,37,452,38,472,61
62,West Elsdon,134,12,124,17,142,15
63,Gage Park,222,15,225,19,216,23
64,Clearing,279,21,269,19,290,20
65,West Lawn,223,13,225,19,226,18
66,Chicago Lawn,444,46,449,79,439,56
67,West Englewood,294,63,280,132,285,50
68,Englewood,164,42,157,52,176,87
69,Greater Grand Crossing,173,37,194,44,172,30
70,Ashburn,387,21,376,29,396,31
71,Auburn Gresham,115,66,134,74,116,71
72,Beverly,287,15,278,18,292,25
73,Washington Heights,176,59,198,53,162,43
74,Mount Greenwood,154,5,147,7,161,6
75,Morgan Park,268,20,254,16,284,33
76,O'Hare,155,11,159,17,146,11
77,Edgewater,659,30,659,31,639,42
