area_id,area_name,b25125001,b25125001_moe,b25125002,b25125002_moe,b25125003,b25125003_moe,b25125004,b25125004_moe,b25125005,b25125005_moe,b25125006,b25125006_moe,b25125007,b25125007_moe,b25125008,b25125008_moe,b25125009,b25125009_moe,b25125010,b25125010_moe,b25125011,b25125011_moe,b25125012,b25125012_moe,b25125013,b25125013_moe,b25125014,b25125014_moe,b25125015,b25125015_moe,b25125016,b25125016_moe,b25125017,b25125017_moe,b25125018,b25125018_moe,b25125019,b25125019_moe,b25125020,b25125020_moe,b25125021,b25125021_moe,b25125022,b25125022_moe,b25125023,b25125023_moe,b25125024,b25125024_moe,b25125025,b25125025_moe,b25125026,b25125026_moe,b25125027,b25125027_moe,b25125028,b25125028_moe,b25125029,b25125029_moe,b25125030,b25125030_moe,b25125031,b25125031_moe,b25125032,b25125032_moe,b25125033,b25125033_moe,b25125034,b25125034_moe,b25125035,b25125035_moe,b25125036,b25125036_moe,b25125037,b25125037_moe,b25125038,b25125038_moe,b25125039,b25125039_moe,b25125040,b25125040_moe,b25125041,b25125041_moe,b25125042,b25125042_moe,b25125043,b25125043_moe,b25125044,b25125044_moe,b25125045,b25125045_moe
1,Rogers Park,23981,550,6995,461,1426,233,189,92,88,75,807,193,301,101,41,56,0,48,4783,418,1445,231,537,169,1928,291,780,154,93,65,0,48,786,174,341,108,192,106,125,87,100,94,13,51,15,51,16986,651,6662,516,96,77,1169,238,2586,370,1527,278,1284,290,0,48,8759,610,241,117,1540,293,3049,395,2275,354,1636,305,18,54,1565,246,53,60,71,79,357,123,357,133,727,178,0,48
2,West Ridge,24402,485,12314,533,1278,254,343,130,257,141,449,156,98,74,131,88,0,51,7726,499,3879,350,1773,314,1059,214,574,152,441,118,0,51,3310,336,1612,223,725,198,298,130,126,71,549,119,0,51,12088,626,3916,479,152,115,1788,353,1527,296,365,151,46,71,38,79,6585,566,531,201,3076,425,1987,331,493,182,457,164,41,84,1587,292,43,62,594,214,361,145,121,76,465,138,3,52
3,Uptown,29441,501,9490,491,2253,309,76,59,65,61,1121,220,441,140,547,167,3,47,6267,453,876,171,479,178,2487,304,753,160,1672,255,0,48,970,152,164,73,102,69,157,71,34,55,513,113,0,48,19951,640,7725,537,44,51,738,210,2422,351,1416,239,3105,382,0,48,9480,620,196,113,1026,272,2283,349,1628,307,4337,473,10,48,2746,362,46,59,135,86,282,121,253,132,2030,331,0,48
4,Lincoln Square,17622,376,7020,447,1544,248,153,82,256,113,786,169,298,125,51,55,0,40,4234,374,1956,221,1115,218,944,222,151,99,68,60,0,40,1242,172,551,107,571,143,65,73,55,54,0,40,0,40,10602,509,4874,407,46,55,1409,262,2060,324,1063,196,296,109,0,40,4908,424,170,94,1940,298,1778,303,806,187,192,85,22,51,820,207,40,66,182,84,284,115,210,141,104,80,0,40
5,North Center,14724,323,7758,369,1562,214,465,134,404,109,438,127,171,78,84,64,0,43,4987,332,2936,272,1465,230,317,96,160,75,109,61,0,43,1209,187,465,98,659,167,0,43,9,43,76,72,0,43,6966,392,4028,334,173,80,2405,290,1007,211,318,121,97,65,28,60,2501,303,132,66,1778,269,479,134,62,55,50,54,0,43,437,100,0,43,172,87,18,43,60,79,175,73,12,46
6,Lake View,52568,659,19687,707,6034,483,604,146,1193,242,1733,227,573,142,1931,326,0,66,11189,600,3151,286,1999,258,1961,271,928,217,3150,344,0,66,2464,270,456,118,476,137,258,116,120,92,1154,200,0,66,32881,782,21765,762,380,133,6046,458,5087,412,3558,412,6581,532,113,131,8742,624,383,173,1597,263,1418,227,1463,307,3814,432,67,88,2374,283,37,70,174,99,153,99,321,118,1679,259,10,67
7,Lincoln Park,32194,546,14662,578,3437,342,611,138,442,133,979,204,506,146,899,194,0,51,9160,487,4418,299,1084,200,1328,217,633,138,1697,308,0,51,2065,240,769,147,377,106,130,68,85,76,704,155,0,51,17532,621,12088,565,314,110,3411,360,2350,300,2037,322,3876,390,100,95,4108,438,366,132,959,239,765,231,328,125,1690,276,0,51,1336,221,39,58,107,85,186,92,157,103,847,176,0,51
8,Near North Side,50758,883,22765,857,4460,469,129,75,324,161,121,91,304,153,3582,412,0,54,12042,667,1280,257,333,130,526,200,1003,210,8891,587,9,55,6263,449,409,153,155,93,252,141,653,159,4777,411,17,59,27993,973,16755,882,116,94,483,181,926,264,1044,276,14173,833,13,57,8485,674,272,104,473,207,750,245,599,197,6391,595,0,54,2753,342,72,76,61,79,123,101,119,83,2366,319,12,57
9,Edison Park,4608,141,3676,182,321,109,172,72,21,30,128,77,0,25,0,25,0,25,2328,174,2003,152,45,52,193,92,87,74,0,25,0,25,1027,123,886,127,30,27,51,43,60,54,0,25,0,25,932,170,351,104,91,75,64,60,185,80,11,26,0,25,0,25,458,159,50,47,116,81,256,122,36,43,0,25,0,25,123,57,35,36,28,24,39,36,21,31,0,25,0,25
10,Norwood Park,14646,262,11624,364,832,205,591,160,75,71,124,86,42,52,0,39,0,39,7036,354,6199,324,246,116,227,133,185,89,132,60,47,66,3756,237,3257,220,241,92,106,79,152,65,0,39,0,39,3022,325,842,242,198,114,333,182,290,129,0,39,21,50,0,39,1277,252,362,141,605,191,262,104,11,39,37,56,0,39,903,170,82,65,247,115,41,48,49,57,484,124,0,39
