area_id,area_name,b05003001,b05003001_moe,b05003002,b05003002_moe,b05003003,b05003003_moe,b05003004,b05003004_moe,b05003005,b05003005_moe,b05003006,b05003006_moe,b05003007,b05003007_moe,b05003008,b05003008_moe,b05003009,b05003009_moe,b05003010,b05003010_moe,b05003011,b05003011_moe,b05003012,b05003012_moe,b05003013,b05003013_moe,b05003014,b05003014_moe,b05003015,b05003015_moe,b05003016,b05003016_moe,b05003017,b05003017_moe,b05003018,b05003018_moe,b05003019,b05003019_moe,b05003020,b05003020_moe,b05003021,b05003021_moe,b05003022,b05003022_moe,b05003023,b05003023_moe
27,East Garfield Park,21316,1354,9299,814,3651,459,3651,459,0,38,0,38,0,38,5648,583,5393,577,255,118,73,55,182,109,12017,810,3792,503,3775,503,17,45,0,38,17,45,8225,479,8046,476,179,85,145,80,34,46
28,Near West Side,54151,1661,27296,1155,4605,524,4527,524,78,69,29,63,49,57,22691,995,18440,914,4251,517,1393,250,2858,465,26855,1043,3846,466,3807,465,39,57,9,53,30,56,23009,876,19010,829,3999,446,1729,269,2270,353
29,North Lawndale,36074,1850,15911,1068,6052,644,6029,643,23,55,0,43,23,55,9859,778,9316,743,543,232,198,84,345,191,20163,1185,6307,671,6299,672,8,43,8,43,0,43,13856,729,13525,724,331,121,107,61,224,106
30,South Lawndale,70557,2333,39539,1528,9642,790,8836,752,806,212,17,54,789,210,29897,1210,13617,829,16280,928,3311,357,12969,920,31018,1384,10258,865,9342,833,916,275,29,60,887,273,20760,902,7831,687,12929,674,3306,351,9623,660
31,Lower West Side,36577,1700,19564,1120,4564,526,4062,485,502,159,24,48,478,157,15000,896,6747,582,8253,754,1921,284,6332,738,17013,973,4655,554,4313,532,342,145,60,80,282,127,12358,648,5978,517,6380,498,2235,307,4145,441
32,Loop,26363,1430,13100,1086,676,262,663,261,13,36,0,30,13,36,12424,1040,9980,985,2444,426,896,292,1548,343,13263,906,853,322,821,320,32,43,0,30,32,43,12410,850,9716,825,2694,443,1073,273,1621,360
33,Near South Side,20245,1153,9465,901,1319,341,1214,338,105,100,0,24,105,100,8146,703,6376,617,1770,407,744,195,1026,346,10780,705,1240,275,1211,273,29,33,8,24,21,31,9540,589,7504,587,2036,490,970,310,1066,359
34,Armour Square,13710,850,6594,505,1219,252,845,199,374,177,55,47,319,174,5375,417,2173,336,3202,399,1350,232,1852,382,7116,563,1140,299,1008,304,132,97,4,24,128,97,5976,429,2417,351,3559,367,2130,301,1429,287
35,Douglas,19111,872,8558,574,1577,269,1534,262,43,55,0,35,43,55,6981,504,5164,434,1817,385,310,134,1507,369,10553,605,1474,248,1436,245,38,48,3,34,35,49,9079,512,7783,447,1296,286,246,110,1050,265
36,Oakland,6260,469,2380,315,866,182,866,182,0,19,0,19,0,19,1514,227,1364,202,150,91,51,42,99,65,3880,335,989,207,985,207,4,17,4,17,0,19,2891,258,2710,252,181,99,60,46,121,70
37,Fuller Park,2924,543,1445,292,485,169,451,170,34,54,0,16,34,54,960,217,916,214,44,43,14,17,30,41,1479,349,356,180,356,180,0,16,0,16,0,16,1123,215,1042,211,81,58,0,16,81,58
38,Grand Boulevard,23151,1181,10165,680,3158,447,3141,444,17,44,10,44,7,43,7007,497,6710,486,297,111,122,71,175,89,12986,772,3073,446,3035,444,38,58,10,44,28,56,9913,518,9666,508,247,106,143,80,104,79
39,Kenwood,18180,927,8205,604,1982,359,1974,359,8,33,0,31,8,33,6223,488,5291,474,932,210,286,118,646,190,9975,643,1712,281,1673,278,39,51,25,46,14,35,8263,547,7083,512,1180,241,481,157,699,190
40,Washington Park,11146,835,4912,482,1995,301,1995,301,0,27,0,27,0,27,2917,372,2869,372,48,41,22,32,26,37,6234,520,1769,295,1769,295,0,27,0,27,0,27,4465,354,4400,350,65,52,39,36,26,43
41,Hyde Park,26541,1184,12735,857,1949,334,1855,331,94,74,17,40,77,73,10786,768,8712,729,2074,291,713,171,1361,241,13806,693,1597,278,1511,263,86,73,39,59,47,58,12209,619,9921,580,2288,299,824,180,1464,246
42,Woodlawn,24445,1271,10937,765,2998,468,2975,466,23,45,19,46,4,35,7939,590,7301,577,638,180,172,74,466,170,13508,785,3008,413,3008,413,0,36,0,36,0,36,10500,547,10026,548,474,136,224,97,250,103
