area_id,area_name,b05003h001,b05003h001_moe,b05003h002,b05003h002_moe,b05003h003,b05003h003_moe,b05003h004,b05003h004_moe,b05003h005,b05003h005_moe,b05003h006,b05003h006_moe,b05003h007,b05003h007_moe,b05003h008,b05003h008_moe,b05003h009,b05003h009_moe,b05003h010,b05003h010_moe,b05003h011,b05003h011_moe,b05003h012,b05003h012_moe,b05003h013,b05003h013_moe,b05003h014,b05003h014_moe,b05003h015,b05003h015_moe,b05003h016,b05003h016_moe,b05003h017,b05003h017_moe,b05003h018,b05003h018_moe,b05003h019,b05003h019_moe,b05003h020,b05003h020_moe,b05003h021,b05003h021_moe,b05003h022,b05003h022_moe,b05003h023,b05003h023_moe
1,Rogers Park,21819,1231,11004,765,828,193,794,189,34,52,1,45,33,52,10176,708,8794,679,1382,290,682,181,700,232,10815,829,770,211,658,183,112,117,0,48,112,117,10045,759,8860,735,1185,244,683,191,502,155
2,West Ridge,31779,1838,14676,969,3231,478,2891,453,340,158,82,77,258,147,11445,777,7094,590,4351,582,2363,380,1988,448,17103,1153,3881,668,3345,571,536,328,72,74,464,323,13222,789,8353,601,4869,584,2972,429,1897,411
3,Uptown,28769,1232,14717,821,1097,301,978,286,119,118,41,56,78,115,13620,725,11969,660,1651,364,736,214,915,271,14052,779,935,209,898,208,37,59,13,49,24,58,13117,723,11289,700,1828,321,1147,236,681,208
4,Lincoln Square,24332,1175,12161,696,1492,291,1458,285,34,66,0,40,34,66,10669,588,9014,531,1655,314,899,213,756,235,12171,722,1480,290,1453,290,27,42,27,42,0,40,10691,566,8706,512,1985,362,1214,271,771,205
5,North Center,26348,1042,13186,691,2733,322,2724,321,9,44,0,43,9,44,10453,567,9829,565,624,151,371,118,253,90,13162,688,2364,346,2342,346,22,47,14,46,8,44,10798,525,10145,528,653,169,393,123,260,117
6,Lake View,77037,1763,37681,1273,3365,447,3235,434,130,105,33,75,97,101,34316,1167,32019,1148,2297,401,1111,244,1186,323,39356,1368,3604,419,3557,417,47,72,32,69,15,69,35752,1235,33439,1222,2313,352,1474,297,839,205
7,Lincoln Park,52663,1667,25229,1054,3328,411,3194,403,134,91,21,64,113,81,21901,895,20362,901,1539,250,747,176,792,179,27434,1157,3226,498,3020,483,206,127,54,66,152,118,24208,971,22520,975,1688,277,943,223,745,171
8,Near North Side,57777,1600,26597,1175,1287,257,1237,248,50,81,37,79,13,57,25310,1137,22401,1100,2909,452,1611,343,1298,291,31180,1197,1262,355,1262,355,0,54,0,54,0,54,29918,1120,26966,1095,2952,435,2062,357,890,237
9,Edison Park,10265,576,4791,369,952,194,952,194,0,25,0,25,0,25,3839,322,3260,359,579,211,417,138,162,165,5474,410,1026,206,1026,206,0,25,0,25,0,25,4448,315,3852,346,596,175,514,155,82,65
10,Norwood Park,30115,1063,14627,658,2621,365,2485,361,136,97,61,64,75,81,12006,536,9457,541,2549,395,1676,280,873,241,15488,768,2455,436,2353,421,102,101,10,41,92,100,13033,543,10073,531,2960,404,2096,319,864,232
11,Jefferson Park,18075,1180,8955,700,1558,384,1542,384,16,36,16,36,0,29,7397,541,5299,520,2098,397,1176,232,922,319,9120,664,1448,301,1386,299,62,56,3,31,59,56,7672,497,5391,440,2281,389,1372,263,909,286
12,Forest Glen,13354,701,6614,433,1358,230,1350,230,8,31,8,31,0,29,5256,335,4672,343,584,147,482,134,102,64,6740,437,1383,207,1351,208,32,44,9,31,23,44,5357,328,4458,315,899,214,697,173,202,131
13,North Park,9358,836,4569,479,781,219,731,218,50,50,10,30,40,49,3788,393,2866,371,922,252,647,181,275,124,4789,522,853,290,842,289,11,31,0,27,11,31,3936,402,2938,324,998,313,804,301,194,105
14,Albany Park,15844,1064,7827,674,1326,273,1233,259,93,86,70,81,23,52,6501,559,4828,438,1673,364,652,179,1021,299,8017,586,1166,265,1034,237,132,119,35,71,97,105,6851,472,5270,440,1581,320,1053,263,528,177
15,Portage Park,32429,1376,15243,814,2380,413,2195,390,185,116,43,64,142,107,12863,645,8527,561,4336,462,2297,338,2039,335,17186,929,2105,370,2004,369,101,78,10,57,91,71,15081,769,9725,664,5356,597,3343,470,2013,361
16,Irving Park,24229,1179,12408,781,2063,335,2007,337,56,77,18,51,38,75,10345,658,8438,585,1907,332,959,223,948,249,11821,714,1653,284,1631,282,22,52,8,48,14,51,10168,625,8558,570,1610,269,982,212,628,175
17,Dunning,29975,1171,14658,720,2396,322,2219,312,177,85,96,59,81,71,12262,618,6967,522,5295,560,2689,373,2606,483,15317,749,1965,318,1861,317,104,55,60,48,44,44,13352,597,8097,549,5255,500,2932,403,2323,348
18,Montclare,4780,524,2275,318,107,63,107,63,0,23,0,23,0,23,2168,312,1366,281,802,189,373,131,429,157,2505,332,227,98,210,96,17,31,0,23,17,31,2278,298,1490,283,788,203,439,144,349,154
19,Belmont Cragin,11897,997,5813,617,493,186,435,170,58,89,58,89,0,52,5320,565,2821,423,2499,407,1067,217,1432,345,6084,576,560,179,480,169,80,72,37,61,43,63,5524,497,3034,372,2490,357,1193,228,1297,260
20,Hermosa,1974,418,850,256,41,53,41,53,0,29,0,29,0,29,809,245,550,186,259,167,134,91,125,100,1124,267,54,47,54,47,0,29,0,29,0,29,1070,257,801,219,269,133,170,112,99,77
