area_id,area_name,b01001h001,b01001h001_moe,b01001h002,b01001h002_moe,b01001h003,b01001h003_moe,b01001h004,b01001h004_moe,b01001h005,b01001h005_moe,b01001h006,b01001h006_moe,b01001h007,b01001h007_moe,b01001h008,b01001h008_moe,b01001h009,b01001h009_moe,b01001h010,b01001h010_moe,b01001h011,b01001h011_moe,b01001h012,b01001h012_moe,b01001h013,b01001h013_moe,b01001h014,b01001h014_moe,b01001h015,b01001h015_moe,b01001h016,b01001h016_moe,b01001h017,b01001h017_moe,b01001h018,b01001h018_moe,b01001h019,b01001h019_moe,b01001h020,b01001h020_moe,b01001h021,b01001h021_moe,b01001h022,b01001h022_moe,b01001h023,b01001h023_moe,b01001h024,b01001h024_moe,b01001h025,b01001h025_moe,b01001h026,b01001h026_moe,b01001h027,b01001h027_moe,b01001h028,b01001h028_moe,b01001h029,b01001h029_moe,b01001h030,b01001h030_moe,b01001h031,b01001h031_moe
1,Rogers Park,21819,1231,11004,765,436,127,132,70,144,91,116,91,223,100,1350,380,1460,284,1247,249,1860,267,1762,276,1287,233,530,151,349,126,108,82,10815,829,442,164,139,86,71,70,118,80,584,205,1726,494,1199,227,1174,226,1227,222,1414,248,1391,271,575,155,382,140,373,154
2,West Ridge,31779,1838,14676,969,1075,248,913,228,794,198,449,141,231,104,674,219,1160,294,1089,250,1870,311,2118,350,2122,342,1096,218,759,165,326,132,17103,1153,1101,323,1238,299,1161,295,381,168,173,107,791,204,1161,264,782,231,2255,309,2349,336,2302,350,1529,261,1097,227,783,188
3,Uptown,28769,1232,14717,821,453,181,306,153,186,135,152,95,149,132,836,229,2159,343,2511,363,2929,336,2232,342,1621,306,653,157,386,139,144,84,14052,779,565,165,47,76,199,93,124,79,68,78,1339,337,2246,328,2129,321,2282,295,1687,291,1444,274,663,153,752,199,507,183
4,Lincoln Square,24332,1175,12161,696,740,193,247,98,289,109,216,115,99,79,464,175,1517,277,2220,332,2489,323,1547,238,1254,204,747,172,254,97,78,59,12171,722,734,173,322,119,257,125,167,99,80,74,622,166,1848,285,1944,243,2348,286,1202,225,1338,209,698,202,375,120,236,95
5,North Center,26348,1042,13186,691,1394,224,713,163,451,142,175,81,10,42,591,259,1931,322,2031,257,2936,289,1536,220,790,160,409,122,206,79,13,39,13162,688,1394,281,416,125,405,126,149,76,120,81,769,260,2097,314,2143,265,2382,255,1406,194,945,185,512,117,301,104,123,81
6,Lake View,77037,1763,37681,1273,1681,288,852,203,561,175,271,122,163,113,4558,684,8455,710,5796,551,6704,508,4187,425,2123,287,1372,225,664,156,294,127,39356,1368,1880,290,971,225,523,159,230,106,291,125,6404,699,11202,825,5463,475,4814,436,2547,289,2189,263,1307,223,868,197,667,165
7,Lincoln Park,52663,1667,25229,1054,1381,242,1009,273,593,158,345,112,672,178,3138,547,4770,529,3057,384,3634,391,2336,280,2192,263,1293,203,586,154,223,120,27434,1157,1051,196,1072,210,795,395,308,97,778,209,4598,674,5179,530,3022,349,3670,386,2830,316,2184,259,1185,211,416,108,346,126
8,Near North Side,57777,1600,26597,1175,628,192,297,112,194,135,168,106,355,151,1984,496,5214,661,2777,424,3395,460,3380,409,3611,427,2994,363,1297,232,303,126,31180,1197,523,176,389,207,286,173,64,70,466,168,2808,493,6237,653,3117,462,3050,367,3785,451,4533,465,3334,376,1804,275,784,218
9,Edison Park,10265,576,4791,369,162,74,323,125,320,111,147,78,38,35,95,61,412,148,287,109,864,219,896,149,650,140,249,86,248,88,100,50,5474,410,187,77,261,112,358,113,220,111,78,57,399,154,327,123,283,95,688,136,1187,154,513,139,404,102,413,116,156,69
10,Norwood Park,30115,1063,14627,658,767,208,887,210,732,183,235,105,256,111,790,236,811,208,635,177,2221,262,2253,278,2382,273,1305,199,758,153,595,155,15488,768,723,212,897,230,581,166,254,113,150,83,503,170,740,200,879,203,1973,273,2330,302,2319,259,1490,202,1478,234,1171,204
