area_id,area_name,b19301f001,b19301f001_moe
1,Rogers Park,150686,29666
2,West Ridge,179423,31053
3,Uptown,208071,36598
4,Lincoln Square,142124,22822
5,North Center,212387,91960
6,Lake View,480807,58175
7,Lincoln Park,152431,32522
8,Near North Side,202324,58463
9,Edison Park,49400,29768
10,Norwood Park,115584,21610
11,Jefferson Park,110014,30399
12,Forest Glen,27308,8352
13,North Park,35063,13439
14,Albany Park,152705,17529
15,Portage Park,232258,19033
16,Irving Park,285512,33666
17,Dunning,199182,41296
18,Montclare,30464,5834
19,Belmont Cragin,230406,12679
20,Hermosa,80413,6754
21,Avondale,154299,17059
22,Logan Square,531431,74595
23,Humboldt Park,209158,20837
24,West Town,598066,72529
25,Austin,192003,24381
26,West Garfield Park,37694,7260
27,East Garfield Park,31124,10093
28,Near West Side,347496,123536
29,North Lawndale,60317,6679
30,South Lawndale,209662,23892
31,Lower West Side,156317,12355
32,Loop,86435,63554
33,Near South Side,46929,13301
34,Armour Square,49537,13926
35,Douglas,65916,53044
36,Oakland,73834,3170
37,Fuller Park,12797,1205
38,Grand Boulevard,43357,26880
39,Kenwood,39358,62333
41,Hyde Park,63677,26858
42,Woodlawn,21589,25783
43,South Shore,20803,5590
46,South Chicago,103139,26591
48,Calumet Heights,4299,3590
50,Pullman,14021,8113
51,South Deering,32127,6684
52,East Side,98996,19875
53,West Pullman,14710,6411
55,Hegewisch,18843,7383
56,Garfield Ridge,180150,23946
57,Archer Heights,66051,11002
58,Brighton Park,124025,12836
59,McKinley Park,75727,10557
60,Bridgeport,199921,37904
61,New City,192502,27263
62,West Elsdon,55318,6995
63,Gage Park,91883,12120
64,Clearing,139225,18229
65,West Lawn,84250,7233
66,Chicago Lawn,95398,10118
67,West Englewood,44377,102933
68,Englewood,2862,683
69,Greater Grand Crossing,10310,1275
70,Ashburn,88140,9161
72,Beverly,74180,50774
73,Washington Heights,4845,479
74,Mount Greenwood,18955,14426
75,Morgan Park,19574,27802
76,O'Hare,69806,20481
77,Edgewater,155139,34281
