area_id,area_name,b11002f001,b11002f001_moe,b11002f002,b11002f002_moe,b11002f003,b11002f003_moe,b11002f004,b11002f004_moe,b11002f005,b11002f005_moe,b11002f006,b11002f006_moe,b11002f007,b11002f007_moe,b11002f008,b11002f008_moe,b11002f009,b11002f009_moe,b11002f010,b11002f010_moe,b11002f011,b11002f011_moe,b11002f012,b11002f012_moe
1,Rogers Park,5050,1188,4472,1169,2701,1024,2588,975,113,155,861,423,744,372,117,97,910,468,861,447,49,62,578,330
2,West Ridge,5414,1353,5100,1355,3425,1094,3425,1094,0,51,461,450,298,281,163,211,1214,664,1177,658,37,61,314,205
3,Uptown,2382,722,1719,663,1070,628,1070,628,0,48,340,275,340,275,0,48,309,328,309,328,0,48,663,283
4,Lincoln Square,3297,1065,3057,1050,1820,782,1762,773,58,57,738,634,661,558,77,93,499,361,499,361,0,40,240,180
5,North Center,689,310,584,303,420,268,420,268,0,43,53,95,53,95,0,43,111,120,111,120,0,43,105,74
6,Lake View,1211,340,631,263,440,217,427,215,13,69,129,146,109,122,20,73,62,97,62,97,0,66,580,222
7,Lincoln Park,723,328,359,252,221,197,221,197,0,51,0,51,0,51,0,51,138,167,138,167,0,51,364,218
8,Near North Side,1415,637,811,589,493,482,493,482,0,54,188,302,138,225,50,95,130,178,130,178,0,54,604,253
9,Edison Park,48,48,37,45,22,40,22,40,0,25,15,32,15,32,0,25,0,25,0,25,0,25,11,26
10,Norwood Park,1649,682,1460,639,821,447,821,447,0,39,450,424,450,424,0,39,189,160,189,160,0,39,189,182
11,Jefferson Park,1758,701,1678,699,1370,696,1370,696,0,29,294,241,265,219,29,54,14,37,14,37,0,29,80,69
12,Forest Glen,957,419,882,415,695,371,695,371,0,29,0,29,0,29,0,29,187,189,124,127,63,67,75,62
13,North Park,1965,668,1572,611,1100,544,1100,544,0,27,198,186,182,174,16,35,274,241,239,205,35,54,393,289
14,Albany Park,19470,2158,17570,2116,10192,1640,10118,1631,74,76,4536,1207,3925,1044,611,231,2842,974,2697,930,145,111,1900,708
15,Portage Park,15920,1766,14919,1762,8408,1370,8389,1369,19,50,1140,505,1024,457,116,94,5371,1237,4977,1174,394,185,1001,378
16,Irving Park,11917,1743,10359,1723,6337,1390,6291,1386,46,61,2079,976,1971,920,108,101,1943,791,1796,736,147,105,1558,467
17,Dunning,3689,881,3607,877,2433,742,2433,742,0,40,556,379,510,356,46,55,618,403,618,403,0,40,82,71
18,Montclare,3353,695,3170,698,2282,623,2282,623,0,23,353,288,291,233,62,61,535,299,503,292,32,39,183,102
19,Belmont Cragin,39609,2637,38294,2670,21354,2230,21220,2218,134,107,6675,1452,5676,1234,999,267,10265,1669,9463,1523,802,284,1315,331
20,Hermosa,14825,1459,13927,1474,8554,1326,8440,1317,114,114,1377,484,1212,431,165,80,3996,931,3772,879,224,116,898,304
21,Avondale,6873,1333,6155,1301,4052,1085,3971,1064,81,87,1329,641,1236,614,93,114,774,373,656,314,118,94,718,329
22,Logan Square,5445,982,4644,950,2255,671,2097,574,158,255,439,272,374,225,65,79,1950,632,1775,582,175,109,801,238
23,Humboldt Park,14891,1745,13619,1745,6865,1289,6747,1264,118,122,2024,708,1752,596,272,171,4730,1273,4099,1064,631,340,1272,298
24,West Town,7855,1164,6752,1138,3256,788,3225,777,31,68,1204,540,1077,457,127,122,2292,680,2268,673,24,68,1103,319
