area_id,area_name,b25100001,b25100001_moe,b25100002,b25100002_moe,b25100003,b25100003_moe,b25100004,b25100004_moe,b25100005,b25100005_moe,b25100006,b25100006_moe,b25100007,b25100007_moe,b25100008,b25100008_moe,b25100009,b25100009_moe,b25100010,b25100010_moe,b25100011,b25100011_moe,b25100012,b25100012_moe,b25100013,b25100013_moe
1,Rogers Park,6995,461,5901,436,1984,295,1544,256,822,202,1541,263,10,48,1094,214,269,101,178,87,109,79,511,157,27,52
2,West Ridge,12314,533,8193,513,2010,309,1674,283,1363,254,3110,403,36,56,4121,373,904,204,647,159,707,172,1847,278,16,52
3,Uptown,9490,491,7956,480,2456,322,2101,309,1425,262,1936,309,38,56,1534,237,340,124,367,146,120,69,681,163,26,53
4,Lincoln Square,7020,447,5577,432,867,190,1633,247,914,193,2163,296,0,40,1443,221,100,57,274,95,117,59,952,194,0,40
5,North Center,7758,369,6338,354,937,178,1758,207,1170,192,2463,287,10,42,1420,209,176,73,181,70,127,65,911,184,25,48
6,Lake View,19687,707,15973,688,4315,436,4552,403,2625,352,4441,418,40,75,3714,340,857,176,552,169,389,125,1856,247,60,89
7,Lincoln Park,14662,578,11336,548,2302,288,2944,370,1945,273,4104,378,41,60,3326,314,751,178,469,134,342,107,1694,241,70,62
8,Near North Side,22765,857,15960,799,4103,469,4130,470,2143,324,5458,529,126,95,6805,542,1105,224,1062,217,747,198,3726,435,165,116
9,Edison Park,3676,182,2416,196,491,141,701,160,465,117,759,154,0,25,1260,166,104,54,178,84,146,65,818,146,14,27
10,Norwood Park,11624,364,7131,382,1251,245,1620,244,1362,234,2898,303,0,39,4493,352,519,133,686,166,630,160,2599,292,59,52
11,Jefferson Park,6535,336,4227,320,764,181,1104,190,704,186,1655,256,0,29,2308,243,299,116,335,110,209,83,1458,211,7,29
12,Forest Glen,5964,202,3907,232,462,120,1014,183,831,166,1600,225,0,29,2057,204,264,118,287,96,223,79,1257,185,26,35
13,North Park,3405,243,2461,243,394,109,568,135,327,105,1152,205,20,30,944,163,150,65,95,54,183,72,516,137,0,27
14,Albany Park,6138,382,4889,383,1253,217,1231,213,918,212,1480,257,7,43,1249,203,259,94,164,71,86,62,740,166,0,45
15,Portage Park,12675,479,8574,471,1358,234,1906,277,1858,273,3417,370,35,61,4101,350,646,160,641,143,316,102,2433,289,65,69
16,Irving Park,9760,457,7597,452,1497,226,1904,262,1310,238,2823,340,63,73,2163,262,271,106,325,124,277,97,1274,205,16,47
17,Dunning,11475,366,7462,386,1541,254,2175,261,1045,199,2611,303,90,80,4013,307,489,129,568,121,663,154,2214,235,79,62
18,Montclare,2630,230,1878,228,319,118,393,129,306,129,860,186,0,23,752,159,148,96,58,52,82,48,454,120,10,23
19,Belmont Cragin,10475,514,8289,484,1540,252,1720,289,1412,249,3583,385,34,63,2186,275,312,113,224,89,273,92,1344,221,33,58
20,Hermosa,3110,282,2520,263,276,111,607,148,286,109,1343,225,8,27,590,156,112,80,85,72,124,81,269,88,0,29
21,Avondale,5774,391,4413,369,512,124,1055,213,667,168,2166,304,13,42,1361,204,59,50,175,74,224,94,881,175,22,42
22,Logan Square,11139,516,9101,475,1485,196,2082,245,1650,246,3848,387,36,72,2038,268,281,113,232,96,156,76,1329,224,40,61
23,Humboldt Park,5910,422,4607,397,993,207,711,164,685,179,2175,306,43,67,1303,213,228,89,187,86,157,84,687,166,44,63
24,West Town,14909,572,12417,549,2567,292,3200,314,2105,273,4494,386,51,77,2492,296,226,90,314,107,282,103,1602,251,68,70
25,Austin,12818,537,9672,510,2515,288,1911,272,1364,244,3823,377,59,70,3146,355,679,175,392,144,201,93,1823,292,51,75
26,West Garfield Park,1486,192,963,171,263,93,186,81,147,78,348,104,19,45,523,115,53,45,88,57,32,37,350,99,0,35
27,East Garfield Park,1857,223,1334,190,366,120,221,90,140,72,572,134,35,50,523,116,100,62,47,45,48,43,267,89,61,63
28,Near West Side,10251,474,8976,461,2215,276,2938,309,1587,247,2159,293,77,73,1275,204,266,99,278,122,152,89,566,142,13,54
29,North Lawndale,2612,263,1920,239,555,135,317,109,250,88,774,158,24,44,692,137,128,62,174,80,45,51,345,101,0,43
30,South Lawndale,5915,415,3885,372,794,170,780,168,514,149,1797,285,0,48,2030,262,461,135,257,92,342,109,934,190,36,63
31,Lower West Side,3286,312,2156,272,390,122,389,131,302,98,1047,192,28,51,1130,189,165,89,100,54,70,50,786,160,9,43
32,Loop,6257,474,4805,456,1114,233,1248,265,1000,308,1400,281,43,44,1452,272,209,102,279,134,210,127,735,209,19,38
33,Near South Side,5711,452,5057,483,786,231,1148,253,895,201,2206,406,22,33,654,213,251,161,108,71,53,42,242,136,0,24
34,Armour Square,1884,236,978,218,99,81,93,50,170,89,606,188,10,27,906,184,132,69,94,71,64,50,596,171,20,35
35,Douglas,1875,186,1622,178,435,116,382,101,247,94,537,114,21,43,253,87,62,47,44,43,26,40,108,68,13,37
36,Oakland,612,125,517,120,191,84,104,59,38,32,184,86,0,19,95,61,27,35,46,49,0,19,17,31,5,17
37,Fuller Park,378,83,224,62,40,27,59,42,57,40,68,37,0,16,154,57,17,17,15,16,9,16,109,48,4,14
38,Grand Boulevard,2767,261,2260,249,843,165,466,126,396,120,518,133,37,57,507,123,160,76,65,62,27,43,255,96,0,43
39,Kenwood,2855,256,2150,241,675,179,413,117,368,118,684,149,10,33,705,149,268,90,85,59,134,76,210,84,8,32
40,Washington Park,833,147,634,135,233,84,117,76,129,70,155,65,0,27,199,82,75,56,2,25,15,28,107,60,0,27
41,Hyde Park,4669,300,3093,265,1069,189,747,148,390,111,812,161,75,68,1576,233,698,162,267,89,101,54,457,128,53,60
42,Woodlawn,2527,270,1976,250,617,166,556,150,218,83,585,147,0,36,551,126,129,64,64,57,7,36,318,102,33,49
43,South Shore,5185,387,3758,350,1166,214,985,220,405,132,1121,215,81,80,1427,226,366,118,277,91,121,73,652,173,11,46
44,Chatham,5195,340,3272,323,1078,196,909,201,247,89,963,211,75,77,1923,237,567,137,378,128,176,72,759,169,43,56
45,Avalon Park,2612,216,1918,213,738,146,305,117,244,94,591,167,40,36,694,144,191,83,158,71,49,40,296,100,0,19
46,South Chicago,4472,354,3068,336,1345,263,767,198,363,119,593,160,0,37,1404,232,463,129,136,59,185,107,574,157,46,52
47,Burnside,580,80,407,100,163,80,42,39,36,32,155,92,11,18,173,76,56,41,31,28,0,11,86,67,0,11
48,Calumet Heights,4377,212,2910,271,1138,208,707,172,508,155,557,148,0,27,1467,232,467,151,198,72,135,67,647,170,20,31
49,Roseland,8896,368,5806,375,2242,266,1138,213,898,190,1493,237,35,46,3090,281,937,164,504,146,411,119,1215,201,23,42
50,Pullman,1377,124,946,129,412,105,227,92,83,49,220,72,4,17,431,97,120,55,46,26,51,37,174,67,40,53
51,South Deering,3128,228,2032,207,834,179,431,140,181,85,502,136,84,71,1096,176,317,110,185,97,154,82,440,109,0,25
52,East Side,4705,276,3007,275,1084,184,778,181,512,148,633,167,0,29,1698,193,613,135,465,116,136,56,472,106,12,33
53,West Pullman,5866,306,4277,335,1933,264,926,184,415,145,949,194,54,60,1589,224,589,144,267,95,203,96,530,135,0,39
54,Riverdale,299,85,107,69,63,53,0,16,0,16,44,54,0,16,192,76,102,68,27,22,46,45,17,31,0,16
55,Hegewisch,2733,224,1602,225,697,189,319,125,186,88,400,151,0,19,1131,184,406,134,127,70,89,61,494,145,15,26
56,Garfield Ridge,9966,285,6421,349,1417,223,2005,286,1050,195,1914,274,35,52,3545,288,645,148,528,130,567,136,1761,213,44,48
57,Archer Heights,2407,203,1761,205,304,86,334,98,291,94,829,156,3,24,646,122,120,52,100,49,36,31,390,100,0,27
58,Brighton Park,5307,380,3674,342,836,183,853,195,496,138,1489,241,0,43,1633,216,223,79,319,110,218,87,823,156,50,46
59,McKinley Park,2917,223,1938,226,436,125,289,94,164,73,1006,186,43,45,979,151,208,89,134,60,94,56,522,115,21,30
60,Bridgeport,5732,330,3801,310,619,155,884,172,606,152,1692,222,0,37,1931,219,289,90,224,74,291,101,1083,173,44,57
61,New City,5071,337,3529,310,863,160,976,197,482,134,1200,206,8,47,1542,208,428,120,220,84,158,74,686,141,50,65
62,West Elsdon,3690,206,2552,217,641,152,491,138,408,139,990,179,22,42,1138,169,278,92,207,99,155,61,476,103,22,34
63,Gage Park,5302,315,4117,320,1057,202,783,182,751,166,1513,242,13,42,1185,189,237,81,195,79,201,101,536,130,16,41
64,Clearing,6346,275,4336,288,1104,208,1424,247,673,180,1109,230,26,35,2010,226,345,112,258,108,310,116,1070,170,27,36
65,West Lawn,7068,295,5247,335,1292,225,1268,248,772,213,1848,283,67,74,1821,237,487,145,283,123,172,79,844,156,35,46
66,Chicago Lawn,6869,405,5430,397,1874,277,1214,234,732,168,1570,266,40,55,1439,219,425,120,277,100,226,93,511,152,0,49
67,West Englewood,4884,312,3316,273,1285,188,499,118,399,113,1108,184,25,56,1568,196,546,124,251,85,180,68,562,132,29,49
68,Englewood,2904,271,1592,218,514,129,317,105,155,84,546,140,60,55,1312,205,421,117,173,81,147,70,551,144,20,39
69,Greater Grand Crossing,4458,302,2872,274,1021,182,610,159,391,124,842,170,8,39,1586,208,481,124,220,89,192,100,670,135,23,44
70,Ashburn,11000,330,8703,376,3529,349,2288,314,1041,230,1826,294,19,40,2297,247,513,134,481,139,195,73,1046,190,62,58
71,Auburn Gresham,8009,393,5397,393,2126,285,999,196,617,167,1600,251,55,62,2612,283,717,162,450,125,356,120,1070,192,19,48
72,Beverly,6296,195,4683,227,1066,170,1559,192,888,155,1112,172,58,60,1613,171,306,82,293,88,228,81,786,129,0,29
73,Washington Heights,6254,319,4278,331,1526,250,1040,195,617,178,1074,210,21,37,1976,245,462,123,347,102,317,122,821,172,29,49
