area_id,area_name,b19113b001,b19113b001_moe
1,Rogers Park,540757,159493
2,West Ridge,619826,518300
3,Uptown,325668,129216
4,Lincoln Square,292638,130431
5,North Center,50446,13177
6,Lake View,365331,258476
7,Lincoln Park,273181,228356
8,Near North Side,494218,430149
12,Forest Glen,34861,296304
13,North Park,129579,93260
14,Albany Park,142433,385288
15,Portage Park,77667,48782
16,Irving Park,271028,130050
18,Montclare,27895,60249
19,Belmont Cragin,337441,198373
21,Avondale,302092,263335
22,Logan Square,610400,436065
23,Humboldt Park,335172,113363
24,West Town,722978,460575
25,Austin,849168,66245
26,West Garfield Park,252424,43782
27,East Garfield Park,339387,61440
28,Near West Side,556901,126507
29,North Lawndale,392715,60110
30,South Lawndale,217579,158961
31,Lower West Side,51702,45243
32,Loop,264027,317360
33,Near South Side,169846,78911
34,Armour Square,50547,31146
35,Douglas,451739,144257
36,Oakland,83294,23921
37,Fuller Park,62775,26755
38,Grand Boulevard,490398,123437
39,Kenwood,433611,150406
40,Washington Park,157497,40334
41,Hyde Park,747441,180027
42,Woodlawn,344547,65118
43,South Shore,596064,69599
44,Chatham,407192,49914
45,Avalon Park,104349,17602
46,South Chicago,348397,45844
47,Burnside,30513,4819
48,Calumet Heights,324593,50273
49,Roseland,644357,56315
50,Pullman,103270,25965
51,South Deering,151853,47401
52,East Side,197031,123331
53,West Pullman,330097,49863
54,Riverdale,34823,9958
55,Hegewisch,24246,40574
56,Garfield Ridge,252416,342039
57,Archer Heights,70104,65973
58,Brighton Park,104735,47363
59,McKinley Park,33563,31243
60,Bridgeport,50420,378133
61,New City,391732,195161
62,West Elsdon,159093,152040
63,Gage Park,122231,80278
65,West Lawn,149240,78827
66,Chicago Lawn,371305,72659
67,West Englewood,567871,49527
68,Englewood,280424,40379
69,Greater Grand Crossing,402606,36166
70,Ashburn,689719,72477
71,Auburn Gresham,540814,45876
72,Beverly,665495,277768
73,Washington Heights,411778,31263
74,Mount Greenwood,70167,61898
75,Morgan Park,473799,95856
76,O'Hare,19722,249264
77,Edgewater,547327,170378
