area_id,area_name,b16006001,b16006001_moe,b16006002,b16006002_moe,b16006003,b16006003_moe,b16006004,b16006004_moe,b16006005,b16006005_moe,b16006006,b16006006_moe,b16006007,b16006007_moe,b16006008,b16006008_moe
1,Rogers Park,12531,1411,1739,403,10735,1347,5495,813,1777,400,2133,518,1330,445,57,94
2,West Ridge,13772,1853,2259,637,11389,1672,5601,882,2159,464,2255,558,1374,540,124,133
3,Uptown,6602,944,1545,345,5036,867,2630,574,934,273,1170,388,302,192,21,56
4,Lincoln Square,6780,1018,1217,335,5526,959,2539,552,1618,487,937,308,432,174,37,70
5,North Center,4249,697,1246,330,2923,590,1738,398,745,243,393,190,47,72,80,86
6,Lake View,6934,737,2537,401,4254,567,2696,418,959,261,541,213,58,73,143,147
7,Lincoln Park,3919,603,1540,332,2237,464,1671,408,301,137,219,108,46,60,142,108
8,Near North Side,4255,734,1368,405,2785,600,1888,426,559,221,189,135,149,222,102,89
9,Edison Park,490,203,215,131,264,164,189,117,54,80,21,31,0,25,11,26
10,Norwood Park,4278,731,1519,460,2742,556,1805,461,254,98,360,105,323,300,17,52
11,Jefferson Park,4733,741,1558,446,3138,644,2198,523,417,169,432,228,91,135,37,49
12,Forest Glen,2217,475,724,295,1476,370,1292,351,105,65,79,48,0,29,17,37
13,North Park,3080,709,459,167,2583,680,1550,492,376,175,433,201,224,139,38,63
14,Albany Park,25344,1912,1887,444,23347,1903,8876,927,4859,661,5951,839,3661,785,110,85
15,Portage Park,24130,1689,3636,631,20383,1675,13320,1328,2941,472,2794,479,1328,346,111,87
16,Irving Park,22984,1786,3947,937,18939,1558,9254,968,3767,528,4200,747,1718,570,98,85
17,Dunning,8922,860,1875,429,6977,691,4787,580,1000,259,917,201,273,103,70,70
18,Montclare,5772,746,702,278,5070,698,3169,525,671,192,963,282,267,128,0,23
19,Belmont Cragin,54336,2345,4746,676,49484,2308,25863,1610,7301,729,11863,1058,4457,615,106,92
20,Hermosa,20632,1197,1763,460,18869,1218,10195,871,2459,364,4150,582,2065,415,0,29
21,Avondale,24681,1903,3054,633,21574,1836,9470,1001,4111,599,5819,965,2174,633,53,65
22,Logan Square,32414,1813,6932,909,25454,1680,11288,983,5080,635,6998,868,2088,393,28,59
23,Humboldt Park,25181,1595,4290,825,20891,1499,11955,1012,3768,510,3488,477,1680,461,0,51
24,West Town,22459,1490,4858,625,17487,1338,10019,1013,2911,462,3132,456,1425,314,114,123
25,Austin,7976,1076,1647,530,6315,948,3956,663,872,273,1079,315,408,204,14,63
