area_id,area_name,b07002001,b07002001_moe,b07002002,b07002002_moe,b07002003,b07002003_moe,b07002004,b07002004_moe,b07002005,b07002005_moe,b07002006,b07002006_moe
1,Rogers Park,201,11,228,10,161,24,206,56,152,14,204,74
2,West Ridge,73,6,80,6,64,21,41,20,81,5,46,5
3,Uptown,192,4,199,7,170,19,197,78,148,24,140,18
6,Lake View,427,8,481,12,376,12,344,31,356,16,415,22
7,Lincoln Park,329,7,375,12,286,9,264,98,274,10,359,125
8,Near North Side,468,17,545,19,372,14,322,45,364,43,355,54
10,Norwood Park,43,2,44,2,27,20,26,10,26,36,27,9
13,North Park,71,4,78,6,51,6,69,37,54,11,53,9
14,Albany Park,65,2,65,2,62,11,62,15,45,5,73,55
15,Portage Park,37,2,40,2,32,5,46,38,25,12,27,50
16,Irving Park,33,4,37,3,27,3,24,5,26,1,22,16
17,Dunning,35,5,38,4,27,3,26,6,27,0,14,2
21,Avondale,68,4,70,6,56,5,56,24,52,32,80,28
22,Logan Square,153,4,160,5,131,10,120,12,128,5,124,52
24,West Town,92,4,103,6,82,4,73,2,79,3,99,13
25,Austin,60,5,65,7,54,5,37,6,34,52,100,9
28,Near West Side,233,8,275,20,206,18,211,54,200,18,206,59
32,Loop,119,5,151,14,107,15,115,31,97,5,109,12
33,Near South Side,35,1,37,1,30,4,29,58,30,4,41,29
34,Armour Square,43,4,45,5,32,24,23,12,42,29,44,16
35,Douglas,107,7,127,12,109,22,92,21,110,39,76,12
39,Kenwood,37,5,50,4,30,7,22,1,25,3,28,5
41,Hyde Park,256,12,303,14,208,17,216,62,193,20,193,11
42,Woodlawn,55,5,61,7,54,7,43,29,43,20,60,50
46,South Chicago,30,3,34,5,26,2,18,20,10,21,29,4
49,Roseland,36,5,39,6,19,20,19,1,19,1,19,14
60,Bridgeport,101,9,108,7,76,17,71,5,101,23,116,12
63,Gage Park,28,2,28,2,31,4,82,2,19,4,27,0
74,Mount Greenwood,39,2,41,3,20,0,19,1,19,1,21,40
76,O'Hare,69,5,72,8,59,11,52,6,66,17,55,4
77,Edgewater,200,13,238,19,172,9,182,100,156,20,164,15
