area_id,area_name,c24010f001,c24010f001_moe,c24010f002,c24010f002_moe,c24010f003,c24010f003_moe,c24010f004,c24010f004_moe,c24010f005,c24010f005_moe,c24010f006,c24010f006_moe,c24010f007,c24010f007_moe,c24010f008,c24010f008_moe,c24010f009,c24010f009_moe,c24010f010,c24010f010_moe,c24010f011,c24010f011_moe,c24010f012,c24010f012_moe,c24010f013,c24010f013_moe
1,Rogers Park,2380,621,1755,508,214,117,795,379,106,79,204,122,436,237,625,220,127,91,232,128,124,95,0,48,142,108
2,West Ridge,2396,580,1546,431,104,95,256,151,307,168,382,227,497,225,850,264,89,106,308,136,294,142,0,51,159,138
3,Uptown,1593,500,1159,384,325,161,349,224,118,90,42,67,325,182,434,216,134,102,139,112,119,104,5,48,37,62
4,Lincoln Square,1735,538,998,350,151,147,225,134,48,67,298,165,276,215,737,262,35,45,350,198,218,162,0,40,134,105
5,North Center,428,166,172,79,61,54,23,55,60,64,6,43,22,44,256,126,107,91,62,68,59,54,28,57,0,43
6,Lake View,1029,257,578,184,163,98,181,107,164,113,54,80,16,69,451,159,215,118,121,94,62,77,38,85,15,69
7,Lincoln Park,458,187,249,148,75,72,11,52,137,133,14,54,12,52,209,114,108,87,82,83,5,50,0,51,14,54
8,Near North Side,1003,422,485,253,219,155,49,92,123,116,36,66,58,95,518,316,126,87,38,66,354,305,0,54,0,54
9,Edison Park,35,35,20,27,12,26,8,25,0,25,0,25,0,25,15,31,0,25,0,25,15,31,0,25,0,25
10,Norwood Park,953,411,493,253,33,50,105,116,101,89,116,111,138,95,460,208,117,99,137,94,206,121,0,39,0,39
11,Jefferson Park,828,375,366,169,40,46,97,93,39,43,62,76,128,103,462,266,35,48,92,86,335,205,0,29,0,29
12,Forest Glen,527,225,263,134,61,71,70,57,108,85,0,29,24,47,264,122,96,79,48,82,120,86,0,29,0,29
13,North Park,932,330,530,233,54,67,265,171,95,81,81,70,35,50,402,174,120,86,77,63,149,108,0,27,56,61
14,Albany Park,9546,1217,6298,871,327,157,2513,572,594,201,1442,445,1422,426,3248,611,231,120,1645,418,425,199,0,45,947,338
15,Portage Park,7389,843,3966,530,256,128,1124,302,897,253,606,230,1083,255,3423,499,660,215,1074,285,1143,269,5,48,541,242
16,Irving Park,6104,903,3980,737,307,154,1512,491,607,234,706,235,848,334,2124,399,541,195,636,251,704,201,30,64,213,120
17,Dunning,1697,412,882,230,122,105,302,155,103,84,122,90,233,120,815,269,204,132,283,123,222,125,0,40,106,79
18,Montclare,1356,296,852,187,133,89,118,79,160,71,221,115,220,103,504,153,135,95,71,49,193,87,0,23,105,76
19,Belmont Cragin,17127,1292,9700,851,755,219,2048,396,1751,344,1301,289,3845,519,7427,693,924,219,2038,371,2203,369,31,63,2231,370
20,Hermosa,6331,718,3790,510,301,120,1098,324,658,175,469,182,1264,277,2541,376,507,158,884,223,758,201,16,37,376,142
21,Avondale,3518,742,2494,616,202,94,737,285,489,218,360,175,706,325,1024,281,163,80,333,170,342,149,2,35,184,116
22,Logan Square,2466,496,1345,332,181,95,281,124,148,82,259,149,476,217,1121,260,285,112,279,132,401,140,0,57,156,108
23,Humboldt Park,5279,728,2899,499,279,122,370,133,444,177,517,173,1289,355,2380,371,421,157,724,193,677,210,64,78,494,188
24,West Town,3454,504,1836,321,415,151,449,185,399,150,165,105,408,152,1618,290,582,183,456,157,469,149,0,62,111,85
25,Austin,1794,523,1041,311,57,77,319,187,169,111,77,78,419,190,753,256,258,130,185,101,204,133,0,61,106,105
26,West Garfield Park,110,120,68,82,0,35,23,47,0,35,18,41,27,51,42,52,36,52,0,35,0,35,0,35,6,34
27,East Garfield Park,95,80,59,65,27,50,0,38,0,38,0,38,32,57,36,55,0,38,0,38,36,55,0,38,0,38
28,Near West Side,809,231,431,161,151,92,44,66,60,78,96,79,80,87,378,134,162,77,71,72,88,81,0,52,57,77
29,North Lawndale,473,211,334,208,12,45,55,60,18,46,2,43,247,203,139,86,20,52,23,50,48,51,0,43,48,53
30,South Lawndale,6059,844,3860,580,279,135,795,260,465,171,643,232,1678,356,2199,386,406,155,548,169,650,204,0,48,595,192
31,Lower West Side,7614,889,4830,664,455,157,1269,329,567,191,719,229,1820,413,2784,408,657,188,707,184,798,231,0,42,622,183
32,Loop,248,159,225,156,96,97,57,95,55,91,17,37,0,30,23,44,23,44,0,30,0,30,0,30,0,30
33,Near South Side,426,239,142,112,105,99,0,24,37,61,0,24,0,24,284,198,41,47,50,51,193,188,0,24,0,24
34,Armour Square,188,121,89,71,24,42,36,44,0,27,0,27,29,51,99,96,38,48,11,31,50,60,0,27,0,27
35,Douglas,161,110,85,70,59,65,15,41,0,35,0,35,11,37,76,65,38,54,25,48,13,37,0,35,0,35
36,Oakland,59,70,39,45,0,19,17,31,0,19,0,19,22,36,20,34,20,34,0,19,0,19,0,19,0,19
37,Fuller Park,59,65,30,41,0,16,6,15,0,16,0,16,24,40,29,38,0,16,0,16,0,16,0,16,29,38
38,Grand Boulevard,141,89,74,69,41,52,0,43,0,43,23,56,10,44,67,63,17,44,42,58,8,43,0,43,0,43
39,Kenwood,80,63,57,56,38,52,0,31,0,31,15,36,4,30,23,39,0,31,0,31,23,39,0,31,0,31
40,Washington Park,15,31,15,31,0,27,10,32,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,221,144,161,131,57,60,75,96,3,37,0,38,26,56,60,59,9,37,32,46,19,49,0,38,0,38
42,Woodlawn,67,59,42,53,26,50,0,36,5,36,0,36,11,39,25,44,0,36,15,41,10,40,0,36,0,36
43,South Shore,163,151,72,84,0,44,49,75,0,44,23,57,0,44,91,85,29,51,1,43,24,57,0,44,37,74
