area_id,area_name,b25063001,b25063001_moe,b25063002,b25063002_moe,b25063003,b25063003_moe,b25063004,b25063004_moe,b25063005,b25063005_moe,b25063006,b25063006_moe,b25063007,b25063007_moe,b25063008,b25063008_moe,b25063009,b25063009_moe,b25063010,b25063010_moe,b25063011,b25063011_moe,b25063012,b25063012_moe,b25063013,b25063013_moe,b25063014,b25063014_moe,b25063015,b25063015_moe,b25063016,b25063016_moe,b25063017,b25063017_moe,b25063018,b25063018_moe,b25063019,b25063019_moe,b25063020,b25063020_moe,b25063021,b25063021_moe,b25063022,b25063022_moe,b25063023,b25063023_moe,b25063024,b25063024_moe
1,Rogers Park,16986,651,16781,650,81,92,85,79,231,135,328,133,138,99,179,109,125,94,171,116,104,78,186,107,618,209,933,248,940,223,1113,253,1354,270,2907,402,2286,340,2765,373,1148,224,981,239,108,89,205,90
2,West Ridge,12088,626,11635,633,88,98,21,61,125,81,93,96,88,96,46,65,49,66,117,95,44,60,107,88,147,100,222,128,248,147,603,206,661,205,1840,338,1811,327,2664,400,1685,339,855,259,121,78,453,171
3,Uptown,19951,640,19665,651,243,151,119,84,800,236,1110,268,344,125,311,136,646,198,442,166,591,200,835,242,876,237,814,211,895,226,1036,255,995,237,1812,334,1559,266,2634,360,1694,297,1513,281,396,166,286,128
4,Lincoln Square,10602,509,10462,512,0,40,0,40,8,41,0,40,0,40,0,40,32,53,34,51,87,134,159,107,155,109,114,73,305,119,569,188,551,162,1653,302,1784,280,2477,319,1296,242,1043,236,195,118,140,78
5,North Center,6966,392,6853,386,19,51,28,57,79,59,51,56,10,45,3,42,0,43,39,52,10,44,38,50,140,91,53,55,89,68,174,83,129,88,614,167,657,174,1593,252,1108,197,1430,232,589,149,113,81
6,Lake View,32881,782,32572,781,47,72,24,72,214,105,276,132,99,86,139,88,198,108,350,159,145,157,144,111,194,103,472,194,531,177,789,200,1541,334,3394,442,3380,398,7004,554,3989,429,5799,480,3843,391,309,115
7,Lincoln Park,17532,621,17192,618,12,53,74,69,139,89,460,145,112,90,108,68,66,62,145,99,32,54,242,134,128,94,251,128,179,97,481,181,599,180,1245,293,1270,257,2732,348,2366,327,3583,420,2968,363,340,137
8,Near North Side,27993,973,27128,977,131,104,162,113,539,215,611,210,287,137,164,106,390,191,183,122,149,99,288,147,209,147,134,106,86,74,200,138,400,209,1012,271,1194,258,3865,528,4907,589,7215,670,5002,525,865,221
9,Edison Park,932,170,911,168,0,25,0,25,8,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,8,24,9,27,11,26,29,43,34,38,95,69,273,107,158,92,161,100,84,60,41,41,21,29
10,Norwood Park,3022,325,2629,309,0,39,0,39,10,38,0,39,15,43,0,39,0,39,0,39,26,53,0,39,43,49,26,47,75,84,146,99,28,46,192,103,613,184,802,217,349,137,295,156,9,40,393,156
