area_id,area_name,b17020d001,b17020d001_moe,b17020d002,b17020d002_moe,b17020d003,b17020d003_moe,b17020d004,b17020d004_moe,b17020d005,b17020d005_moe,b17020d006,b17020d006_moe,b17020d007,b17020d007_moe,b17020d008,b17020d008_moe,b17020d009,b17020d009_moe,b17020d010,b17020d010_moe,b17020d011,b17020d011_moe,b17020d012,b17020d012_moe,b17020d013,b17020d013_moe,b17020d014,b17020d014_moe,b17020d015,b17020d015_moe,b17020d016,b17020d016_moe,b17020d017,b17020d017_moe
61,New City,563,153,83,97,17,51,0,47,11,49,0,47,55,68,0,47,0,47,480,130,27,53,0,47,77,62,63,52,313,99,0,47,0,47
62,West Elsdon,306,159,40,40,0,27,0,27,0,27,0,27,40,40,0,27,0,27,266,156,31,43,0,27,15,36,0,27,182,109,9,24,29,32
63,Gage Park,471,240,109,96,0,41,0,41,0,41,0,41,84,95,13,43,12,39,362,220,14,46,12,43,8,41,94,95,208,125,17,41,9,40
64,Clearing,186,231,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,186,231,0,31,0,31,0,31,26,51,150,190,10,33,0,31
65,West Lawn,95,88,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,95,88,0,34,0,34,0,34,0,34,59,53,27,43,9,34
66,Chicago Lawn,436,304,78,129,26,64,0,49,0,49,0,49,52,91,0,49,0,49,358,280,0,49,0,49,4,49,2,48,278,266,60,70,14,51
67,West Englewood,41,65,26,61,0,48,0,48,0,48,0,48,26,61,0,48,0,48,15,52,0,48,0,48,0,48,0,48,15,52,0,48,0,48
68,Englewood,17,38,9,38,0,36,0,36,0,36,0,36,9,38,0,36,0,36,8,37,0,36,0,36,0,36,0,36,8,37,0,36,0,36
69,Greater Grand Crossing,21,51,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,21,51,0,38,0,38,0,38,0,38,21,51,0,38,0,38
70,Ashburn,114,97,43,78,11,41,0,41,0,41,0,41,19,48,0,41,13,43,71,68,0,41,0,41,11,41,0,41,49,51,11,41,0,41
71,Auburn Gresham,77,126,1,44,0,46,0,46,0,46,0,46,1,44,0,46,0,46,76,126,10,48,0,46,10,48,0,46,34,74,22,51,0,46
72,Beverly,61,59,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,59,0,29,0,29,7,29,31,47,12,28,0,29,11,33
73,Washington Heights,2,30,1,29,0,33,0,33,0,33,0,33,0,33,0,33,1,29,1,30,0,33,0,33,0,33,0,33,1,30,0,33,0,33
74,Mount Greenwood,116,167,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,116,167,17,34,0,25,18,34,17,34,40,58,24,42,0,25
75,Morgan Park,110,89,1,29,0,31,0,31,0,31,0,31,0,31,1,29,0,31,109,89,0,31,0,31,0,31,0,31,82,81,13,36,14,36
76,O'Hare,1173,435,146,171,0,38,0,38,34,61,6,42,94,110,0,38,12,42,1027,425,98,88,6,38,0,38,0,38,905,380,0,38,18,52
77,Edgewater,6568,931,1307,446,8,49,0,48,21,53,25,56,1085,416,69,77,99,93,5261,800,155,108,20,52,190,159,281,142,3904,592,379,154,332,147
