area_id,area_name,b21002001,b21002001_moe,b21002002,b21002002_moe,b21002003,b21002003_moe,b21002004,b21002004_moe,b21002005,b21002005_moe,b21002006,b21002006_moe,b21002007,b21002007_moe,b21002008,b21002008_moe,b21002009,b21002009_moe,b21002010,b21002010_moe,b21002011,b21002011_moe,b21002012,b21002012_moe,b21002013,b21002013_moe,b21002014,b21002014_moe,b21002015,b21002015_moe,b21002016,b21002016_moe
1,Rogers Park,1777,286,371,153,87,70,0,48,197,93,0,48,394,129,7,48,0,48,103,61,0,48,64,64,284,143,252,108,18,53,0,48
2,West Ridge,1867,311,254,132,0,51,8,52,213,133,0,51,406,129,0,51,17,55,323,124,13,53,215,92,164,125,243,94,11,54,0,51
3,Uptown,1830,301,94,93,101,89,0,48,216,102,0,48,642,186,0,48,0,48,146,85,0,48,164,92,324,133,128,65,0,48,15,52
4,Lincoln Square,1301,248,96,71,21,45,0,40,109,66,0,40,502,137,5,38,0,40,85,62,16,46,92,64,214,153,151,78,10,39,0,40
5,North Center,931,178,165,100,24,44,0,43,69,54,0,43,241,95,0,43,0,43,65,50,14,46,84,53,124,72,145,90,0,43,0,43
6,Lake View,2315,328,226,114,247,121,0,66,166,95,0,66,642,205,0,66,0,66,234,103,14,68,314,133,239,116,203,91,30,75,0,66
7,Lincoln Park,1658,270,82,77,28,54,0,51,101,74,12,53,590,159,0,51,0,51,192,99,12,52,239,116,181,110,184,91,37,75,0,51
8,Near North Side,3464,436,97,82,29,64,0,54,203,104,0,54,1371,321,0,54,0,54,473,150,0,54,381,126,306,141,568,169,29,69,7,55
9,Edison Park,748,192,192,137,13,29,0,25,51,59,0,25,170,76,9,25,0,25,60,38,0,25,109,61,32,28,90,56,22,29,0,25
10,Norwood Park,2337,299,23,52,65,78,7,39,144,102,19,50,824,184,0,39,0,39,236,88,0,39,424,123,150,83,430,121,0,39,15,43
11,Jefferson Park,1120,227,43,50,43,55,10,31,55,48,0,29,363,121,0,29,0,29,106,58,0,29,218,120,94,67,179,103,9,32,0,29
12,Forest Glen,987,153,24,39,6,29,0,29,35,36,0,29,255,81,0,29,0,29,108,55,15,33,178,86,143,79,194,67,29,40,0,29
13,North Park,621,199,83,101,0,27,0,27,46,75,0,27,136,69,0,27,0,27,83,52,38,64,26,30,112,80,97,58,0,27,0,27
14,Albany Park,1151,252,129,83,9,44,0,45,201,132,0,45,403,140,5,45,0,45,44,55,0,45,94,62,208,112,31,48,19,53,8,47
15,Portage Park,2019,305,113,84,13,49,0,47,208,131,25,52,654,155,0,47,0,47,279,109,8,48,228,82,234,138,231,96,26,53,0,47
16,Irving Park,1858,297,230,127,43,70,0,47,273,130,0,47,668,158,13,50,0,47,135,81,0,47,86,62,226,93,166,86,18,48,0,47
17,Dunning,1546,203,89,75,37,52,0,40,97,65,0,40,422,108,11,43,9,41,209,74,14,41,254,82,183,85,221,83,0,40,0,40
18,Montclare,712,171,19,26,0,23,0,23,102,72,0,23,140,70,0,23,0,23,120,86,0,23,239,91,47,40,45,37,0,23,0,23
19,Belmont Cragin,1382,256,164,101,39,58,0,52,97,80,0,52,459,146,0,52,0,52,101,78,19,53,180,103,215,125,108,70,0,52,0,52
20,Hermosa,439,143,29,55,30,55,0,29,86,69,0,29,114,67,0,29,0,29,104,65,0,29,0,29,69,67,7,27,0,29,0,29
21,Avondale,780,194,95,69,28,43,0,38,178,95,0,38,196,98,0,38,3,38,36,50,0,38,32,47,120,86,85,56,7,39,0,38
22,Logan Square,1556,264,292,149,68,70,0,57,276,115,0,57,406,140,0,57,0,57,161,96,0,57,64,63,260,117,29,60,0,57,0,57
23,Humboldt Park,1460,275,103,80,54,86,0,51,77,64,0,51,471,157,0,51,0,51,168,90,0,51,19,53,427,151,141,99,0,51,0,51
24,West Town,1438,244,219,121,53,67,0,62,253,130,0,62,500,131,0,62,7,63,31,65,0,62,84,89,183,91,90,76,5,62,13,65
25,Austin,3752,427,313,140,14,65,0,61,403,155,5,60,1426,263,26,71,0,61,328,108,0,61,274,108,648,194,307,108,8,62,0,61
26,West Garfield Park,622,148,40,50,5,34,0,35,61,49,0,35,114,61,0,35,0,35,78,55,0,35,23,36,293,106,8,35,0,35,0,35
27,East Garfield Park,631,167,15,43,0,38,0,38,133,81,0,38,201,83,0,38,0,38,51,49,0,38,42,47,134,87,52,54,3,38,0,38
28,Near West Side,1642,273,335,139,39,57,0,52,138,92,5,51,522,128,0,52,0,52,82,66,0,52,108,83,279,116,119,92,15,52,0,52
29,North Lawndale,1349,243,75,78,0,43,0,43,181,114,0,43,467,145,19,50,4,42,59,52,0,43,111,71,311,108,93,66,29,46,0,43
30,South Lawndale,545,153,99,83,12,51,0,48,81,74,0,48,133,75,0,48,0,48,67,56,0,48,25,50,75,68,42,54,11,51,0,48
31,Lower West Side,722,187,112,78,4,41,0,42,124,99,0,42,259,116,0,42,0,42,76,68,0,42,67,49,42,53,38,48,0,42,0,42
32,Loop,736,174,17,39,14,35,0,30,62,46,5,29,247,98,0,30,0,30,86,87,77,28,88,64,74,88,66,60,0,30,0,30
33,Near South Side,480,158,9,25,0,24,0,24,143,109,0,24,229,113,0,24,0,24,27,24,0,24,26,32,27,41,19,26,0,24,0,24
34,Armour Square,425,156,95,108,0,27,0,27,0,27,0,27,139,92,0,27,0,27,39,32,0,27,96,66,43,38,13,29,0,27,0,27
35,Douglas,971,177,11,40,68,61,0,35,100,83,0,35,217,83,18,45,0,35,93,58,0,35,128,63,223,94,113,58,0,35,0,35
36,Oakland,283,95,31,36,9,21,0,19,13,25,0,19,78,60,0,19,0,19,0,19,12,25,65,54,36,39,32,32,0,19,7,20
37,Fuller Park,205,107,31,49,0,16,0,16,6,16,0,16,44,33,0,16,0,16,20,26,0,16,11,19,49,45,44,38,0,16,0,16
38,Grand Boulevard,1322,235,140,109,8,43,0,43,147,70,0,43,364,130,0,43,0,43,121,73,0,43,105,68,326,119,111,67,0,43,0,43
39,Kenwood,808,225,24,39,0,31,0,31,150,132,0,31,218,85,0,31,0,31,212,97,29,41,64,48,81,54,30,37,0,31,0,31
40,Washington Park,503,130,25,34,13,30,0,27,53,49,0,27,177,80,0,27,0,27,73,52,0,27,47,49,86,54,29,35,0,27,0,27
41,Hyde Park,1097,231,21,41,40,45,14,42,53,65,0,38,327,124,0,38,3,37,111,76,0,38,222,111,178,106,126,68,0,38,2,37
42,Woodlawn,1281,273,127,107,69,87,0,36,79,51,0,36,432,130,0,36,0,36,110,70,8,39,38,41,285,162,105,69,28,56,0,36
