area_id,area_name,b13004001,b13004001_moe,b13004002,b13004002_moe,b13004003,b13004003_moe,b13004004,b13004004_moe,b13004005,b13004005_moe,b13004006,b13004006_moe,b13004007,b13004007_moe,b13004008,b13004008_moe,b13004009,b13004009_moe,b13004010,b13004010_moe,b13004011,b13004011_moe
1,Rogers Park,16008,1065,862,228,528,187,334,134,110,84,224,114,15146,1056,5117,521,10029,910,1382,255,8647,889
2,West Ridge,17246,982,1266,308,1106,296,160,96,34,66,126,85,15980,948,7547,569,8433,780,857,264,7576,741
3,Uptown,15514,807,642,198,531,179,111,90,18,47,93,89,14872,797,4910,485,9962,745,1715,291,8247,716
4,Lincoln Square,11792,642,620,160,511,137,109,89,11,42,98,88,11172,651,4689,415,6483,565,1381,266,5102,526
5,North Center,10412,537,728,148,722,148,6,42,0,43,6,42,9684,537,4044,311,5640,494,1180,197,4460,480
6,Lake View,36225,1271,1446,237,1292,218,154,108,54,81,100,98,34779,1290,8859,531,25920,1272,3050,378,22870,1259
7,Lincoln Park,21726,948,841,173,705,150,136,94,14,54,122,93,20885,951,6113,485,14772,925,1551,266,13221,914
8,Near North Side,25416,1107,832,248,667,219,165,123,16,59,149,121,24584,1105,6136,615,18448,1042,1728,363,16720,1025
9,Edison Park,2897,306,55,43,44,40,11,26,0,25,11,26,2842,312,1196,157,1646,297,154,85,1492,299
10,Norwood Park,7841,535,505,170,359,134,146,112,12,41,134,111,7336,521,3914,355,3422,445,232,125,3190,424
11,Jefferson Park,6401,524,350,140,274,124,76,70,37,63,39,39,6051,522,3222,345,2829,399,278,128,2551,380
12,Forest Glen,3919,320,280,98,197,83,83,75,43,59,40,56,3639,317,2210,249,1429,251,143,87,1286,238
13,North Park,4281,459,292,117,269,116,23,37,16,35,7,28,3989,463,1831,252,2158,391,128,65,2030,385
14,Albany Park,14076,819,810,213,582,191,228,113,89,80,139,87,13266,822,6136,510,7130,654,1420,281,5710,617
15,Portage Park,16985,915,884,233,510,179,374,151,141,100,233,121,16101,933,7554,527,8547,838,981,229,7566,822
