area_id,area_name,b24081001,b24081001_moe,b24081002,b24081002_moe,b24081003,b24081003_moe,b24081004,b24081004_moe,b24081005,b24081005_moe,b24081006,b24081006_moe,b24081007,b24081007_moe,b24081008,b24081008_moe,b24081009,b24081009_moe
1,Rogers Park,109094,12247,99341,16220,94576,17084,361930,333003,127312,35809,210289,71096,223066,90403,162609,73509,82647,23951
2,West Ridge,205234,19786,194792,16668,191807,20246,313217,96159,217074,47430,408038,90039,322867,115620,409574,103390,155558,54608
3,Uptown,191420,16794,187574,21971,185049,21272,391087,240190,185526,47629,234564,45521,180508,132160,322215,57558,124968,78213
4,Lincoln Square,256400,17168,252030,24351,255835,28059,240978,118659,283717,57542,316910,63357,241028,109299,358229,214583,187550,109927
5,North Center,262140,17205,271797,18802,272670,21734,278796,217634,221510,38724,283144,97254,233725,90662,264230,199609,201249,282105
6,Lake View,535731,25510,565421,34267,559720,34935,908722,535072,476069,77475,484367,181060,510844,113828,773005,382455,374193,236146
7,Lincoln Park,299812,15247,321728,22971,316075,23702,410428,147679,248663,28164,275444,85845,413629,206840,488025,194591,290931,305897
8,Near North Side,246415,17274,254111,20705,252940,20877,482866,283458,282661,222574,190929,41329,217492,125728,280680,103119,183163,73694
9,Edison Park,106185,9592,92107,15929,89051,16319,130239,99804,115088,55383,155727,20275,84756,43202,146875,157415,103938,61376
10,Norwood Park,82775,15790,72304,9729,71430,9736,87741,86827,65412,28163,148332,3895,111613,60371,178266,26185,59659,32578
11,Jefferson Park,80292,12923,67448,6291,67949,6931,41269,3845,73017,18314,150917,15306,121950,124662,128115,85822,20914,22127
12,Forest Glen,57417,11119,52624,11428,52917,12635,50588,20442,53219,23133,76392,5731,95208,97590,62396,125013,15729,56422
13,North Park,61700,10643,50981,8010,52102,8451,34621,33072,79868,20857,102716,56987,105447,33399,69292,71383,48455,20882
14,Albany Park,92486,13984,79264,10368,78957,11768,91920,55373,142697,22231,180709,48712,144504,156335,150246,101852,76320,81008
15,Portage Park,233512,10890,211506,15848,213381,16811,280382,119783,259637,40075,382093,77894,346732,105636,286697,104649,199243,94058
16,Irving Park,68174,9441,67586,17912,67300,13655,214713,229265,88958,48440,111067,50760,72755,43357,164901,124971,44868,30439
17,Dunning,192134,11341,179880,12581,178203,12725,241489,74397,252943,50129,377941,52665,291975,86444,350065,139576,141135,42435
19,Belmont Cragin,54421,4291,52471,4814,52281,5256,52525,14682,69166,23469,81189,62651,121766,33422,91037,24976,63398,38105
21,Avondale,153192,16592,150319,23585,145822,25276,344523,173842,201599,51297,185095,33964,176866,99774,312736,136050,119813,68419
22,Logan Square,394175,24902,382871,28850,377843,28306,778729,386908,414263,42252,439297,106354,445644,136418,681083,378818,339429,122695
23,Humboldt Park,55139,7602,54223,8745,53139,10617,55469,32915,50770,41477,54969,11145,58775,61102,88064,17054,34440,7988
24,West Town,647337,26926,646846,36132,646238,39410,995309,320390,635122,92394,737297,124239,726453,139246,864000,288749,377952,148211
25,Austin,115227,9253,104904,9719,103807,13112,192078,281202,166957,55682,177456,47925,122969,108589,171775,105240,79338,53462
28,Near West Side,503402,26525,513987,29225,512385,29783,671397,230482,422396,119282,602777,143227,474060,204527,731466,217569,323055,232276
32,Loop,60785,7863,59974,6570,60192,6434,44458,75548,43977,20022,7390,97179,12222,38404,106197,25192,106250,41478
33,Near South Side,124574,14123,128822,16939,132475,17614,129532,75056,136586,15878,126953,29511,81207,14013,133203,63503,53032,71053
34,Armour Square,18813,3086,19583,4876,19679,6633,14034,11665,12212,4927,63393,26885,49318,23226,6875,171500,15175,13768
35,Douglas,98997,21406,100511,15232,100494,27803,99037,67333,45571,22677,162400,13568,128192,47839,126357,44493,210706,286875
36,Oakland,35804,14556,31702,13463,31893,14808,31146,76482,47188,27352,69167,16639,16917,129493,165313,165473,10781,10902
38,Grand Boulevard,33088,6057,28892,8645,28636,8338,95703,101442,29000,9741,54356,10682,33611,13414,4779,109847,7159,80019
39,Kenwood,165218,21545,144432,29728,139396,29533,231475,474707,147223,58314,173321,61472,257848,197515,279329,99669,91878,101569
41,Hyde Park,62642,11567,44280,16929,42771,10340,136394,345773,61978,27704,97336,39739,114851,49348,83230,26429,42958,39448
42,Woodlawn,38328,7449,32090,6451,32057,6365,58125,80101,45021,10239,61309,3099,6429,102440,56194,584,9185,11399
43,South Shore,69120,7062,74535,7469,74665,6506,100133,176495,57826,31985,82407,29411,88738,50283,71167,26402,23460,21982
44,Chatham,33056,18992,25750,8571,26350,9288,11250,5850,28000,45737,61875,3807,33819,17762,50417,10177,7647,7842
45,Avalon Park,76449,11647,70877,11291,70502,10736,107990,227742,62206,28807,105883,68738,93617,50076,108708,65284,59829,36807
46,South Chicago,26689,1744,26259,1932,26259,1971,30000,65045,20795,7741,71389,30588,14750,14995,42969,64133,32813,45932
48,Calumet Heights,38578,9573,31719,8739,30781,7811,142500,164870,40938,21894,66731,18678,36250,42361,73359,15722,21563,19899
49,Roseland,33699,6847,29547,2753,29657,3294,21591,15791,34659,20856,41020,9305,46779,23153,45114,6758,85597,117407
52,East Side,25181,5161,24020,5462,21995,3626,39135,16637,27736,12131,70536,28379,63906,10698,53333,35975,18150,7443
53,West Pullman,53141,9092,51424,11876,53202,13960,39395,63409,60887,51631,97575,37756,48892,46145,218691,173944,47100,70423
56,Garfield Ridge,123843,13530,97042,8225,96322,7577,173117,56076,136821,54408,213251,21217,154343,38044,178460,81405,79894,36935
60,Bridgeport,108329,10705,98080,12510,99965,12561,91165,74176,99037,53480,186354,39509,200796,86915,154389,79507,41745,95368
62,West Elsdon,23041,3594,21983,2571,22013,2736,21071,8211,42083,28375,51250,20632,20938,32928,60288,66044,13851,14983
64,Clearing,44211,7201,34840,8871,33644,7041,54063,51773,43315,30022,67591,8935,76528,18077,61489,15728,30851,10837
66,Chicago Lawn,87770,7935,78053,8584,77848,8089,111391,106255,113728,48544,118703,26725,25930,114537,154489,30480,89665,24834
70,Ashburn,84464,11777,66690,9151,66621,9161,72908,38626,86307,28594,122978,31257,128615,88000,111104,12695,30408,26880
71,Auburn Gresham,26232,7734,21484,4742,21680,5045,20526,38414,26320,1334,30652,17464,36553,12734,57113,75159,32946,40971
72,Beverly,221807,18828,180569,30550,176912,35374,305447,208374,199696,67704,297264,20474,256274,104901,262106,64944,95497,82179
73,Washington Heights,65174,19697,47431,23447,46559,20717,73356,64780,65218,18844,60504,49070,114595,41946,109518,153684,45250,32201
74,Mount Greenwood,107596,9720,73275,15361,70675,14371,248571,154053,72264,12462,156506,7245,126048,73585,134793,78445,99709,152050
75,Morgan Park,108638,8150,100632,12994,99472,14229,116538,44272,83346,26126,138582,11911,144275,119889,127625,18407,39710,41085
77,Edgewater,216387,13025,207874,16360,205397,16379,295890,169850,239904,20322,316470,89135,244002,55545,266776,184311,144576,74763
