area_id,area_name,b06012001,b06012001_moe,b06012002,b06012002_moe,b06012003,b06012003_moe,b06012004,b06012004_moe,b06012005,b06012005_moe,b06012006,b06012006_moe,b06012007,b06012007_moe,b06012008,b06012008_moe,b06012009,b06012009_moe,b06012010,b06012010_moe,b06012011,b06012011_moe,b06012012,b06012012_moe,b06012013,b06012013_moe,b06012014,b06012014_moe,b06012015,b06012015_moe,b06012016,b06012016_moe,b06012017,b06012017_moe,b06012018,b06012018_moe,b06012019,b06012019_moe,b06012020,b06012020_moe
1,Rogers Park,55080,2108,14833,1651,6697,1116,33550,1677,25467,1521,7251,1049,2802,607,15414,1146,12580,895,2670,500,938,235,8972,699,696,204,178,117,196,111,322,132,16337,1531,4734,975,2761,704,8842,1158
2,West Ridge,72693,2583,14484,2107,9809,1723,48400,2267,30720,1687,6151,1186,3356,780,21213,1461,7368,761,882,308,548,276,5938,662,1402,520,106,87,288,231,1008,464,33203,2128,7345,1378,5617,1136,20241,1595
3,Uptown,53601,1705,13483,1321,4693,711,35425,1558,22301,1318,6151,861,2009,509,14141,1064,16758,987,2603,454,1101,237,13054,866,988,270,451,208,9,49,528,171,13554,1181,4278,771,1574,393,7702,958
4,Lincoln Square,38135,1328,4633,923,3497,764,30005,1190,17538,1080,1753,539,1210,340,14575,991,9559,608,803,202,533,175,8223,569,695,200,104,101,57,62,534,170,10343,1014,1973,602,1697,531,6673,753
5,North Center,33388,1095,2125,429,1121,293,30142,1086,18961,968,1100,264,516,196,17345,951,10013,651,600,210,380,144,9033,597,599,163,60,66,5,42,534,148,3815,501,365,187,220,107,3230,459
6,Lake View,96353,1728,11256,998,4364,727,80733,1785,40512,1458,4067,590,2210,570,34235,1396,42699,1438,4802,597,1364,254,36533,1339,1572,309,140,100,225,157,1207,256,11570,874,2247,463,565,201,8758,741
7,Lincoln Park,61618,1651,7529,780,1975,363,52114,1676,27978,1268,3617,531,853,246,23508,1190,26519,1160,2788,427,816,236,22915,1120,829,188,233,105,34,53,562,154,6292,653,891,250,272,109,5129,594
8,Near North Side,78942,1806,10677,1094,2989,522,65276,1763,33904,1558,5769,847,1189,310,26946,1415,29964,1376,2862,497,1021,266,26081,1333,1092,357,250,176,22,60,820,312,13982,1163,1796,450,757,298,11429,1034
9,Edison Park,11135,498,330,159,348,143,10457,496,8514,568,223,117,243,124,8048,573,1016,260,68,78,41,69,907,212,155,84,10,25,11,26,134,81,1450,344,29,31,53,48,1368,344
10,Norwood Park,36911,1212,1938,472,1893,612,33080,1313,25795,1077,1273,396,1200,477,23322,1033,2439,393,150,77,42,45,2247,382,428,158,17,37,19,49,392,153,8249,824,498,205,632,283,7119,835
