area_id,area_name,b20017b001,b20017b001_moe,b20017b002,b20017b002_moe,b20017b003,b20017b003_moe,b20017b004,b20017b004_moe,b20017b005,b20017b005_moe,b20017b006,b20017b006_moe,b20017b007,b20017b007_moe
1,Rogers Park,247786,41567,276300,65380,371878,85462,105826,35807,259868,45173,329969,61501,87778,74452
2,West Ridge,94081,30760,111658,41594,163695,81956,44391,38254,59369,29554,105325,38311,28169,15182
3,Uptown,109896,14709,115876,21597,158238,35570,60162,37795,106133,30006,130020,43315,64839,12887
4,Lincoln Square,72059,28072,80762,38904,97251,52778,35534,22988,39479,56686,77881,44545,13070,3731
6,Lake View,27955,15384,36250,9804,37344,31381,14327,8367,15417,4058,22375,9892,13917,3296
8,Near North Side,28171,15944,40929,60639,147551,269687,16887,79612,27708,15720,58373,100937,16630,15859
22,Logan Square,17049,6164,16719,6168,21389,6626,7917,8074,20568,9838,25521,9934,11985,1774
23,Humboldt Park,183635,25338,223035,55204,317334,77054,114250,68537,173422,26196,294596,82002,73861,20518
24,West Town,74239,51700,206361,237294,261634,151083,66868,567540,28205,14961,136980,51815,11195,6247
25,Austin,594126,28646,634814,53255,826488,79429,233637,57919,573509,39860,761579,52115,228016,50453
26,West Garfield Park,189054,26916,168219,42421,318787,55169,117609,46760,191674,31468,268853,48268,71226,34387
27,East Garfield Park,241028,30725,213175,53199,358179,67123,73457,56820,236604,35092,318304,54572,128134,29294
28,Near West Side,220450,79168,239050,141724,475383,162113,96061,78902,253471,90831,459818,141689,83102,64408
29,North Lawndale,256589,30573,256081,54272,501441,99527,109904,37348,248176,31915,372322,54200,96620,48374
31,Lower West Side,29617,55185,59256,26151,59911,94088,5667,6733,28427,15029,29254,39662,12050,6023
32,Loop,39853,45108,32681,50376,109304,111006,15089,22992,90940,71119,157918,196964,17582,15669
33,Near South Side,119380,33703,178899,76301,251096,93828,31661,137773,109184,38590,160555,56403,42623,27056
34,Armour Square,8359,7514,16250,22817,28516,3354,4917,2633,7852,5987,16683,4073,4760,3233
35,Douglas,202035,44260,177834,48265,329179,71956,72188,31400,235162,54521,363187,44776,84188,38646
36,Oakland,44666,9621,44759,23851,90928,20720,14921,12144,42900,8124,81520,25067,24136,9120
38,Grand Boulevard,322227,39532,369831,85470,606022,124777,151157,77800,312981,49942,506112,57486,90135,22885
39,Kenwood,234654,29112,259162,82974,321470,89455,89567,80591,239244,46231,305423,27409,57543,22550
40,Washington Park,126136,23379,153059,59706,332990,75588,62199,40499,118180,23619,188808,39561,59586,24719
41,Hyde Park,263484,33198,231461,45099,289419,92168,168034,50976,284362,68796,423927,79928,136097,75513
42,Woodlawn,267898,34179,284982,62196,432904,143266,104924,54521,255936,40467,395906,37754,107552,29819
43,South Shore,392257,28724,401149,53261,572724,70885,184858,57628,375971,37377,527276,46129,139788,27906
44,Chatham,252996,17946,248918,45709,349423,28095,91020,26428,247259,28168,357249,31432,90458,21187
45,Avalon Park,67746,13011,67051,26821,107162,18181,23052,5335,68565,14158,104430,22567,25415,10424
46,South Chicago,193599,26882,221207,39764,261383,37316,92464,41405,183408,30048,263383,51058,89672,19463
47,Burnside,17603,5760,19496,11031,29415,9025,12934,3854,13256,6741,31602,11070,6052,3322
48,Calumet Heights,163553,30627,151981,29276,249112,43810,48238,23552,202079,29618,238554,40447,56086,9016
49,Roseland,368129,31335,372121,46915,524510,46394,174291,44228,340122,40385,515655,36205,150366,29934
50,Pullman,54429,14186,61240,30015,82769,12259,16397,10668,49849,16975,78843,8741,10978,7410
51,South Deering,76664,8963,96684,18922,123663,30894,31483,50758,70976,9707,105903,21812,29792,9162
53,West Pullman,203430,21226,241813,35184,315539,60726,88378,44713,182968,26837,293976,37125,63158,13917
54,Riverdale,28655,6286,43161,23851,48555,37522,13516,48550,26626,3418,43753,7229,18416,8007
55,Hegewisch,13197,9546,10272,5944,6956,16624,10761,5054,23534,24910,51156,51417,9705,6036
56,Garfield Ridge,33587,6975,33397,6834,34783,7997,10329,1991,35625,20537,48365,14922,12647,5516
60,Bridgeport,40435,19920,44457,58040,60000,50073,13214,7532,32941,25699,34559,13092,7024,20310
61,New City,107525,21386,111871,56244,228011,58698,48625,33112,112708,29153,176106,28137,49433,20262
63,Gage Park,21020,5668,14901,15912,31681,63424,9500,6301,22417,9377,35375,6650,17935,12091
66,Chicago Lawn,250351,25158,257600,49054,320818,108275,100941,52968,234282,23681,326586,36476,107739,23298
67,West Englewood,333526,38112,316772,65202,648084,149702,164084,39117,369669,52567,558274,89783,173628,46360
68,Englewood,200550,24210,202284,50083,344711,69595,87111,35675,194765,40025,282063,43585,74536,36219
69,Greater Grand Crossing,267778,22193,272793,45835,486514,79482,103349,30218,256218,26516,368983,33240,104979,26909
70,Ashburn,270796,22669,314739,31107,360746,32961,69060,96188,240197,32069,281382,28157,107883,43619
71,Auburn Gresham,284799,22389,291062,55327,504376,71819,91951,42841,281701,22687,459691,65675,135568,21919
72,Beverly,127644,25993,129571,40800,198435,65646,31648,9105,115472,20617,160504,29835,36472,32949
73,Washington Heights,220766,21475,216275,39846,349018,54199,78018,29261,238997,36375,306474,26242,99331,28516
74,Mount Greenwood,43961,3018,38836,23480,66607,77582,6354,56264,44399,1945,44269,20181,45294,48088
75,Morgan Park,217711,28091,244356,37880,288580,41731,134166,64815,199685,49653,259571,33324,77469,23799
77,Edgewater,202295,45845,191037,71249,266175,55604,113750,43577,177029,78755,293455,62909,71754,68797
