Price Asked
-----------
Universe: Vacant-for-sale-only and Sold, Not Occupied Housing Units

B25085001 Total:
B25085002  Less than $10,000
B25085003  $10,000 to $14,999
B25085004  $15,000 to $19,999
B25085005  $20,000 to $24,999
B25085006  $25,000 to $29,999
B25085007  $30,000 to $34,999
B25085008  $35,000 to $39,999
B25085009  $40,000 to $49,999
B25085010  $50,000 to $59,999
B25085011  $60,000 to $69,999
B25085012  $70,000 to $79,999
B25085013  $80,000 to $89,999
B25085014  $90,000 to $99,999
B25085015  $100,000 to $124,999
B25085016  $125,000 to $149,999
B25085017  $150,000 to $174,999
B25085018  $175,000 to $199,999
B25085019  $200,000 to $249,999
B25085020  $250,000 to $299,999
B25085021  $300,000 to $399,999
B25085022  $400,000 to $499,999
B25085023  $500,000 to $749,999
B25085024  $750,000 to $999,999
B25085025  $1,000,000 or more
