area_id,area_name,b19025g001,b19025g001_moe
1,Rogers Park,26460500,12892425
2,West Ridge,9914800,6068221
3,Uptown,27670900,14510560
4,Lincoln Square,11514000,6362727
5,North Center,2616400,3731357
6,Lake View,37983800,19878421
7,Lincoln Park,15723600,8631617
8,Near North Side,51282400,33009703
10,Norwood Park,11521800,9284783
11,Jefferson Park,8037900,5413051
13,North Park,5857200,4923755
14,Albany Park,26613400,10226265
15,Portage Park,8129300,4779246
16,Irving Park,10492100,5221951
19,Belmont Cragin,15974300,8334360
20,Hermosa,5022800,3567589
21,Avondale,9771800,4387018
22,Logan Square,25410000,12440629
23,Humboldt Park,10352800,6607407
24,West Town,30164000,10819570
28,Near West Side,30524200,15142619
30,South Lawndale,1587400,1503904
31,Lower West Side,10271600,6107804
32,Loop,11647600,8281250
33,Near South Side,7843200,5385147
34,Armour Square,3280500,3013243
35,Douglas,1545500,1770502
39,Kenwood,16005300,14282146
41,Hyde Park,14343200,7172764
42,Woodlawn,6107800,4243448
43,South Shore,7184700,4579093
44,Chatham,2288800,1951961
49,Roseland,4141100,3479309
51,South Deering,693200,813477
52,East Side,4695100,4545004
56,Garfield Ridge,12719400,6999828
57,Archer Heights,785600,811355
60,Bridgeport,4486000,2517935
63,Gage Park,1233100,1251588
65,West Lawn,15168400,7971930
66,Chicago Lawn,1511900,1813573
68,Englewood,1364500,1596792
70,Ashburn,492600,509751
72,Beverly,3017000,2796479
75,Morgan Park,3208900,2995746
77,Edgewater,30984100,11434181
