area_id,area_name,b21005001,b21005001_moe,b21005002,b21005002_moe,b21005003,b21005003_moe,b21005004,b21005004_moe,b21005005,b21005005_moe,b21005006,b21005006_moe,b21005007,b21005007_moe,b21005008,b21005008_moe,b21005009,b21005009_moe,b21005010,b21005010_moe,b21005011,b21005011_moe,b21005012,b21005012_moe,b21005013,b21005013_moe,b21005014,b21005014_moe,b21005015,b21005015_moe,b21005016,b21005016_moe,b21005017,b21005017_moe,b21005018,b21005018_moe,b21005019,b21005019_moe,b21005020,b21005020_moe,b21005021,b21005021_moe,b21005022,b21005022_moe,b21005023,b21005023_moe,b21005024,b21005024_moe,b21005025,b21005025_moe,b21005026,b21005026_moe,b21005027,b21005027_moe,b21005028,b21005028_moe,b21005029,b21005029_moe,b21005030,b21005030_moe,b21005031,b21005031_moe,b21005032,b21005032_moe,b21005033,b21005033_moe,b21005034,b21005034_moe
1,Rogers Park,41696,1572,20273,1330,404,153,326,141,276,129,50,62,78,62,19869,1310,15071,1051,13815,1017,1256,275,4798,629,16267,1006,465,162,337,142,337,142,0,48,128,82,15802,992,12967,861,11876,829,1091,261,2835,543,5156,541,347,127,268,115,233,112,35,52,79,64,4809,529,3286,428,2993,420,293,116,1523,312
2,West Ridge,45350,1742,17022,1310,227,127,171,113,171,113,0,51,56,76,16795,1304,12065,1136,10672,1061,1393,365,4730,652,19730,1024,331,148,288,143,287,144,1,49,43,58,19399,1030,15037,927,13926,908,1111,276,4362,572,8598,728,272,134,84,63,69,59,15,55,188,127,8326,712,5721,559,5335,535,386,153,2605,405
3,Uptown,42734,1378,18947,1109,185,115,185,115,171,113,14,51,0,48,18762,1102,16139,1010,14940,944,1199,287,2623,495,18008,986,474,155,310,124,231,104,79,77,164,104,17534,967,14098,838,12619,820,1479,315,3436,484,5779,596,546,173,256,126,256,126,0,48,290,132,5233,564,3312,441,3058,421,254,161,1921,347
4,Lincoln Square,28746,926,13016,798,150,80,140,80,119,76,21,45,10,42,12866,798,11797,757,10973,721,824,237,1069,235,11503,759,290,159,264,157,175,88,89,134,26,44,11213,755,9473,689,8549,626,924,244,1740,336,4227,418,370,119,265,103,241,102,24,47,105,66,3857,399,2733,335,2602,330,131,74,1124,234
5,North Center,24658,815,11889,728,137,81,115,79,115,79,0,43,22,44,11752,724,10631,713,10276,701,355,123,1121,237,10169,604,234,99,230,98,176,81,54,70,4,43,9935,597,8766,551,8255,526,511,150,1169,225,2600,312,207,87,98,74,68,59,30,63,109,58,2393,291,1760,259,1594,241,166,100,633,165
6,Lake View,80134,1480,51008,1551,434,151,401,147,337,133,64,90,33,73,50574,1550,45446,1486,43649,1470,1797,315,5128,628,23232,975,417,138,376,131,372,131,4,66,41,77,22815,967,20252,891,19056,872,1196,245,2563,368,5894,509,491,191,346,177,321,170,25,72,145,97,5403,472,4155,417,3864,403,291,114,1248,230
7,Lincoln Park,50759,1299,30222,1269,113,82,108,81,99,81,9,51,5,50,30109,1263,25834,1114,24508,1097,1326,246,4275,554,15179,811,261,125,179,108,179,108,0,51,82,74,14918,809,12441,683,11853,681,588,146,2477,336,5358,455,388,143,271,123,226,114,45,68,117,87,4970,427,3439,352,3228,344,211,90,1531,242
8,Near North Side,62293,1561,33162,1456,126,91,126,91,126,91,0,54,0,54,33036,1458,27734,1396,25886,1344,1848,398,5302,614,18978,1074,443,164,413,161,346,135,67,103,30,57,18535,1072,15988,992,14663,954,1325,312,2547,404,10153,826,788,262,456,160,413,156,43,65,332,213,9365,741,6214,586,5886,579,328,136,3151,440
9,Edison Park,7202,415,2067,303,166,131,166,131,135,124,31,52,0,25,1901,291,1648,271,1525,271,123,68,253,111,3843,334,101,65,101,65,101,65,0,25,0,25,3742,323,3262,336,3083,302,179,87,480,141,1292,227,159,74,75,51,75,51,0,25,84,56,1133,206,889,179,842,178,47,36,244,109
10,Norwood Park,22637,904,6652,688,116,107,116,107,116,107,0,39,0,39,6536,683,5310,585,4748,566,562,197,1226,329,10671,650,273,117,245,113,233,111,12,43,28,44,10398,640,9380,622,8522,607,858,216,1018,206,5314,469,574,142,426,123,413,121,13,41,148,76,4740,442,3369,403,3169,393,200,84,1371,240
