area_id,area_name,b19013c001,b19013c001_moe
2,West Ridge,84875,219569
3,Uptown,4605,5995
4,Lincoln Square,58911,643
5,North Center,14083,77320
6,Lake View,68462,16434
14,Albany Park,105114,162723
15,Portage Park,31771,50428
16,Irving Park,49821,102540
23,Humboldt Park,26927,1991
24,West Town,60429,57953
28,Near West Side,9643,112154
30,South Lawndale,37430,63348
31,Lower West Side,12273,41314
33,Near South Side,75600,1907
39,Kenwood,25338,22772
42,Woodlawn,65536,55380
43,South Shore,19479,138774
52,East Side,53333,25666
55,Hegewisch,25515,27277
57,Archer Heights,73125,68408
58,Brighton Park,68750,20317
61,New City,78542,10834
65,West Lawn,70096,83617
70,Ashburn,11793,58406
77,Edgewater,85433,114761
