area_id,area_name,c27001a001,c27001a001_moe,c27001a002,c27001a002_moe,c27001a003,c27001a003_moe,c27001a004,c27001a004_moe,c27001a005,c27001a005_moe,c27001a006,c27001a006_moe,c27001a007,c27001a007_moe,c27001a008,c27001a008_moe,c27001a009,c27001a009_moe,c27001a010,c27001a010_moe
BK09,Brooklyn Heights-Cobble Hill,18810,996,2393,381,2393,381,0,29,14031,781,13332,762,699,200,2386,306,2386,306,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45355,1476,7523,687,7224,664,299,193,28397,1147,26259,1132,2138,370,9435,604,9301,599,134,101
BK19,Brighton Beach,25285,1243,3839,591,3544,583,295,172,15106,884,12369,868,2737,468,6340,453,6260,448,80,71
BK21,Seagate-Coney Island,12352,1091,2201,533,2122,527,79,73,6781,725,5628,632,1153,319,3370,371,3356,371,14,42
BK23,West Brighton,15056,705,1227,246,1208,244,19,29,8018,760,7090,708,928,300,5811,457,5811,457,0,27
BK25,Homecrest,35393,1414,8558,824,8420,823,138,86,20520,916,17957,908,2563,389,6315,474,6281,472,34,55
BK26,Gravesend,16699,988,2138,407,1876,397,262,169,9203,758,7408,702,1795,359,5358,461,5358,461,0,36
BK27,Bath Beach,17175,1077,2366,423,2335,423,31,44,10392,864,8865,775,1527,432,4417,400,4417,400,0,40
BK28,Bensonhurst West,47954,1812,8840,830,8338,818,502,212,28815,1291,22983,1149,5832,712,10299,703,10254,703,45,65
BK29,Bensonhurst East,33602,1352,5092,539,4829,532,263,147,20735,1057,16543,944,4192,604,7775,535,7741,533,34,55
BK30,Dyker Heights,26218,1153,4545,499,4507,497,38,61,15982,913,13969,787,2013,417,5691,438,5671,438,20,50
BK31,Bay Ridge,63135,1928,11900,1005,11577,998,323,173,41194,1297,35017,1239,6177,681,10041,541,9974,537,67,79
BK32,Sunset Park West,23607,1589,5432,684,5125,680,307,176,16012,1112,11001,826,5011,752,2163,335,2138,332,25,62
BK33,Carroll Gardens-Columbia Street-Red Hook,25624,1085,4156,488,4102,485,54,69,18900,813,16849,795,2051,349,2568,345,2545,345,23,50
BK34,Sunset Park East,21957,1499,5041,726,4771,689,270,158,14145,1030,9879,805,4266,710,2771,350,2605,339,166,120
BK35,Stuyvesant Heights,7704,1081,2145,547,2056,528,89,97,5072,706,4215,615,857,263,487,167,487,167,0,51
BK37,Park Slope-Gowanus,53150,1713,8818,743,8631,737,187,112,40081,1270,35872,1193,4209,527,4251,399,4220,396,31,68
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17814,927,2628,373,2526,371,102,81,13805,706,12675,679,1130,229,1381,204,1381,204,0,42
BK40,Windsor Terrace,16664,940,2909,420,2853,417,56,93,11954,655,10898,638,1056,255,1801,237,1801,237,0,32
BK41,Kensington-Ocean Parkway,20117,1341,5059,732,4893,719,166,101,12384,855,9975,803,2409,423,2674,292,2615,291,59,54
BK42,Flatbush,28695,1756,6749,928,6529,920,220,156,18237,1171,14788,1035,3449,625,3709,365,3691,364,18,72
BK43,Midwood,41129,1573,10763,961,10517,956,246,151,24246,1015,21388,953,2858,460,6120,397,6069,395,51,69
BK44,Madison,30087,1275,6109,694,6011,689,98,68,18996,872,16944,853,2052,389,4982,378,4950,378,32,56
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,37818,1385,9069,770,8947,768,122,86,22870,910,21515,904,1355,276,5879,436,5820,440,59,73
BK46,Ocean Parkway South,17405,1067,5088,675,4789,627,299,244,9863,650,8743,619,1120,252,2454,236,2454,236,0,36
BK50,Canarsie,6645,763,671,231,494,183,177,133,3960,568,3402,497,558,203,2014,260,2014,260,0,70
BK58,Flatlands,14762,1002,3821,492,3730,482,91,124,8448,667,7624,618,824,244,2493,282,2493,282,0,62
BK60,Prospect Lefferts Gardens-Wingate,7928,1100,2377,615,2359,617,18,62,5152,627,4279,573,873,227,399,141,399,141,0,58
BK61,Crown Heights North,12391,1078,1954,496,1925,485,29,71,9833,828,7779,706,2054,384,604,159,604,159,0,67
BK63,Crown Heights South,11234,1188,4405,708,4365,703,40,58,6435,702,5917,671,518,179,394,139,394,139,0,40
BK64,Prospect Heights,11145,861,1372,315,1352,314,20,42,9386,719,8472,688,914,214,387,128,387,128,0,32
BK68,Fort Greene,8965,745,1322,332,1298,330,24,44,7059,561,6144,527,915,270,584,145,574,142,10,39
BK69,Clinton Hill,15018,1112,1999,406,1949,401,50,52,12539,923,9930,806,2609,513,480,133,480,133,0,40
BK72,Williamsburg,30275,1573,15022,1183,14746,1176,276,157,13728,691,12810,677,918,249,1525,228,1513,226,12,38
BK73,North Side-South Side,36114,1521,7088,841,6864,838,224,155,26642,1081,21578,1004,5064,581,2384,332,2376,332,8,48
BK75,Bedford,22403,1277,10011,762,9786,765,225,158,11932,848,9887,737,2045,483,460,135,448,135,12,58
BK76,Greenpoint,26928,1152,2677,435,2568,429,109,91,21819,953,16318,876,5501,604,2432,290,2393,287,39,45
BK77,Bushwick North,22177,1766,4486,696,4319,690,167,97,16211,1275,8855,840,7356,941,1480,223,1441,220,39,67
BK78,Bushwick South,27571,1957,5903,825,5602,803,301,171,19481,1400,13286,1122,6195,861,2187,351,2132,350,55,76
BK79,Ocean Hill,1385,434,451,244,451,244,0,38,827,260,610,195,217,136,107,52,107,52,0,38
BK81,Brownsville,3196,779,1164,418,983,360,181,136,1777,426,1603,415,174,98,255,117,255,117,0,51
BK82,East New York,16237,1485,4810,681,4634,658,176,161,9785,937,7874,791,1911,443,1642,314,1564,292,78,91
BK83,Cypress Hills-City Line,23801,1757,7068,803,6894,792,174,115,15146,1175,12040,960,3106,575,1587,262,1474,254,113,83
BK85,East New York (Pennsylvania Ave),3338,714,1121,366,1029,349,92,141,1985,442,1505,352,480,230,232,98,232,98,0,36
BK88,Borough Park,85574,2845,34977,1966,34598,1965,379,159,42242,1453,37017,1383,5225,696,8355,563,8244,563,111,103
