area_id,area_name,b19101c001,b19101c001_moe,b19101c002,b19101c002_moe,b19101c003,b19101c003_moe,b19101c004,b19101c004_moe,b19101c005,b19101c005_moe,b19101c006,b19101c006_moe,b19101c007,b19101c007_moe,b19101c008,b19101c008_moe,b19101c009,b19101c009_moe,b19101c010,b19101c010_moe,b19101c011,b19101c011_moe,b19101c012,b19101c012_moe,b19101c013,b19101c013_moe,b19101c014,b19101c014_moe,b19101c015,b19101c015_moe,b19101c016,b19101c016_moe,b19101c017,b19101c017_moe
BK09,Brooklyn Heights-Cobble Hill,31,44,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,0,29,15,36,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55
BK19,Brighton Beach,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,59,63,13,42,0,38,16,42,0,38,0,38,0,38,30,58,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,9,49,0,48,0,48,0,48,9,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,32,47,0,36,20,46,0,36,0,36,0,36,0,36,0,36,12,38,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,147,114,0,64,0,64,25,67,0,64,0,64,0,64,0,64,0,64,0,64,35,74,0,64,0,64,29,77,58,96,0,64,0,64
BK29,Bensonhurst East,24,55,0,51,0,51,0,51,0,51,10,53,0,51,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,17,57,0,51,0,51,0,51,0,51,0,51,17,57,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK31,Bay Ridge,111,95,0,66,12,67,29,79,18,71,0,66,0,66,0,66,0,66,0,66,0,66,0,66,33,78,9,66,10,67,0,66,0,66
BK32,Sunset Park West,156,99,18,56,0,49,39,66,35,59,0,49,35,67,0,49,0,49,0,49,0,49,0,49,19,56,0,49,0,49,10,51,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,256,122,30,66,0,59,19,63,23,66,28,63,0,59,18,65,0,59,32,72,0,59,84,88,0,59,22,66,0,59,0,59,0,59
BK35,Stuyvesant Heights,8,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,8,51,0,51,0,51,0,51,0,51
BK37,Park Slope-Gowanus,56,64,0,58,0,58,0,58,0,58,0,58,11,59,0,58,0,58,13,60,0,58,0,58,0,58,6,57,0,58,26,60,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9,43,0,42,0,42,9,43,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BK40,Windsor Terrace,36,41,0,32,0,32,0,32,0,32,14,39,0,32,0,32,0,32,0,32,0,32,0,32,0,32,13,34,0,32,9,32,0,32
BK41,Kensington-Ocean Parkway,8,39,0,40,0,40,0,40,8,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK42,Flatbush,95,108,0,68,0,68,0,68,0,68,0,68,0,68,0,68,13,69,0,68,71,107,11,69,0,68,0,68,0,68,0,68,0,68
BK43,Midwood,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK44,Madison,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,54,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,3,54,0,55
BK46,Ocean Parkway South,13,36,0,36,0,36,0,36,0,36,9,37,0,36,0,36,0,36,4,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK50,Canarsie,20,72,13,72,0,70,0,70,0,70,0,70,0,70,0,70,7,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70
BK58,Flatlands,43,71,0,62,0,62,0,62,0,62,0,62,0,62,11,64,0,62,0,62,0,62,8,63,0,62,0,62,0,62,24,69,0,62
BK60,Prospect Lefferts Gardens-Wingate,53,82,0,58,0,58,0,58,0,58,33,77,0,58,0,58,0,58,0,58,0,58,0,58,20,62,0,58,0,58,0,58,0,58
BK61,Crown Heights North,34,75,18,71,0,67,16,71,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67
BK63,Crown Heights South,20,49,0,40,0,40,20,49,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK64,Prospect Heights,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
BK68,Fort Greene,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK69,Clinton Hill,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK72,Williamsburg,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,42,59,0,48,0,48,0,48,16,52,0,48,13,51,0,48,0,48,13,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK75,Bedford,19,59,0,56,13,59,0,56,0,56,0,56,0,56,6,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
BK76,Greenpoint,48,54,0,42,0,42,0,42,0,42,0,42,0,42,0,42,17,44,0,42,0,42,17,48,0,42,14,45,0,42,0,42,0,42
BK77,Bushwick North,34,53,8,53,10,55,5,52,0,54,0,54,0,54,11,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK78,Bushwick South,155,83,14,60,30,59,19,63,7,58,0,56,0,56,0,56,0,56,14,59,8,57,45,63,0,56,18,61,0,56,0,56,0,56
BK79,Ocean Hill,35,58,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,35,58,0,38,0,38,0,38,0,38,0,38,0,38
BK81,Brownsville,59,69,23,62,0,51,0,51,0,51,10,52,4,50,0,51,0,51,0,51,0,51,0,51,22,59,0,51,0,51,0,51,0,51
BK82,East New York,45,71,11,66,0,65,0,65,0,65,0,65,11,66,23,69,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65
BK83,Cypress Hills-City Line,30,57,0,49,16,57,0,49,4,48,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,10,50,0,49,0,49
