area_id,area_name,b06004d001,b06004d001_moe,b06004d002,b06004d002_moe,b06004d003,b06004d003_moe,b06004d004,b06004d004_moe,b06004d005,b06004d005_moe
BK09,Brooklyn Heights-Cobble Hill,1713,400,405,188,185,89,22,38,1101,311
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9815,1118,2923,565,148,178,96,83,6648,740
BK19,Brighton Beach,4171,738,1104,290,25,44,25,43,3017,563
BK21,Seagate-Coney Island,3113,598,731,235,102,106,23,43,2257,471
BK23,West Brighton,110,99,23,34,8,27,8,28,71,76
BK25,Homecrest,4336,805,1199,357,39,65,38,68,3060,552
BK26,Gravesend,6585,924,1732,376,26,55,51,58,4776,675
BK27,Bath Beach,9224,1059,2730,467,76,59,121,98,6297,755
BK28,Bensonhurst West,32319,1827,8875,820,173,89,369,165,22902,1400
BK29,Bensonhurst East,23673,1641,6656,742,68,62,99,76,16850,1214
BK30,Dyker Heights,16739,1425,4483,550,56,64,195,201,12005,1089
BK31,Bay Ridge,11661,1109,3436,505,129,77,129,97,7967,797
BK32,Sunset Park West,8749,1029,1958,372,175,102,170,106,6446,826
BK33,Carroll Gardens-Columbia Street-Red Hook,2348,571,396,189,286,147,46,50,1620,451
BK34,Sunset Park East,35196,1808,7825,722,264,134,118,87,26989,1463
BK35,Stuyvesant Heights,1880,547,441,223,91,79,44,71,1304,391
BK37,Park Slope-Gowanus,4678,634,1285,387,942,228,125,94,2326,387
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3016,478,556,172,440,139,26,49,1994,380
BK40,Windsor Terrace,2208,511,574,209,99,68,44,76,1491,410
BK41,Kensington-Ocean Parkway,8825,1194,2176,424,159,117,232,126,6258,887
BK42,Flatbush,8834,1076,2076,453,132,91,98,99,6528,795
BK43,Midwood,5166,804,1521,387,55,71,104,75,3486,518
BK44,Madison,8472,942,2515,396,95,79,108,69,5754,666
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2298,602,750,250,9,56,14,55,1525,396
BK46,Ocean Parkway South,761,283,134,97,30,58,20,39,577,232
BK50,Canarsie,2323,558,544,208,55,73,37,80,1687,423
BK58,Flatlands,1905,466,524,213,30,65,16,63,1335,313
BK60,Prospect Lefferts Gardens-Wingate,1508,438,381,242,127,113,0,58,1000,347
BK61,Crown Heights North,2128,533,221,149,200,107,21,70,1686,471
BK63,Crown Heights South,577,356,163,141,68,61,0,40,346,276
BK64,Prospect Heights,1435,408,181,93,295,147,10,35,949,290
BK68,Fort Greene,2283,415,425,120,324,143,47,57,1487,327
BK69,Clinton Hill,1911,412,459,201,301,122,66,93,1085,266
BK72,Williamsburg,30,41,0,36,0,36,0,36,30,41
BK73,North Side-South Side,2048,361,253,130,522,188,129,79,1144,251
BK75,Bedford,1890,487,470,237,238,121,78,119,1104,318
BK76,Greenpoint,1577,397,340,220,202,98,31,62,1004,216
BK77,Bushwick North,3645,616,525,178,145,101,145,94,2830,508
BK78,Bushwick South,1602,382,254,131,204,116,6,58,1138,300
BK79,Ocean Hill,183,102,28,45,9,39,3,36,143,89
BK81,Brownsville,633,374,107,81,41,67,0,51,485,341
BK82,East New York,1625,449,286,157,32,74,55,89,1252,353
BK83,Cypress Hills-City Line,3483,707,754,256,39,54,61,57,2629,528
BK85,East New York (Pennsylvania Ave),240,146,41,65,15,42,0,36,184,114
BK88,Borough Park,12991,1270,3134,523,171,119,127,112,9559,1026
BK90,East Williamsburg,3951,430,800,183,299,113,82,72,2770,319
BK91,East Flatbush-Farragut,516,265,133,111,5,53,0,54,378,195
BK93,Starrett City,319,244,51,66,0,24,16,31,252,189
BK95,Erasmus,899,708,111,98,66,80,17,44,705,578
BK96,Rugby-Remsen Village,965,495,232,182,8,54,0,54,725,385
