area_id,area_name,c15002h001,c15002h001_moe,c15002h002,c15002h002_moe,c15002h003,c15002h003_moe,c15002h004,c15002h004_moe,c15002h005,c15002h005_moe,c15002h006,c15002h006_moe,c15002h007,c15002h007_moe,c15002h008,c15002h008_moe,c15002h009,c15002h009_moe,c15002h010,c15002h010_moe,c15002h011,c15002h011_moe
BK09,Brooklyn Heights-Cobble Hill,14131,707,7229,479,72,46,467,180,563,179,6127,424,6902,441,70,53,394,146,630,186,5808,407
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,32798,1006,14971,607,1073,204,4020,415,3244,357,6634,504,17827,667,1311,232,5756,464,3685,391,7075,510
BK19,Brighton Beach,17865,782,7754,485,688,172,1781,307,1725,284,3560,372,10111,505,934,168,2414,331,2557,336,4206,389
BK21,Seagate-Coney Island,7937,671,3576,397,655,194,1009,211,903,195,1009,202,4361,371,612,174,1609,254,805,194,1335,220
BK23,West Brighton,13001,546,5495,373,432,139,1635,286,1031,214,2397,347,7506,389,747,228,2163,309,1713,261,2883,378
BK25,Homecrest,22482,816,10641,476,1027,165,3408,371,2265,291,3941,360,11841,493,1290,205,4468,401,2674,305,3409,321
BK26,Gravesend,11939,617,5305,382,669,167,1954,308,1000,208,1682,267,6634,385,849,176,2599,340,1373,246,1813,302
BK27,Bath Beach,12610,763,5805,426,749,153,2297,305,1115,206,1644,253,6805,465,1126,188,2652,345,1199,217,1828,318
BK28,Bensonhurst West,30797,1081,13875,629,2592,315,4963,430,2863,338,3457,354,16922,667,3276,354,6843,490,3095,369,3708,347
BK29,Bensonhurst East,23022,949,10799,578,2045,284,4208,450,1853,259,2693,304,12223,580,2288,288,4711,438,2035,263,3189,352
BK30,Dyker Heights,18169,779,8793,503,1290,255,2999,318,1935,268,2569,294,9376,437,1482,214,3445,332,1924,251,2525,276
BK31,Bay Ridge,41802,1122,19565,713,1904,285,4276,451,4023,395,9362,529,22237,720,2580,345,5757,455,3996,380,9904,540
BK32,Sunset Park West,7362,594,3913,399,478,134,796,203,794,174,1845,264,3449,353,412,131,837,185,472,124,1728,247
BK33,Carroll Gardens-Columbia Street-Red Hook,18631,761,9022,520,365,144,1065,226,1236,258,6356,463,9609,544,488,160,1029,228,959,212,7133,452
BK34,Sunset Park East,7086,572,3509,365,492,149,966,205,818,178,1233,223,3577,342,570,160,1133,212,511,127,1363,236
BK35,Stuyvesant Heights,2130,396,1106,236,48,66,250,121,237,123,571,172,1024,225,68,65,173,99,275,121,508,146
BK37,Park Slope-Gowanus,37342,1175,18046,752,735,210,786,205,1583,261,14942,689,19296,784,580,156,1269,247,1280,236,16167,726
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,12337,624,6333,443,93,58,574,160,685,169,4981,389,6004,360,152,72,476,130,482,127,4894,335
BK40,Windsor Terrace,11425,604,5569,363,201,78,1130,240,1032,220,3206,307,5856,391,436,113,986,183,637,155,3797,342
BK41,Kensington-Ocean Parkway,11963,718,5605,438,707,171,1363,255,1083,213,2452,315,6358,419,547,184,1530,253,1420,257,2861,342
BK42,Flatbush,15511,858,7483,547,709,184,1381,256,1681,277,3712,396,8028,511,724,154,1560,262,1503,234,4241,400
BK43,Midwood,24930,822,11553,502,962,195,2206,275,2551,316,5834,401,13377,519,1109,205,3018,359,3013,332,6237,444
BK44,Madison,20226,738,9450,446,713,167,2707,323,2006,266,4024,340,10776,457,893,182,3184,312,2261,290,4438,375
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,23928,796,11079,491,841,197,3087,349,2953,358,4198,382,12849,497,874,166,3797,361,3393,359,4785,394
BK46,Ocean Parkway South,9954,455,4902,298,400,108,1323,225,1268,200,1911,227,5052,275,507,124,1569,214,1323,196,1653,208
BK50,Canarsie,4122,459,1872,272,296,100,731,160,386,134,459,149,2250,267,339,101,867,171,493,123,551,151
BK58,Flatlands,8031,519,3890,311,347,99,1222,213,1020,177,1301,200,4141,301,295,92,1277,193,1075,175,1494,191
BK60,Prospect Lefferts Gardens-Wingate,4337,532,2379,345,146,92,256,130,549,182,1428,279,1958,309,82,72,262,146,477,164,1137,216
BK61,Crown Heights North,7489,657,3775,422,265,127,346,124,712,179,2452,343,3714,401,227,116,251,103,669,175,2567,357
BK63,Crown Heights South,4607,458,2329,260,194,107,306,113,613,158,1216,221,2278,270,122,80,402,131,662,156,1092,229
BK64,Prospect Heights,8258,666,3872,377,32,44,22,30,423,143,3395,360,4386,500,38,40,156,101,308,139,3884,488
BK68,Fort Greene,5761,470,2694,306,99,63,223,108,265,105,2107,278,3067,315,49,52,78,52,236,103,2704,307
BK69,Clinton Hill,8252,665,4129,442,108,61,360,145,563,161,3098,381,4123,402,131,90,265,93,440,133,3287,365
BK72,Williamsburg,9773,527,4698,307,1115,193,1297,205,1819,258,467,125,5075,299,1526,222,2977,290,290,106,282,102
BK73,North Side-South Side,17201,824,9236,596,578,156,1001,230,1867,284,5790,529,7965,573,460,124,1264,210,1035,220,5206,503
BK75,Bedford,7131,531,3663,342,522,146,1003,185,783,180,1355,265,3468,316,481,133,1236,171,422,150,1329,233
BK76,Greenpoint,19731,818,9999,554,545,135,1479,247,2558,350,5417,495,9732,536,887,188,2093,304,2171,304,4581,388
BK77,Bushwick North,4238,467,2416,346,320,141,330,136,456,156,1310,232,1822,261,289,115,127,78,333,116,1073,189
BK78,Bushwick South,5275,673,2957,500,131,92,321,175,601,178,1904,388,2318,363,195,112,254,135,406,142,1463,262
BK79,Ocean Hill,314,121,183,89,36,45,74,62,45,54,28,48,131,67,19,37,65,55,39,49,8,36
BK81,Brownsville,231,111,151,95,62,77,21,55,17,53,51,70,80,67,12,49,40,59,15,55,13,55
BK82,East New York,1236,262,541,148,168,100,212,101,79,80,82,77,695,200,167,111,380,159,105,80,43,64
BK83,Cypress Hills-City Line,1811,328,808,194,266,129,249,111,133,76,160,74,1003,202,277,131,408,118,226,90,92,72
BK85,East New York (Pennsylvania Ave),265,155,135,102,43,56,78,73,5,36,9,40,130,81,50,53,25,53,50,55,5,35
BK88,Borough Park,38733,1143,18604,686,3868,376,6565,480,3902,372,4269,427,20129,674,3395,346,9251,547,3773,335,3710,373
BK90,East Williamsburg,12277,703,6235,514,397,128,1080,213,1105,218,3653,432,6042,435,645,145,1022,204,781,196,3594,377
BK91,East Flatbush-Farragut,647,165,329,117,42,73,81,67,88,62,118,89,318,107,14,48,126,72,116,88,62,57
BK93,Starrett City,3340,541,1220,283,210,102,534,220,215,133,261,128,2120,361,329,138,643,232,491,230,657,223
BK95,Erasmus,141,66,75,53,0,36,0,36,12,34,63,51,66,41,2,34,23,39,1,34,40,37
BK96,Rugby-Remsen Village,523,189,266,142,27,52,99,113,1,52,139,95,257,105,42,63,98,78,85,78,32,61
BK99,park-cemetery-etc-Brooklyn,143,109,72,67,27,58,0,40,7,40,38,51,71,65,27,57,23,45,0,40,21,43
BX01,Claremont-Bathgate,198,108,122,87,17,38,27,45,41,55,37,50,76,52,4,39,14,44,48,48,10,40
BX03,Eastchester-Edenwald-Baychester,784,307,258,108,58,46,101,84,38,49,61,51,526,229,108,68,205,184,64,62,149,99
BX05,Bedford Park-Fordham North,3048,545,1288,322,438,188,467,198,164,102,219,100,1760,334,506,206,401,134,438,202,415,141
BX06,Belmont,1611,327,595,156,173,83,192,108,99,69,131,73,1016,225,462,126,256,118,181,91,117,78
BX07,Bronxdale,3945,539,1836,283,340,131,469,160,359,128,668,224,2109,382,482,159,649,183,389,156,589,173
BX08,West Farms-Bronx River,507,182,280,160,49,52,67,59,135,132,29,42,227,87,85,67,31,41,33,52,78,56
BX09,Soundview-Castle Hill-Clason Point-Harding Park,547,147,246,98,31,50,71,56,85,76,59,60,301,94,71,60,115,67,28,50,87,59
BX10,Pelham Bay-Country Club-City Island,12983,832,6030,554,818,190,1944,381,1719,318,1549,298,6953,524,1494,281,2538,354,1131,233,1790,313
BX13,Co-op City,3647,507,1710,360,237,145,589,213,487,178,397,152,1937,325,371,139,721,182,380,154,465,186
BX14,East Concourse-Concourse Village,837,317,508,289,108,88,198,146,133,112,69,67,329,136,57,67,77,85,101,84,94,80
BX17,East Tremont,571,227,224,130,60,72,62,71,53,58,49,56,347,153,114,84,124,119,89,75,20,48
BX22,North Riverdale-Fieldston-Riverdale,12670,637,6062,426,360,148,780,206,959,193,3963,362,6608,410,437,139,1050,185,1000,199,4121,383
BX26,Highbridge,224,103,133,83,7,38,59,52,53,58,14,44,91,55,24,41,30,47,24,43,13,44
BX27,Hunts Point,233,83,130,64,36,42,34,45,34,36,26,42,103,56,24,42,41,42,20,37,18,45
BX28,Van Cortlandt Village,4672,534,2297,340,264,117,649,170,641,168,743,185,2375,348,441,147,598,174,506,140,830,177
BX29,Spuyten Duyvil-Kingsbridge,11508,588,5205,395,356,117,674,148,840,175,3335,344,6303,376,464,132,1080,190,1045,209,3714,324
BX30,Kingsbridge Heights,800,227,346,131,86,67,95,77,34,40,131,78,454,158,110,109,195,93,76,55,73,59
BX31,Allerton-Pelham Gardens,6806,554,3377,319,610,139,1012,197,752,172,1003,205,3429,358,788,159,1248,186,620,176,773,181
BX33,Longwood,233,88,106,60,27,45,46,52,9,37,24,35,127,69,41,50,22,32,7,34,57,51
BX34,Melrose South-Mott Haven North,465,216,312,177,125,122,72,107,30,51,85,78,153,82,91,57,33,54,0,42,29,52
BX35,Morrisania-Melrose,302,113,165,83,36,48,40,47,5,35,84,66,137,70,37,46,27,49,32,44,41,45
BX36,University Heights-Morris Heights,613,227,295,132,91,93,56,62,93,82,55,60,318,164,123,79,79,85,55,61,61,63
BX37,Van Nest-Morris Park-Westchester Square,6144,548,2870,300,685,162,1098,215,595,148,492,128,3274,350,618,152,1436,214,524,120,696,203
BX39,Mott Haven-Port Morris,655,214,424,192,167,120,92,78,81,79,84,58,231,85,34,52,66,59,82,63,49,51
BX40,Fordham South,342,140,228,106,85,68,70,79,0,32,73,62,114,76,35,45,71,65,8,35,0,32
BX41,Mount Hope,461,161,262,112,46,63,50,65,112,83,54,61,199,91,73,68,31,58,41,58,54,58
BX43,Norwood,4084,574,2113,370,324,127,740,221,405,168,644,203,1971,312,394,134,552,179,458,170,567,162
BX44,Williamsbridge-Olinville,1289,315,557,162,172,93,205,118,134,85,46,57,732,254,245,103,211,118,151,98,125,75
BX46,Parkchester,922,236,484,155,33,58,136,87,99,71,216,102,438,153,52,58,84,61,182,115,120,79
BX49,Pelham Parkway,8511,676,3807,414,925,221,1039,220,811,210,1032,220,4704,419,1018,220,1399,237,938,201,1349,304
