area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
MN09,Morningside Heights,28190,1609,12432,890,11103,868,7362,612,0,45,7362,612,6971,599,391,136,3741,587,1329,238,632,166,583,162,49,55,697,183,15758,1231,13734,1210,7724,694,0,45,7724,694,7187,679,537,182,6010,880,2024,289,398,146,375,144,23,50,1626,261
MN11,Central Harlem South,8961,751,4368,503,4152,476,3290,419,33,55,3257,417,3046,409,211,100,862,196,216,143,66,58,66,58,0,45,150,116,4593,521,4346,510,3360,461,0,45,3360,461,3197,455,163,72,986,212,247,89,47,58,47,58,0,45,200,86
MN12,Upper West Side,88044,2182,41304,1447,34117,1408,29892,1242,13,69,29879,1241,28304,1227,1575,318,4225,617,7187,540,2953,352,2785,346,168,92,4234,437,46740,1586,37193,1497,29014,1342,0,68,29014,1342,27744,1267,1270,335,8179,743,9547,612,2999,366,2754,354,245,109,6548,550
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,47188,1492,24869,991,21994,962,19381,884,0,54,19381,884,18394,857,987,258,2613,416,2875,330,1232,266,1037,246,195,110,1643,247,22319,1098,18804,1065,14753,926,0,54,14753,926,13743,915,1010,287,4051,613,3515,347,951,226,812,208,139,105,2564,289
MN14,Lincoln Square,41796,1754,20593,1325,16647,1026,14743,976,0,48,14743,976,13886,952,857,234,1904,384,3946,710,1435,301,1359,289,76,88,2511,606,21203,1015,16161,934,12655,832,0,48,12655,832,11827,832,828,244,3506,492,5042,538,1207,267,1063,254,144,87,3835,500
MN15,Clinton,28048,1229,14626,951,13245,956,12086,924,0,43,12086,924,11123,894,963,261,1159,296,1381,272,317,131,284,130,33,48,1064,230,13422,829,11585,802,9661,731,0,43,9661,731,8858,728,803,254,1924,393,1837,288,326,128,268,122,58,51,1511,264
MN17,Midtown-Midtown South,19281,977,9550,666,8095,649,7268,632,0,51,7268,632,6797,584,471,180,827,185,1455,245,676,165,673,165,3,50,779,199,9731,696,8422,663,5734,526,0,51,5734,526,5263,507,471,183,2688,447,1309,227,411,141,359,136,52,61,898,180
MN19,Turtle Bay-East Midtown,36160,1462,16116,937,12864,867,12000,853,21,56,11979,852,11476,840,503,197,864,265,3252,372,1571,277,1463,269,108,78,1681,266,20044,992,14895,941,12308,854,0,48,12308,854,11609,827,699,240,2587,451,5149,448,1529,281,1321,266,208,128,3620,399
MN20,Murray Hill-Kips Bay,34855,1591,15637,1202,13642,1157,12116,1085,0,42,12116,1085,11493,1076,623,259,1526,356,1995,324,655,186,603,182,52,59,1340,275,19218,1195,16331,1145,13117,1070,0,42,13117,1070,12495,1053,622,207,3214,487,2887,350,947,226,788,199,159,111,1940,312
MN21,Gramercy,19988,1139,8937,787,7721,754,6746,729,10,35,6736,730,6135,720,601,199,975,235,1216,233,395,141,382,139,13,36,821,207,11051,782,9476,752,8035,678,0,34,8035,678,7235,655,800,233,1441,454,1575,236,363,137,322,133,41,41,1212,223
MN22,East Village,30600,1455,15154,1150,13897,1126,11544,919,0,40,11544,919,10932,903,612,197,2353,714,1257,240,304,129,278,126,26,52,953,209,15446,995,13511,973,10517,904,0,40,10517,904,9946,879,571,181,2994,435,1935,345,246,100,246,100,0,40,1689,334
MN23,West Village,52742,1661,25088,1052,21143,970,17925,894,19,62,17906,895,16876,905,1030,269,3218,482,3945,362,1728,275,1592,263,136,101,2217,289,27654,1222,23214,1176,18342,936,19,62,18323,935,17408,909,915,256,4872,667,4440,407,1147,211,1003,193,144,108,3293,379
MN24,SoHo-TriBeCa-Civic Center-Little Italy,24736,1120,12529,807,11079,805,9579,760,0,42,9579,760,9042,718,537,210,1500,302,1450,231,652,178,652,178,0,42,798,152,12207,758,10792,746,8451,724,0,42,8451,724,7917,687,534,197,2341,372,1415,217,456,127,433,122,23,54,959,186
MN25,Battery Park City-Lower Manhattan,23307,1218,11623,797,10772,785,9767,737,0,42,9767,737,9430,717,337,145,1005,273,851,239,432,169,419,169,13,43,419,165,11684,871,10878,838,8613,801,0,42,8613,801,8166,768,447,190,2265,444,806,191,116,76,116,76,0,42,690,179
