area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
BX62,Woodlawn-Wakefield,1589,504,767,298,120,94,88,70,32,67,0,48,32,67,647,267,67,69,580,254,412,211,168,129,822,251,123,89,123,89,0,48,0,48,0,48,699,216,52,61,647,203,438,136,209,107
BX63,West Concourse,946,394,381,184,24,47,17,48,7,40,0,42,7,40,357,165,0,42,357,165,259,127,98,75,565,238,121,104,78,80,43,59,17,50,26,48,444,178,64,70,380,154,263,130,117,85
BX75,Crotona Park East,129,119,96,112,0,29,0,29,0,29,0,29,0,29,96,112,0,29,96,112,16,30,80,112,33,33,0,29,0,29,0,29,0,29,0,29,33,33,0,29,33,33,25,31,8,29
BX98,Rikers Island,202,77,186,75,7,15,0,17,7,15,0,17,7,15,179,72,31,26,148,66,26,22,122,59,16,14,0,17,0,17,0,17,0,17,0,17,16,14,6,10,10,15,5,10,5,10
BX99,park-cemetery-etc-Bronx,89,74,42,39,3,30,3,30,0,32,0,32,0,32,39,38,0,32,39,38,11,29,28,35,47,52,11,30,3,30,8,32,8,32,0,32,36,43,0,32,36,43,31,42,5,30
MN01,Marble Hill-Inwood,737,252,405,170,70,71,37,55,33,51,21,46,12,40,335,147,41,57,294,144,233,119,61,81,332,116,0,41,0,41,0,41,0,41,0,41,332,116,46,50,286,110,174,81,112,81
MN03,Central Harlem North-Polo Grounds,2097,550,869,283,173,109,132,102,41,66,3,58,38,67,696,236,200,101,496,217,252,141,244,174,1228,342,230,136,179,103,51,75,34,71,17,63,998,268,190,112,808,243,235,124,573,214
MN04,Hamilton Heights,844,261,253,123,0,46,0,46,0,46,0,46,0,46,253,123,55,65,198,114,101,88,97,86,591,213,61,78,34,67,27,59,27,59,0,46,530,196,146,96,384,175,212,127,172,127
MN06,Manhattanville,856,355,420,205,0,34,0,34,0,34,0,34,0,34,420,205,104,80,316,187,143,119,173,147,436,260,31,43,31,43,0,34,0,34,0,34,405,245,76,70,329,238,5,33,324,237
MN09,Morningside Heights,7845,975,2812,490,84,69,56,59,28,54,23,54,5,44,2728,477,685,202,2043,432,625,203,1418,375,5033,747,180,100,116,72,64,58,27,49,37,54,4853,721,1774,400,3079,587,1237,360,1842,434
