area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
SI22,West New Brighton-New Brighton-St. George,8834,762,6752,752,4782,675,4777,674,5,39,518,243,449,204,69,71,1452,434,1401,414,51,68,2082,291
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,23476,1252,21307,1292,18157,1257,18127,1256,30,42,814,526,788,520,26,43,2336,606,2246,590,90,70,2169,302
SI25,Oakwood-Oakwood Beach,18810,955,16703,1035,14195,1076,14103,1068,92,62,703,318,684,313,19,34,1805,479,1785,472,20,38,2107,279
SI28,Port Richmond,8434,725,7526,777,5550,726,5524,721,26,41,455,252,396,202,59,75,1521,550,1494,543,27,52,908,182
SI32,Rossville-Woodrow,17743,943,16659,991,14139,1141,14081,1134,58,61,369,183,369,183,0,29,2151,604,2043,572,108,79,1084,185
SI35,New Brighton-Silver Lake,10451,695,8765,703,7713,685,7713,685,0,27,323,179,295,163,28,41,729,217,691,200,38,43,1686,301
SI36,Old Town-Dongan Hills-South Beach,17670,976,14956,1089,12426,1198,12383,1197,43,53,343,193,343,193,0,32,2187,591,2083,548,104,97,2714,405
SI37,Stapleton-Rosebank,9705,798,8014,833,5798,699,5781,698,17,44,1038,558,968,539,70,66,1178,395,1052,347,126,91,1691,243
SI45,New Dorp-Midland Beach,16674,1078,14732,1146,12492,1141,12467,1141,25,40,511,216,464,194,47,43,1729,434,1677,426,52,43,1942,283
SI48,Arden Heights,20177,1065,18153,1163,15718,1241,15701,1239,17,31,586,309,576,307,10,31,1849,569,1841,567,8,30,2024,429
SI54,Great Kills,39054,1326,35336,1462,29707,1546,29649,1543,58,55,1298,563,1248,551,50,66,4331,845,4137,800,194,148,3718,431
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
