area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
BK88,Borough Park,80552,2834,74867,2956,69308,2963,69092,2957,216,124,1101,417,1074,413,27,69,4458,859,4326,842,132,95,5685,562
BK90,East Williamsburg,14962,871,6295,735,4587,653,4537,642,50,68,687,324,622,302,65,62,1021,316,970,293,51,63,8667,725
BK91,East Flatbush-Farragut,973,432,756,423,216,162,216,162,0,54,130,170,119,165,11,56,410,363,410,363,0,54,217,116
BK93,Starrett City,3999,700,2930,713,1485,498,1485,498,0,24,306,366,306,366,0,24,1139,571,1134,571,5,20,1069,238
BK95,Erasmus,121,132,76,127,0,36,0,36,0,36,0,36,0,36,0,36,76,127,76,127,0,36,45,50
BK96,Rugby-Remsen Village,592,319,424,285,257,241,257,241,0,54,57,107,57,107,0,54,110,131,110,131,0,54,168,152
BK99,park-cemetery-etc-Brooklyn,222,223,149,217,16,45,16,45,0,40,133,216,106,175,27,57,0,40,0,40,0,40,73,62
BX01,Claremont-Bathgate,185,130,148,126,0,40,0,40,0,40,0,40,0,40,0,40,148,126,148,126,0,40,37,51
BX03,Eastchester-Edenwald-Baychester,893,365,647,352,359,289,359,289,0,40,93,101,93,101,0,40,195,169,195,169,0,40,246,142
BX05,Bedford Park-Fordham North,4232,903,3179,907,1542,611,1529,611,13,51,308,308,294,300,14,51,1329,566,1252,533,77,77,1053,231
BX06,Belmont,2767,602,1519,531,1051,427,1051,427,0,34,110,203,110,203,0,34,358,257,358,257,0,34,1248,321
BX07,Bronxdale,4976,653,3968,654,3047,570,3047,570,0,38,274,185,274,185,0,38,647,290,623,284,24,44,1008,192
BX08,West Farms-Bronx River,470,219,329,214,150,143,150,143,0,40,46,80,46,80,0,40,133,147,133,147,0,40,141,65
BX09,Soundview-Castle Hill-Clason Point-Harding Park,440,201,293,194,181,143,181,143,0,50,0,50,0,50,0,50,112,140,112,140,0,50,147,70
BX10,Pelham Bay-Country Club-City Island,16952,1183,12933,1260,8784,1192,8784,1192,0,34,1238,504,1098,416,140,142,2911,703,2760,659,151,119,4019,491
BX13,Co-op City,3321,532,2280,537,1280,400,1280,400,0,33,352,246,352,246,0,33,648,373,648,373,0,33,1041,259
BX14,East Concourse-Concourse Village,769,410,557,409,238,208,238,208,0,51,248,336,248,336,0,51,71,125,71,125,0,51,212,103
BX17,East Tremont,908,486,736,480,461,412,461,412,0,45,0,45,0,45,0,45,275,252,229,201,46,75,172,112
BX22,North Riverdale-Fieldston-Riverdale,16157,1038,11490,1079,9771,982,9748,979,23,41,700,415,632,356,68,82,1019,343,1010,338,9,40,4667,430
BX26,Highbridge,124,93,80,84,80,84,80,84,0,42,0,42,0,42,0,42,0,42,0,42,0,42,44,57
BX27,Hunts Point,249,151,163,131,62,86,62,86,0,38,8,41,8,41,0,38,93,125,79,105,14,42,86,81
BX28,Van Cortlandt Village,5562,664,3711,633,2119,439,2113,437,6,43,419,288,343,235,76,66,1173,434,1141,423,32,55,1851,321
BX29,Spuyten Duyvil-Kingsbridge,14876,847,10491,835,8991,822,8933,812,58,81,330,173,330,173,0,38,1170,342,1163,340,7,38,4385,466
BX30,Kingsbridge Heights,675,280,288,244,197,159,197,159,0,38,91,187,91,187,0,38,0,38,0,38,0,38,387,137
BX31,Allerton-Pelham Gardens,9163,939,7960,976,6507,933,6485,931,22,45,647,341,634,336,13,45,806,368,774,357,32,48,1203,233
BX33,Longwood,350,233,225,223,26,51,26,51,0,36,0,36,0,36,0,36,199,220,199,220,0,36,125,70
BX34,Melrose South-Mott Haven North,694,413,581,396,0,42,0,42,0,42,0,42,0,42,0,42,581,396,557,386,24,47,113,126
BX35,Morrisania-Melrose,173,111,104,102,73,92,63,85,10,42,0,40,0,40,0,40,31,60,31,60,0,40,69,56
BX36,University Heights-Morris Heights,492,300,363,271,57,141,57,141,0,51,20,57,20,57,0,51,286,193,228,156,58,73,129,136
BX37,Van Nest-Morris Park-Westchester Square,7718,859,6142,857,4080,740,4045,738,35,53,685,298,605,260,80,70,1377,472,1279,411,98,130,1576,242
BX39,Mott Haven-Port Morris,567,205,304,173,199,157,199,157,0,50,0,50,0,50,0,50,105,95,105,95,0,50,263,130
BX40,Fordham South,203,124,38,65,38,65,38,65,0,32,0,32,0,32,0,32,0,32,0,32,0,32,165,112
BX41,Mount Hope,630,319,515,316,264,233,206,188,58,104,144,157,144,157,0,51,107,149,84,122,23,70,115,70
BX43,Norwood,5408,872,4171,850,2627,698,2604,694,23,52,242,180,232,176,10,42,1302,498,1257,480,45,61,1237,250
BX44,Williamsbridge-Olinville,1121,358,624,265,337,201,337,201,0,54,34,63,34,63,0,54,253,170,245,167,8,54,497,241
BX46,Parkchester,1053,311,584,286,456,265,456,265,0,36,37,65,37,65,0,36,91,111,91,111,0,36,469,168
