area_id,area_name,b25032b001,b25032b001_moe,b25032b002,b25032b002_moe,b25032b003,b25032b003_moe,b25032b004,b25032b004_moe,b25032b005,b25032b005_moe,b25032b006,b25032b006_moe,b25032b007,b25032b007_moe,b25032b008,b25032b008_moe,b25032b009,b25032b009_moe,b25032b010,b25032b010_moe,b25032b011,b25032b011_moe
BK09,Brooklyn Heights-Cobble Hill,512,161,0,29,0,29,22,34,102,75,23,35,75,53,59,72,231,114,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1727,246,31,60,66,76,180,102,14,55,33,60,85,76,947,191,371,166,0,55,0,55
BK19,Brighton Beach,198,107,35,54,12,42,32,42,35,54,8,38,0,38,21,47,55,76,0,38,0,38
BK21,Seagate-Coney Island,3789,318,11,38,336,122,34,42,90,70,109,95,54,53,387,116,2768,308,0,38,0,38
BK23,West Brighton,141,100,0,27,0,27,0,27,0,27,0,27,0,27,12,29,129,98,0,27,0,27
BK25,Homecrest,207,109,23,59,0,48,35,63,10,49,35,73,34,61,5,48,65,65,0,48,0,48
BK26,Gravesend,914,197,0,36,0,36,70,91,96,67,16,40,40,50,146,109,538,170,8,36,0,36
BK27,Bath Beach,197,112,16,41,0,40,53,72,9,40,35,68,8,40,76,74,0,40,0,40,0,40
BK28,Bensonhurst West,289,116,12,65,0,64,0,64,82,85,0,64,21,62,77,77,97,88,0,64,0,64
BK29,Bensonhurst East,223,103,18,57,0,51,10,52,2,50,35,63,0,51,78,78,80,70,0,51,0,51
BK30,Dyker Heights,190,101,8,51,21,54,8,51,49,66,69,83,9,50,19,57,7,51,0,51,0,51
BK31,Bay Ridge,801,190,5,65,93,103,94,95,36,72,100,91,59,81,226,96,188,97,0,66,0,66
BK32,Sunset Park West,824,181,20,52,54,57,152,88,211,116,186,87,68,67,102,72,31,62,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,1801,227,0,45,63,61,84,80,75,71,191,103,55,62,1093,218,240,109,0,45,0,45
BK34,Sunset Park East,656,175,39,70,0,59,63,71,230,111,83,80,53,67,131,89,57,76,0,59,0,59
BK35,Stuyvesant Heights,18662,535,293,116,1221,214,4223,401,5042,445,2849,323,1297,229,1620,249,2117,270,0,51,0,51
BK37,Park Slope-Gowanus,1999,294,46,68,105,84,323,138,425,132,371,131,237,119,127,88,365,159,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3372,251,34,57,81,70,56,52,150,72,100,79,318,117,717,171,1916,216,0,42,0,42
BK40,Windsor Terrace,688,188,0,32,22,35,88,84,28,41,32,43,40,42,190,116,288,115,0,32,0,32
BK41,Kensington-Ocean Parkway,1068,231,78,71,93,68,58,57,213,115,47,58,58,58,201,109,320,129,0,40,0,40
BK42,Flatbush,20036,580,760,184,346,129,1344,257,738,189,579,151,1477,267,5193,456,9542,551,37,77,20,75
BK43,Midwood,1073,197,21,54,0,51,90,86,0,51,77,78,15,52,385,131,485,139,0,51,0,51
BK44,Madison,207,104,31,51,0,46,0,46,0,46,0,46,0,46,0,46,176,102,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1867,262,189,107,321,122,702,176,595,172,60,74,0,55,0,55,0,55,0,55,0,55
