area_id,area_name,b12002a001,b12002a001_moe,b12002a002,b12002a002_moe,b12002a003,b12002a003_moe,b12002a004,b12002a004_moe,b12002a005,b12002a005_moe,b12002a006,b12002a006_moe,b12002a007,b12002a007_moe,b12002a008,b12002a008_moe,b12002a009,b12002a009_moe,b12002a010,b12002a010_moe,b12002a011,b12002a011_moe,b12002a012,b12002a012_moe,b12002a013,b12002a013_moe
BK09,Brooklyn Heights-Cobble Hill,16704,824,8670,564,3851,452,4109,366,76,55,145,73,489,142,8034,506,3117,344,3928,377,56,47,390,135,543,166
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,39299,1206,18068,747,5120,529,10630,526,256,104,933,203,1129,225,21231,791,4548,488,10504,513,419,146,3702,390,2058,291
BK19,Brighton Beach,22161,945,9847,597,2846,372,5386,412,275,114,538,164,802,222,12314,609,2359,375,5379,406,339,113,2641,317,1596,278
BK21,Seagate-Coney Island,11040,850,5059,497,1717,385,2508,291,99,69,271,93,464,165,5981,482,1354,277,2385,283,362,134,1252,228,628,159
BK23,West Brighton,14068,612,5931,408,1372,290,3635,322,164,102,366,117,394,150,8137,445,1301,257,3601,310,470,152,1727,263,1038,245
BK25,Homecrest,28208,1004,13760,638,4180,456,8141,420,203,93,460,123,776,176,14448,563,3186,363,7973,418,289,105,1678,233,1322,230
BK26,Gravesend,14950,830,6872,516,2210,351,3831,365,64,48,317,123,450,154,8078,460,1783,287,3857,355,150,73,1316,228,972,204
BK27,Bath Beach,15223,887,7384,564,2486,351,4043,362,140,72,332,112,383,109,7839,507,1907,339,3874,315,256,159,1385,220,417,111
BK28,Bensonhurst West,40867,1401,18815,828,6520,599,10632,555,165,82,645,154,853,190,22052,849,6356,572,10255,531,379,129,3203,348,1859,271
BK29,Bensonhurst East,29296,1107,13986,677,4692,506,7809,454,180,98,530,138,775,167,15310,704,3631,447,7678,450,435,133,2210,264,1356,246
BK30,Dyker Heights,22697,978,11134,665,4091,530,5816,349,113,65,490,126,624,149,11563,545,3199,365,5757,344,156,79,1807,243,644,141
BK31,Bay Ridge,53392,1425,25082,897,10235,673,12561,580,365,114,755,172,1166,204,28310,903,9918,674,11721,554,698,187,3402,339,2571,276
BK32,Sunset Park West,19646,1229,10335,785,5339,608,4132,391,216,104,110,75,538,162,9311,663,3707,447,3636,359,369,146,806,181,793,181
BK33,Carroll Gardens-Columbia Street-Red Hook,22081,887,10469,585,4422,462,5086,389,210,125,215,117,536,195,11612,628,4999,522,4546,369,225,107,876,214,966,187
BK34,Sunset Park East,17660,1158,8885,721,4418,486,3829,419,183,91,195,91,260,100,8775,618,3174,389,3401,362,427,153,826,156,947,193
BK35,Stuyvesant Heights,5887,764,2719,440,1359,314,985,225,87,87,89,77,199,117,3168,497,1656,374,953,214,285,132,161,78,113,78
BK37,Park Slope-Gowanus,45530,1370,21610,861,9366,727,10531,570,198,95,261,102,1254,272,23920,949,11395,805,9795,533,264,95,856,215,1610,243
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15643,752,7752,520,3787,426,3349,299,126,80,133,79,357,115,7891,447,3478,356,3222,291,180,85,416,128,595,149
BK40,Windsor Terrace,14054,743,6749,440,2532,354,3492,302,174,106,95,53,456,151,7305,442,2648,334,3322,285,130,77,672,131,533,151
BK41,Kensington-Ocean Parkway,15930,955,7689,584,2901,383,4112,374,179,99,198,91,299,118,8241,543,2513,373,3711,317,394,144,953,214,670,151
BK42,Flatbush,23027,1271,11389,816,4925,613,5412,424,265,129,236,123,551,149,11638,695,4269,481,4915,390,460,151,1152,191,842,188
BK43,Midwood,32342,1080,15481,678,5110,485,8710,415,268,126,451,130,942,201,16861,644,4365,473,8870,424,425,150,1956,248,1245,227
BK44,Madison,24975,947,11786,611,3716,461,7109,368,71,52,426,121,464,135,13189,578,3009,404,7082,372,283,112,1567,215,1248,207
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,30028,1003,14118,628,4354,453,8726,415,142,86,325,113,571,158,15910,633,3709,418,8551,416,402,131,2085,271,1163,216
BK46,Ocean Parkway South,13208,706,6545,437,2415,348,3590,250,33,39,205,79,302,99,6663,401,1826,284,3486,243,147,87,774,146,430,108
BK50,Canarsie,6167,668,2903,413,1080,279,1345,216,53,73,159,81,266,109,3264,356,837,178,1334,220,86,82,646,140,361,134
BK58,Flatlands,11592,770,5803,472,2152,330,2926,254,119,93,195,88,411,132,5789,421,1492,251,2849,245,104,75,769,145,575,135
BK60,Prospect Lefferts Gardens-Wingate,5957,730,3114,451,1596,361,1288,237,0,58,69,71,161,91,2843,414,1393,298,1102,224,69,82,182,121,97,73
