area_id,area_name,b01002d001,b01002d001_moe,b01002d002,b01002d002_moe,b01002d003,b01002d003_moe
BK09,Brooklyn Heights-Cobble Hill,205,19,209,36,208,31
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,478,48,500,40,492,61
BK19,Brighton Beach,254,47,243,25,233,40
BK21,Seagate-Coney Island,292,60,304,67,303,55
BK23,West Brighton,65,15,52,0,66,26
BK25,Homecrest,547,47,507,74,558,80
BK26,Gravesend,295,31,311,26,289,51
BK27,Bath Beach,377,34,364,35,377,34
BK28,Bensonhurst West,949,39,968,54,943,57
BK29,Bensonhurst East,677,27,648,36,690,29
BK30,Dyker Heights,525,55,505,61,536,69
BK31,Bay Ridge,1038,74,1031,116,1046,95
BK32,Sunset Park West,458,47,467,51,444,62
BK33,Carroll Gardens-Columbia Street-Red Hook,407,31,442,56,397,51
BK34,Sunset Park East,483,25,492,42,491,31
BK35,Stuyvesant Heights,349,77,311,94,398,89
BK37,Park Slope-Gowanus,630,39,642,78,640,51
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,391,22,391,37,395,43
BK40,Windsor Terrace,248,28,205,54,255,35
BK41,Kensington-Ocean Parkway,237,24,235,36,248,29
BK42,Flatbush,581,67,649,122,627,72
BK43,Midwood,485,51,403,87,547,52
BK44,Madison,639,60,617,73,634,67
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,545,66,534,103,567,87
BK46,Ocean Parkway South,242,30,246,43,208,70
BK50,Canarsie,867,74,788,112,909,102
BK58,Flatlands,521,90,533,125,500,86
BK60,Prospect Lefferts Gardens-Wingate,406,85,380,83,472,83
BK61,Crown Heights North,326,48,325,78,295,72
BK63,Crown Heights South,137,46,89,26,137,19
BK64,Prospect Heights,213,22,217,39,192,49
BK68,Fort Greene,346,49,330,64,353,67
BK69,Clinton Hill,256,21,243,49,271,38
BK73,North Side-South Side,451,50,429,88,465,49
BK75,Bedford,352,105,400,36,276,101
BK76,Greenpoint,357,58,375,63,346,60
BK77,Bushwick North,350,37,318,62,370,55
BK78,Bushwick South,350,77,324,105,379,97
BK81,Brownsville,100,38,112,34,92,53
BK82,East New York,360,100,377,79,381,107
BK83,Cypress Hills-City Line,577,67,611,94,557,87
BK85,East New York (Pennsylvania Ave),121,31,127,46,105,43
BK88,Borough Park,808,74,814,99,858,79
BK90,East Williamsburg,345,55,332,126,355,47
BK91,East Flatbush-Farragut,185,65,221,55,125,83
BK93,Starrett City,106,20,102,46,106,19
BK95,Erasmus,132,13,134,65,132,29
BK96,Rugby-Remsen Village,190,33,161,65,214,38
BX03,Eastchester-Edenwald-Baychester,53,5,52,37,53,46
BX05,Bedford Park-Fordham North,338,63,354,78,329,57
BX06,Belmont,174,55,144,50,212,109
BX07,Bronxdale,290,58,307,116,285,74
BX08,West Farms-Bronx River,152,39,134,42,173,23
BX09,Soundview-Castle Hill-Clason Point-Harding Park,186,40,218,69,132,48
BX10,Pelham Bay-Country Club-City Island,169,70,170,66,138,76
BX13,Co-op City,95,65,82,67,117,73
BX14,East Concourse-Concourse Village,139,52,154,92,109,18
BX17,East Tremont,106,16,87,15,114,49
BX22,North Riverdale-Fieldston-Riverdale,384,62,366,77,365,74
BX26,Highbridge,99,15,110,29,94,23
