area_id,area_name,b11002i001,b11002i001_moe,b11002i002,b11002i002_moe,b11002i003,b11002i003_moe,b11002i004,b11002i004_moe,b11002i005,b11002i005_moe,b11002i006,b11002i006_moe,b11002i007,b11002i007_moe,b11002i008,b11002i008_moe,b11002i009,b11002i009_moe,b11002i010,b11002i010_moe,b11002i011,b11002i011_moe,b11002i012,b11002i012_moe
BK09,Brooklyn Heights-Cobble Hill,1148,365,800,351,465,266,465,266,0,29,79,82,75,80,4,28,256,219,256,219,0,29,348,142
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4214,767,3661,765,1705,590,1705,590,0,55,196,180,173,159,23,66,1760,493,1760,493,0,55,553,174
BK19,Brighton Beach,4072,833,3754,846,2801,750,2769,738,32,60,286,272,272,263,14,43,667,342,653,337,14,42,318,140
BK21,Seagate-Coney Island,6749,1022,5914,1007,2410,664,2410,664,0,38,564,438,549,435,15,43,2940,806,2810,769,130,95,835,227
BK23,West Brighton,87,106,63,103,0,27,0,27,0,27,0,27,0,27,0,27,63,103,63,103,0,27,24,35
BK25,Homecrest,2508,652,1881,583,1046,463,1046,463,0,48,294,197,259,178,35,74,541,319,497,282,44,65,627,332
BK26,Gravesend,3731,857,3370,854,2173,726,2097,704,76,113,157,138,148,131,9,36,1040,592,1037,591,3,35,361,139
BK27,Bath Beach,3191,824,2560,756,1824,645,1795,638,29,51,107,145,97,130,10,41,629,374,617,373,12,42,631,333
BK28,Bensonhurst West,11759,1498,10030,1441,7010,1259,6810,1216,200,209,1604,739,1345,637,259,165,1416,544,1322,511,94,97,1729,464
BK29,Bensonhurst East,6964,1068,6264,1049,5059,963,4857,926,202,154,299,212,275,200,24,56,906,466,767,406,139,98,700,229
BK30,Dyker Heights,3909,834,2920,741,1793,619,1793,619,0,51,57,106,57,106,0,51,1070,409,1038,402,32,55,989,381
BK31,Bay Ridge,12251,1290,9864,1267,5465,1053,5465,1053,0,66,1284,578,1131,505,153,124,3115,746,2919,695,196,128,2387,397
BK32,Sunset Park West,32779,1829,28816,1874,16722,1785,16429,1753,293,175,4020,965,3479,844,541,196,8074,1190,7673,1136,401,141,3963,596
BK33,Carroll Gardens-Columbia Street-Red Hook,8051,968,6478,957,3018,755,2991,746,27,61,566,289,498,263,68,65,2894,653,2887,653,7,45,1573,340
BK34,Sunset Park East,23400,1547,21383,1575,11343,1444,10807,1351,536,275,3465,871,2883,708,582,277,6575,1033,6215,969,360,159,2017,382
BK35,Stuyvesant Heights,13000,1348,11285,1353,4477,972,4412,959,65,78,1259,492,1184,475,75,71,5549,1070,5094,956,455,261,1715,350
BK37,Park Slope-Gowanus,11689,1353,9278,1329,5446,1025,5411,1019,35,69,1158,489,1051,440,107,91,2674,775,2526,734,148,109,2411,461
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7794,890,6392,906,2321,703,2316,703,5,41,122,118,122,118,0,42,3949,740,3817,702,132,128,1402,247
BK40,Windsor Terrace,2908,703,2424,699,1748,611,1748,611,0,32,109,107,109,107,0,32,567,421,517,359,50,84,484,157
BK41,Kensington-Ocean Parkway,4967,1063,4411,1059,2648,756,2641,756,7,40,521,314,499,305,22,44,1242,755,1172,730,70,119,556,215
BK42,Flatbush,19771,1944,17240,1986,9392,1682,9032,1628,360,241,2604,924,2318,823,286,163,5244,1091,4764,996,480,218,2531,573
BK43,Midwood,3022,721,2412,733,1272,552,1253,541,19,59,532,351,485,326,47,69,608,317,588,309,20,59,610,249
BK44,Madison,2294,658,2018,645,1164,471,1164,471,0,46,256,260,256,260,0,46,598,354,598,354,0,46,276,135
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3804,953,3631,951,1910,699,1898,698,12,57,394,223,362,215,32,60,1327,633,1266,604,61,70,173,99
BK46,Ocean Parkway South,1608,589,1422,583,986,473,986,473,0,36,272,256,193,182,79,128,164,179,164,179,0,36,186,79
BK50,Canarsie,6397,956,5829,953,2576,671,2576,671,0,70,967,522,922,506,45,82,2286,549,2241,529,45,82,568,198
BK58,Flatlands,5697,891,5252,882,2965,664,2916,651,49,73,563,329,510,304,53,78,1724,548,1718,548,6,62,445,213
