area_id,area_name,b06004c001,b06004c001_moe,b06004c002,b06004c002_moe,b06004c003,b06004c003_moe,b06004c004,b06004c004_moe,b06004c005,b06004c005_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,15,36,10,32,23,44,32,58
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,16,60,0,55,9,56
BK19,Brighton Beach,74,76,21,50,13,42,0,38,40,65
BK21,Seagate-Coney Island,187,151,129,134,12,39,11,40,35,63
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,45,61,0,48,0,48,10,49
BK26,Gravesend,107,107,55,59,0,36,52,66,0,36
BK27,Bath Beach,74,119,74,119,0,40,0,40,0,40
BK28,Bensonhurst West,621,434,187,142,12,63,24,66,398,343
BK29,Bensonhurst East,58,80,12,53,14,54,0,51,32,76
BK30,Dyker Heights,94,127,39,64,0,51,0,51,55,99
BK31,Bay Ridge,419,259,254,152,0,66,39,83,126,131
BK32,Sunset Park West,817,432,370,201,0,49,33,59,414,264
BK33,Carroll Gardens-Columbia Street-Red Hook,12,45,0,45,12,45,0,45,0,45
BK34,Sunset Park East,974,472,697,380,32,72,29,64,216,228
BK35,Stuyvesant Heights,101,84,96,84,5,51,0,51,0,51
BK37,Park Slope-Gowanus,406,201,161,124,7,55,0,58,238,146
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,64,72,51,70,6,41,0,42,7,43
BK40,Windsor Terrace,165,114,44,64,70,57,0,32,51,58
BK41,Kensington-Ocean Parkway,101,116,86,115,7,39,0,40,8,39
BK42,Flatbush,284,201,171,136,1,67,0,68,112,115
BK43,Midwood,36,62,0,51,0,51,0,51,36,62
BK44,Madison,74,80,74,80,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16,68,6,56,0,55,0,55,10,59
BK46,Ocean Parkway South,111,105,85,84,0,36,14,42,12,38
BK50,Canarsie,149,169,45,88,0,70,42,95,62,115
BK58,Flatlands,114,109,95,103,0,62,0,62,19,64
BK60,Prospect Lefferts Gardens-Wingate,173,146,168,146,5,57,0,58,0,58
BK61,Crown Heights North,157,139,82,130,34,73,9,67,32,70
BK63,Crown Heights South,76,113,68,113,0,40,0,40,8,40
BK64,Prospect Heights,31,37,0,32,12,34,0,32,19,34
BK68,Fort Greene,37,50,0,38,5,37,9,39,23,50
BK69,Clinton Hill,58,51,28,44,12,43,0,40,18,41
BK72,Williamsburg,5,35,0,36,0,36,0,36,5,35
BK73,North Side-South Side,126,112,55,73,16,52,25,62,30,56
BK75,Bedford,256,182,160,165,43,69,0,56,53,76
BK76,Greenpoint,301,165,62,77,56,74,0,42,183,128
BK77,Bushwick North,126,112,90,94,0,54,0,54,36,62
BK78,Bushwick South,538,265,229,145,132,134,43,68,134,104
BK79,Ocean Hill,104,116,94,116,0,38,0,38,10,39
BK81,Brownsville,180,137,156,134,0,51,24,57,0,51
BK82,East New York,171,125,125,118,7,65,32,73,7,65
BK83,Cypress Hills-City Line,90,90,69,90,10,50,4,48,7,49
BK85,East New York (Pennsylvania Ave),66,90,0,36,9,39,0,36,57,89
BK88,Borough Park,25,68,13,67,0,68,0,68,12,69
BK90,East Williamsburg,191,182,57,87,31,59,42,72,61,92
BK91,East Flatbush-Farragut,29,59,29,59,0,54,0,54,0,54
BK93,Starrett City,110,130,89,114,0,24,0,24,21,38
BK95,Erasmus,1,32,0,36,0,36,0,36,1,32
