area_id,area_name,b16005i001,b16005i001_moe,b16005i002,b16005i002_moe,b16005i003,b16005i003_moe,b16005i004,b16005i004_moe,b16005i005,b16005i005_moe,b16005i006,b16005i006_moe,b16005i007,b16005i007_moe,b16005i008,b16005i008_moe,b16005i009,b16005i009_moe,b16005i010,b16005i010_moe,b16005i011,b16005i011_moe
BK09,Brooklyn Heights-Cobble Hill,1688,375,1100,302,531,187,569,218,525,214,44,43,588,190,36,42,552,186,393,148,159,106
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4324,697,3326,609,1227,354,2099,488,1442,396,657,267,998,271,74,88,924,262,359,142,565,208
BK19,Brighton Beach,3864,738,1463,335,211,110,1252,312,654,239,598,219,2401,569,55,63,2346,560,293,144,2053,524
BK21,Seagate-Coney Island,6452,923,5014,842,1805,520,3209,651,1676,492,1533,388,1438,355,29,40,1409,355,276,124,1133,329
BK23,West Brighton,169,143,94,100,94,100,0,27,0,27,0,27,75,103,0,27,75,103,12,28,63,103
BK25,Homecrest,2707,627,1166,326,313,133,853,292,371,139,482,254,1541,455,81,71,1460,451,206,127,1254,416
BK26,Gravesend,3872,812,2850,738,1200,472,1650,426,864,267,786,280,1022,362,65,61,957,356,257,143,700,323
BK27,Bath Beach,3215,742,1950,516,905,386,1045,306,544,176,501,238,1265,433,56,71,1209,429,219,114,990,414
BK28,Bensonhurst West,11307,1371,5333,731,1876,478,3457,547,2347,451,1110,285,5974,997,85,81,5889,998,873,262,5016,897
BK29,Bensonhurst East,6881,1004,3365,601,1258,345,2107,412,1261,304,846,277,3516,667,65,79,3451,667,567,221,2884,594
BK30,Dyker Heights,3899,771,2589,555,1059,317,1530,417,1235,377,295,151,1310,437,89,71,1221,433,213,106,1008,400
BK31,Bay Ridge,12033,1132,8097,872,4103,670,3994,561,3064,453,930,346,3936,634,451,189,3485,600,1257,286,2228,476
BK32,Sunset Park West,30909,1617,16331,1107,3092,525,13239,974,8775,791,4464,518,14578,1175,372,143,14206,1168,2374,395,11832,1047
BK33,Carroll Gardens-Columbia Street-Red Hook,8046,902,6099,730,1566,369,4533,638,3351,588,1182,297,1947,567,90,69,1857,563,634,195,1223,458
BK34,Sunset Park East,22001,1396,11314,909,2135,469,9179,802,6167,649,3012,425,10687,1133,214,104,10473,1123,1808,333,8665,1036
BK35,Stuyvesant Heights,12280,1146,8136,885,2859,603,5277,672,3535,565,1742,314,4144,725,324,148,3820,701,1370,333,2450,576
BK37,Park Slope-Gowanus,12079,1210,7892,987,2859,476,5033,789,3930,696,1103,244,4187,663,344,162,3843,642,1177,299,2666,507
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7882,824,6454,774,1678,372,4776,650,3363,608,1413,244,1428,291,60,54,1368,290,452,159,916,243
BK40,Windsor Terrace,3148,558,2153,475,808,232,1345,399,1188,367,157,84,995,232,176,81,819,222,459,176,360,161
BK41,Kensington-Ocean Parkway,4702,978,2382,542,582,187,1800,477,1519,458,281,125,2320,615,46,59,2274,614,318,155,1956,575
BK42,Flatbush,18730,1763,8861,1165,3102,851,5759,776,4158,615,1601,378,9869,1294,470,173,9399,1279,2693,544,6706,1153
BK43,Midwood,3068,679,1531,372,535,204,996,308,722,274,274,132,1537,513,58,68,1479,512,332,190,1147,455
BK44,Madison,2457,580,1476,366,573,191,903,280,855,276,48,64,981,322,88,86,893,314,395,196,498,201
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3763,711,2774,605,1628,493,1146,300,953,277,193,94,989,269,153,104,836,264,358,136,478,197
BK46,Ocean Parkway South,1512,520,765,293,115,67,650,283,412,204,238,162,747,344,13,35,734,344,130,97,604,309
BK50,Canarsie,6860,895,4822,708,1741,421,3081,532,2431,502,650,182,2038,415,192,113,1846,401,611,209,1235,337
BK58,Flatlands,5060,759,3033,514,896,224,2137,440,1215,263,922,313,2027,451,161,96,1866,433,623,188,1243,372
BK60,Prospect Lefferts Gardens-Wingate,6165,867,3197,684,863,364,2334,571,1700,484,634,248,2968,565,238,108,2730,559,1356,388,1374,384
