area_id,area_name,b25014h001,b25014h001_moe,b25014h002,b25014h002_moe,b25014h003,b25014h003_moe
BK09,Brooklyn Heights-Cobble Hill,9144,391,8879,390,265,96
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18887,473,18287,484,600,179
BK19,Brighton Beach,10943,367,10091,375,852,191
BK21,Seagate-Coney Island,4195,319,4126,315,69,68
BK23,West Brighton,7774,236,7606,255,168,92
BK25,Homecrest,12875,369,12113,390,762,161
BK26,Gravesend,7063,326,6694,341,369,133
BK27,Bath Beach,6932,352,6666,354,266,103
BK28,Bensonhurst West,17149,493,16234,500,915,187
BK29,Bensonhurst East,12634,439,11924,447,710,174
BK30,Dyker Heights,9380,346,8981,357,399,115
BK31,Bay Ridge,25268,550,23790,563,1478,262
BK32,Sunset Park West,4017,292,3833,296,184,89
BK33,Carroll Gardens-Columbia Street-Red Hook,11355,427,11114,431,241,115
BK34,Sunset Park East,4068,307,3762,295,306,111
BK35,Stuyvesant Heights,1214,203,1201,203,13,54
BK37,Park Slope-Gowanus,21836,607,21395,608,441,128
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7248,345,7015,351,233,97
BK40,Windsor Terrace,6764,317,6558,319,206,93
BK41,Kensington-Ocean Parkway,6799,362,5959,366,840,171
BK42,Flatbush,9164,454,8360,446,804,187
BK43,Midwood,14677,393,13646,412,1031,200
BK44,Madison,11419,339,10810,350,609,171
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,12757,362,12453,366,304,116
BK46,Ocean Parkway South,5696,235,5322,242,374,115
BK50,Canarsie,2111,229,2062,225,49,78
BK58,Flatlands,4450,290,4285,288,165,86
BK60,Prospect Lefferts Gardens-Wingate,2425,308,2178,288,247,129
BK61,Crown Heights North,4533,369,4315,367,218,110
BK63,Crown Heights South,2757,256,2196,258,561,156
BK64,Prospect Heights,4832,344,4773,344,59,46
BK68,Fort Greene,3680,279,3525,275,155,100
BK69,Clinton Hill,5038,370,4785,365,253,103
BK72,Williamsburg,6364,251,3827,281,2537,267
BK73,North Side-South Side,10496,454,8915,453,1581,261
BK75,Bedford,4600,320,3135,324,1465,173
BK76,Greenpoint,12094,423,11644,425,450,146
BK77,Bushwick North,2766,269,2616,264,150,87
BK78,Bushwick South,2816,299,2657,300,159,93
BK79,Ocean Hill,162,83,146,79,16,44
BK81,Brownsville,149,78,149,78,0,51
BK82,East New York,535,162,485,150,50,88
BK83,Cypress Hills-City Line,1075,178,918,166,157,85
BK85,East New York (Pennsylvania Ave),144,86,114,78,30,50
BK88,Borough Park,21521,497,17017,520,4504,386
BK90,East Williamsburg,7465,341,7062,348,403,135
BK91,East Flatbush-Farragut,363,117,321,111,42,65
BK93,Starrett City,2153,299,2028,268,125,136
BK95,Erasmus,49,43,49,43,0,36
BK96,Rugby-Remsen Village,226,108,169,91,57,78
BK99,park-cemetery-etc-Brooklyn,94,73,94,73,0,40
BX01,Claremont-Bathgate,68,48,68,48,0,40
BX03,Eastchester-Edenwald-Baychester,358,115,354,113,4,38
BX05,Bedford Park-Fordham North,1816,275,1601,264,215,116
BX06,Belmont,1252,206,1152,195,100,68
BX07,Bronxdale,2146,241,1975,255,171,87
BX08,West Farms-Bronx River,244,84,223,83,21,46
BX09,Soundview-Castle Hill-Clason Point-Harding Park,225,80,221,80,4,48
BX10,Pelham Bay-Country Club-City Island,7588,386,7540,390,48,44
BX13,Co-op City,1851,264,1831,268,20,41
BX14,East Concourse-Concourse Village,357,131,306,112,51,85
BX17,East Tremont,293,120,236,111,57,66
BX22,North Riverdale-Fieldston-Riverdale,7817,376,7687,373,130,86
BX26,Highbridge,66,53,66,53,0,42
BX27,Hunts Point,96,60,86,59,10,39
BX28,Van Cortlandt Village,2911,289,2817,285,94,74
BX29,Spuyten Duyvil-Kingsbridge,7271,339,7090,348,181,103
BX30,Kingsbridge Heights,447,126,443,125,4,38
BX31,Allerton-Pelham Gardens,3172,230,3121,232,51,51
BX33,Longwood,138,64,138,64,0,36
BX34,Melrose South-Mott Haven North,163,84,129,75,34,56
BX35,Morrisania-Melrose,92,55,81,53,11,39
BX36,University Heights-Morris Heights,176,90,176,90,0,51
