area_id,area_name,b17020a001,b17020a001_moe,b17020a002,b17020a002_moe,b17020a003,b17020a003_moe,b17020a004,b17020a004_moe,b17020a005,b17020a005_moe,b17020a006,b17020a006_moe,b17020a007,b17020a007_moe,b17020a008,b17020a008_moe,b17020a009,b17020a009_moe,b17020a010,b17020a010_moe,b17020a011,b17020a011_moe,b17020a012,b17020a012_moe,b17020a013,b17020a013_moe,b17020a014,b17020a014_moe,b17020a015,b17020a015_moe,b17020a016,b17020a016_moe,b17020a017,b17020a017_moe
BK09,Brooklyn Heights-Cobble Hill,18248,983,1553,403,51,46,0,29,0,29,46,68,1293,361,101,62,62,53,16695,936,1194,254,33,37,614,166,436,147,12195,714,1287,256,936,218
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45326,1475,6412,813,441,224,19,59,344,158,428,213,3244,522,701,160,1235,261,38914,1498,1489,311,455,162,1955,321,2363,334,25153,1161,3362,368,4137,409
BK19,Brighton Beach,25250,1234,7256,887,243,120,156,100,295,129,461,184,3196,559,817,184,2088,304,17994,1214,867,303,99,76,901,262,747,207,11945,846,1644,287,1791,293
BK21,Seagate-Coney Island,12337,1090,3236,557,66,84,33,59,124,91,98,68,1254,366,588,166,1073,234,9101,998,410,171,173,98,538,172,759,329,5512,654,1053,238,656,171
BK23,West Brighton,15109,711,1805,319,22,42,0,27,13,31,15,31,563,159,554,143,638,196,13304,800,341,160,62,67,336,143,438,143,7508,766,2429,439,2190,330
BK25,Homecrest,35258,1404,4360,730,260,133,102,73,488,217,430,179,2030,367,373,104,677,157,30898,1384,2007,325,383,129,2596,389,2209,315,18438,916,2976,387,2289,314
BK26,Gravesend,16699,988,2230,460,114,110,0,36,95,81,135,86,1067,277,214,86,605,153,14469,997,570,197,98,61,606,201,520,159,8136,781,2677,440,1862,336
BK27,Bath Beach,17175,1077,2083,468,97,80,24,54,190,130,90,60,993,263,235,93,454,119,15092,1050,761,215,77,58,631,179,496,134,9399,837,2094,306,1634,263
BK28,Bensonhurst West,47922,1811,7439,969,594,183,85,82,584,199,923,257,3517,518,745,172,991,262,40483,1698,1876,335,441,149,2104,346,2201,345,25298,1244,4423,451,4140,424
BK29,Bensonhurst East,33602,1352,4762,736,382,164,76,70,326,143,211,134,2451,469,525,114,791,167,28840,1321,1259,270,253,119,1275,242,1310,246,18284,1037,3479,418,2980,355
BK30,Dyker Heights,26194,1153,2580,521,195,104,53,64,105,69,204,90,1477,365,252,95,294,96,23614,1140,1079,201,204,93,1220,235,1461,254,14505,880,2619,331,2526,306
BK31,Bay Ridge,63281,1930,8958,1216,776,276,87,87,1019,330,641,229,5096,689,528,131,811,183,54323,1783,3074,407,499,158,2933,428,2846,429,36269,1236,4358,404,4344,374
BK32,Sunset Park West,23578,1587,5547,901,596,231,69,61,552,195,476,193,3116,504,240,94,498,203,18031,1412,1141,283,251,107,1254,265,1064,238,12896,1037,822,198,603,148
BK33,Carroll Gardens-Columbia Street-Red Hook,25619,1085,2268,447,88,92,22,49,165,106,53,82,1425,299,280,105,235,121,23351,1063,1513,277,241,97,1175,230,893,208,17476,792,1008,222,1045,243
BK34,Sunset Park East,21932,1497,5133,884,477,200,124,85,766,225,409,158,2613,463,366,143,378,125,16799,1372,1016,263,278,121,1044,271,894,236,11540,975,814,190,1213,229
BK35,Stuyvesant Heights,7735,1085,2714,726,285,154,98,84,384,181,224,147,1549,381,115,96,59,68,5021,886,441,186,30,55,365,185,318,173,3554,598,189,112,124,74
BK37,Park Slope-Gowanus,53098,1713,3018,497,52,71,22,60,157,105,162,108,2304,376,155,85,166,96,50080,1667,3582,481,479,161,2257,328,2079,338,37753,1247,2376,295,1554,280
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17738,925,2080,415,55,58,0,42,64,55,95,82,1524,325,201,84,141,82,15658,859,954,219,196,91,857,220,388,143,12224,635,642,144,397,121
BK40,Windsor Terrace,16664,940,1628,511,205,203,0,32,34,50,140,107,1087,295,44,36,118,59,15036,892,1040,218,115,53,799,196,576,179,10867,642,732,169,907,177
BK41,Kensington-Ocean Parkway,20100,1335,5052,965,438,173,134,90,582,213,618,230,2649,519,263,108,368,157,15048,1227,857,239,197,92,1181,259,1019,268,9751,801,1046,205,997,210
BK42,Flatbush,28692,1752,7358,1114,669,264,73,84,961,271,643,243,3975,665,404,155,633,157,21334,1626,1271,265,272,127,1346,314,1469,381,14304,1063,1450,242,1222,222
BK43,Midwood,40953,1557,7689,1063,691,221,141,93,710,264,773,254,3685,548,550,141,1139,196,33264,1504,2404,354,335,100,2635,361,2989,396,20470,1002,2074,275,2357,300
BK44,Madison,30074,1274,3364,550,282,176,24,49,199,102,154,78,1578,349,461,127,666,143,26710,1275,1706,331,381,121,1754,359,1584,295,17430,865,1356,205,2499,340
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,37824,1385,3165,751,263,148,126,81,358,187,389,180,1554,422,114,83,361,122,34659,1349,2440,375,642,144,2659,361,2192,315,21322,902,2504,308,2900,339
BK46,Ocean Parkway South,17413,1067,2142,561,325,164,59,57,140,130,121,77,1037,267,112,53,348,114,15271,1079,1152,226,241,96,1483,277,1542,299,8859,662,934,159,1060,186
BK50,Canarsie,6645,763,1567,411,64,82,19,71,47,75,55,73,972,332,173,100,237,107,5078,660,122,92,41,84,205,134,118,101,2988,473,632,139,972,178
BK58,Flatlands,14729,995,1716,456,135,99,77,78,144,108,204,132,900,245,112,73,144,81,13013,939,970,227,184,97,1037,236,1023,211,7562,639,910,182,1327,205
BK60,Prospect Lefferts Gardens-Wingate,7917,1099,2069,687,221,155,52,78,335,267,118,110,1145,314,140,99,58,73,5848,968,701,238,108,81,481,240,350,188,4007,571,117,76,84,69
BK61,Crown Heights North,12268,1074,3264,692,224,128,45,83,283,173,278,171,2129,404,144,107,161,90,9004,865,653,195,0,67,360,211,103,92,7589,725,136,85,163,85
BK63,Crown Heights South,11057,1177,2954,754,503,209,90,69,384,179,201,105,1701,399,62,46,13,40,8103,1068,965,243,270,113,1035,252,944,298,4570,622,185,91,134,78
BK64,Prospect Heights,11138,859,928,286,80,82,20,43,23,35,21,44,751,230,24,34,9,24,10210,823,665,161,67,42,343,160,146,85,8635,686,226,87,128,98
BK68,Fort Greene,8712,719,1204,422,63,68,26,55,167,124,90,83,756,281,46,47,56,63,7508,618,443,149,129,87,201,78,142,83,6111,494,302,103,180,73
BK69,Clinton Hill,14016,1104,3831,644,415,173,64,53,284,103,165,126,2833,504,10,41,60,60,10185,909,572,160,47,53,261,118,191,116,8704,741,262,105,148,73
BK72,Williamsburg,30275,1573,17249,1654,4016,545,515,131,2447,439,2344,399,7288,645,187,120,452,128,13026,1342,1999,432,433,121,1469,281,1799,370,6440,698,285,109,601,192
BK73,North Side-South Side,36092,1521,9423,1086,1120,259,208,142,994,271,1024,272,5322,631,399,139,356,135,26669,1456,1252,276,162,81,1238,296,1041,290,21347,1076,738,221,891,218
BK75,Bedford,22384,1279,10313,1121,2489,352,409,107,1958,317,1095,299,4210,472,85,70,67,63,12071,1286,1564,324,213,98,1325,276,939,237,7722,833,167,87,141,88
BK76,Greenpoint,26913,1149,2971,538,62,69,82,91,36,60,65,59,2127,418,223,98,376,136,23942,1118,693,183,97,62,712,180,905,243,19702,933,924,171,909,194
BK77,Bushwick North,22156,1765,6955,1112,671,235,156,98,606,263,572,190,4508,717,281,104,161,85,15201,1414,805,232,237,122,665,200,753,181,11703,1088,668,162,370,132
BK78,Bushwick South,27448,1944,7759,1106,600,201,147,113,830,256,827,292,4462,653,412,138,481,174,19689,1728,1164,327,109,82,905,256,1198,307,15019,1319,797,196,497,157
BK79,Ocean Hill,1377,434,580,285,71,71,7,38,119,93,70,95,259,127,39,45,15,34,797,327,35,54,15,43,43,61,83,72,568,227,17,39,36,41
BK81,Brownsville,3196,779,1977,702,345,216,74,95,193,129,235,159,1002,368,106,80,22,54,1219,376,72,83,0,51,57,74,188,122,775,241,93,77,34,61
BK82,East New York,16237,1486,6843,1028,885,302,205,118,674,219,956,234,3462,527,381,133,280,138,9394,1230,631,234,79,80,654,217,721,233,6328,834,602,185,379,143
