area_id,area_name,c24010c001,c24010c001_moe,c24010c002,c24010c002_moe,c24010c003,c24010c003_moe,c24010c004,c24010c004_moe,c24010c005,c24010c005_moe,c24010c006,c24010c006_moe,c24010c007,c24010c007_moe,c24010c008,c24010c008_moe,c24010c009,c24010c009_moe,c24010c010,c24010c010_moe,c24010c011,c24010c011_moe,c24010c012,c24010c012_moe,c24010c013,c24010c013_moe
BK09,Brooklyn Heights-Cobble Hill,41,46,26,39,10,32,0,29,0,29,16,37,0,29,15,36,15,36,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9,56,0,55,0,55,0,55,0,55,0,55,0,55,9,56,0,55,0,55,9,56,0,55,0,55
BK19,Brighton Beach,28,49,7,38,0,38,0,38,0,38,7,38,0,38,21,50,21,50,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,49,70,36,67,0,38,23,51,0,38,0,38,13,42,13,42,0,38,0,38,13,42,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,19,50,0,48,0,48,0,48,0,48,0,48,0,48,19,50,9,49,0,48,10,49,0,48,0,48
BK26,Gravesend,14,40,0,36,0,36,0,36,0,36,0,36,0,36,14,40,0,36,14,40,0,36,0,36,0,36
BK27,Bath Beach,26,52,5,39,0,40,0,40,0,40,0,40,5,39,21,53,21,53,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,469,326,393,265,58,96,53,78,26,67,200,210,56,79,76,88,0,64,10,64,39,78,0,64,27,75
BK29,Bensonhurst East,32,76,32,76,0,51,0,51,0,51,0,51,32,76,0,51,0,51,0,51,0,51,0,51,0,51
BK30,Dyker Heights,76,104,39,65,0,51,21,59,0,51,18,57,0,51,37,76,0,51,37,76,0,51,0,51,0,51
BK31,Bay Ridge,238,177,153,136,0,66,86,97,18,71,39,83,10,67,85,89,11,66,33,78,41,78,0,66,0,66
BK32,Sunset Park West,254,155,208,144,0,49,172,138,0,49,25,62,11,49,46,62,10,51,36,60,0,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,487,292,272,207,23,67,125,177,67,109,34,70,23,67,215,117,64,77,88,91,63,78,0,59,0,59
BK35,Stuyvesant Heights,16,52,16,52,0,51,0,51,6,51,0,51,10,52,0,51,0,51,0,51,0,51,0,51,0,51
BK37,Park Slope-Gowanus,237,142,80,73,43,69,0,58,23,59,0,58,14,61,157,125,80,114,0,58,51,66,26,60,0,58
