area_id,area_name,c27001h001,c27001h001_moe,c27001h002,c27001h002_moe,c27001h003,c27001h003_moe,c27001h004,c27001h004_moe,c27001h005,c27001h005_moe,c27001h006,c27001h006_moe,c27001h007,c27001h007_moe,c27001h008,c27001h008_moe,c27001h009,c27001h009_moe,c27001h010,c27001h010_moe
BK09,Brooklyn Heights-Cobble Hill,17981,973,2308,385,2308,385,0,29,13432,749,12824,731,608,178,2241,298,2241,298,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,41929,1463,6421,649,6266,638,155,114,26521,1132,24564,1110,1957,351,8987,576,8893,572,94,92
BK19,Brighton Beach,22046,1115,2841,532,2657,517,184,146,13137,812,11111,800,2026,386,6068,441,6020,440,48,55
BK21,Seagate-Coney Island,9133,903,1338,382,1291,380,47,65,4893,617,4194,564,699,253,2902,345,2888,345,14,42
BK23,West Brighton,14910,739,1196,254,1177,253,19,29,7927,775,6999,724,928,300,5787,456,5787,456,0,27
BK25,Homecrest,33484,1410,8081,799,7943,798,138,86,19302,910,17050,907,2252,351,6101,467,6067,464,34,55
BK26,Gravesend,14610,863,1596,320,1403,321,193,139,7915,672,6551,649,1364,291,5099,456,5099,456,0,36
BK27,Bath Beach,15532,1006,2027,361,1996,361,31,44,9257,812,8144,745,1113,329,4248,389,4248,389,0,40
BK28,Bensonhurst West,40512,1595,6668,711,6407,702,261,138,24227,1143,20073,1048,4154,547,9617,693,9579,693,38,65
BK29,Bensonhurst East,28799,1285,3733,473,3626,475,107,81,17615,1006,14492,923,3123,493,7451,514,7417,514,34,55
BK30,Dyker Heights,23501,1051,3834,430,3796,428,38,61,14181,840,12620,742,1561,319,5486,427,5466,428,20,50
BK31,Bay Ridge,55668,1872,9965,955,9723,947,242,161,36147,1260,31207,1187,4940,576,9556,534,9489,530,67,79
BK32,Sunset Park West,9275,786,1209,298,1191,296,18,56,7054,630,5416,487,1638,384,1012,238,987,235,25,62
BK33,Carroll Gardens-Columbia Street-Red Hook,23014,1037,3699,470,3645,467,54,69,17199,772,15382,748,1817,336,2116,319,2109,318,7,44
