area_id,area_name,b23008001,b23008001_moe,b23008002,b23008002_moe,b23008003,b23008003_moe,b23008004,b23008004_moe,b23008005,b23008005_moe,b23008006,b23008006_moe,b23008007,b23008007_moe,b23008008,b23008008_moe,b23008009,b23008009_moe,b23008010,b23008010_moe,b23008011,b23008011_moe,b23008012,b23008012_moe,b23008013,b23008013_moe,b23008014,b23008014_moe,b23008015,b23008015_moe,b23008016,b23008016_moe,b23008017,b23008017_moe,b23008018,b23008018_moe,b23008019,b23008019_moe,b23008020,b23008020_moe,b23008021,b23008021_moe,b23008022,b23008022_moe,b23008023,b23008023_moe,b23008024,b23008024_moe,b23008025,b23008025_moe,b23008026,b23008026_moe,b23008027,b23008027_moe
BK43,Midwood,13096,1025,4373,490,3909,471,1771,300,1616,312,375,184,147,129,464,181,111,120,96,118,15,55,353,142,271,134,82,70,8723,764,7623,720,3511,470,3527,655,457,223,128,110,1100,307,206,139,196,138,10,51,894,270,640,214,254,172
BK44,Madison,8201,715,2939,424,2640,406,1148,261,1410,333,34,59,48,53,299,162,128,145,128,145,0,46,171,91,86,72,85,70,5262,546,4569,545,2266,382,2011,425,237,124,55,59,693,197,187,116,187,116,0,46,506,162,432,153,74,67
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,12038,838,4459,511,3684,463,2160,361,1434,314,76,81,14,54,775,276,382,236,267,188,115,151,393,155,288,144,105,73,7579,666,6009,634,3602,495,2155,464,147,100,105,96,1570,356,276,160,265,159,11,57,1294,321,1148,317,146,85
BK46,Ocean Parkway South,5373,682,1944,341,1863,338,514,176,1157,292,117,66,75,71,81,64,27,45,27,45,0,36,54,55,33,45,21,46,3429,500,3182,497,942,293,2024,413,165,117,51,71,247,117,51,82,51,82,0,36,196,92,165,88,31,39
BK50,Canarsie,20119,1081,6030,577,2947,431,1958,331,680,233,243,145,66,130,3083,406,362,152,351,151,11,71,2721,388,2148,320,573,203,14089,864,6972,676,5210,602,979,296,626,222,157,152,7117,673,1096,304,943,292,153,113,6021,616,5137,562,884,292
BK58,Flatlands,15995,914,4823,492,2521,344,1614,291,750,206,136,93,21,69,2302,371,452,175,344,153,108,104,1850,335,1363,295,487,171,11172,766,6249,624,4650,580,1348,294,225,114,26,67,4923,568,677,229,610,229,67,71,4246,526,3731,495,515,212
BK60,Prospect Lefferts Gardens-Wingate,14078,1091,5410,644,2868,497,2071,448,572,219,216,148,9,58,2542,445,307,186,307,186,0,58,2235,406,1574,325,661,256,8668,801,3481,575,2487,508,872,293,122,95,0,58,5187,715,636,245,515,202,121,147,4551,674,3754,651,797,282
BK61,Crown Heights North,21072,1205,6982,638,2307,385,1127,263,1041,305,81,90,58,81,4675,542,721,232,572,216,149,107,3954,504,2578,404,1376,321,14090,975,4276,670,2563,509,1393,418,155,114,165,114,9814,827,810,321,758,316,52,84,9004,811,7000,737,2004,409
BK63,Crown Heights South,10619,960,3402,449,2382,399,962,236,1191,345,145,112,84,100,1020,250,210,138,210,138,0,40,810,211,723,196,87,83,7217,793,4352,713,2338,516,1886,530,63,77,65,94,2865,463,398,166,350,162,48,50,2467,424,2051,388,416,203
BK64,Prospect Heights,2867,381,1360,229,1007,202,828,184,156,95,0,32,23,38,353,159,69,73,69,73,0,32,284,144,204,97,80,109,1507,324,772,252,527,165,202,203,43,44,0,32,735,235,116,93,62,56,54,81,619,217,519,184,100,81
BK68,Fort Greene,4147,479,1726,312,866,220,622,186,218,132,19,46,7,38,860,224,247,149,112,103,135,132,613,212,333,121,280,173,2421,366,710,214,405,147,290,163,0,38,15,43,1711,331,167,130,115,102,52,90,1544,323,1047,259,497,213
BK69,Clinton Hill,5653,615,2616,369,1584,267,796,186,706,205,69,63,13,43,1032,275,105,77,105,77,0,40,927,275,741,249,186,129,3037,464,1634,375,940,258,652,264,39,51,3,54,1403,316,218,202,185,197,33,59,1185,249,1063,235,122,104
BK72,Williamsburg,15451,1162,7116,675,6557,661,1777,464,3619,556,1047,332,114,83,559,208,260,167,225,161,35,53,299,137,137,98,162,95,8335,824,7202,784,1568,401,4985,751,452,248,197,151,1133,351,355,216,355,216,0,36,778,284,363,160,415,249
BK73,North Side-South Side,8809,884,3389,462,2382,379,1033,272,1103,280,208,143,38,78,1007,279,312,175,236,156,76,84,695,218,580,199,115,84,5420,642,3393,583,1662,441,1553,400,100,80,78,94,2027,387,498,249,381,222,117,126,1529,310,1193,293,336,155
BK75,Bedford,20448,1117,8015,585,5218,462,1783,331,3143,409,292,166,0,56,2797,413,269,152,225,143,44,75,2528,391,1581,308,947,255,12433,845,6351,595,2457,452,3603,524,215,134,76,102,6082,678,533,207,466,198,67,80,5549,666,4104,576,1445,364
BK76,Greenpoint,3240,485,1174,258,1031,253,653,197,291,148,32,50,55,79,143,77,36,47,24,44,12,45,107,71,68,59,39,58,2066,372,1482,332,846,237,532,234,97,97,7,41,584,190,102,74,93,73,9,43,482,179,457,177,25,46
BK77,Bushwick North,14558,991,5661,596,2117,381,817,234,1135,292,53,64,112,98,3544,494,1068,304,963,291,105,88,2476,412,1227,297,1249,319,8897,756,3486,542,1668,380,1656,399,50,71,112,81,5411,622,939,265,859,262,80,71,4472,581,2636,430,1836,408
BK78,Bushwick South,16702,1070,5365,587,1813,369,857,230,775,278,35,66,146,115,3552,506,377,185,330,176,47,79,3175,471,2111,393,1064,278,11337,878,4413,671,2840,567,920,313,360,186,293,187,6924,729,800,267,706,256,94,92,6124,688,4527,641,1597,380
BK79,Ocean Hill,8776,774,2936,411,960,253,480,143,442,219,21,41,17,46,1976,338,344,139,297,128,47,65,1632,319,966,236,666,232,5840,581,1833,339,1038,245,502,196,165,133,128,107,4007,522,588,267,465,257,123,72,3419,472,2499,426,920,267
BK81,Brownsville,15279,1046,5276,649,1139,287,523,193,323,145,168,130,125,111,4137,603,393,171,229,128,164,119,3744,593,2308,461,1436,402,10003,740,2041,439,1178,342,601,260,188,109,74,83,7962,666,500,166,331,143,169,95,7462,663,5320,555,2142,458
BK82,East New York,25191,1367,8554,795,2623,537,1017,264,804,246,223,148,579,375,5931,639,912,292,586,227,326,194,5019,586,3224,453,1795,396,16637,993,5516,685,2589,452,1737,414,652,250,538,240,11121,885,1104,325,747,233,357,233,10017,831,6925,689,3092,536
BK83,Cypress Hills-City Line,13026,928,4636,563,1997,381,885,248,824,257,91,102,197,147,2639,440,240,129,215,128,25,52,2399,421,1453,308,946,274,8390,726,4362,557,1932,378,1738,401,250,138,442,210,4028,596,501,196,372,174,129,100,3527,567,2512,458,1015,375
BK85,East New York (Pennsylvania Ave),8949,708,2949,399,752,217,389,150,309,166,54,60,0,36,2197,357,52,56,52,56,0,36,2145,356,1242,283,903,266,6000,560,1327,300,695,215,460,201,149,98,23,49,4673,530,395,178,219,134,176,119,4278,511,2858,441,1420,373
BK88,Borough Park,39764,1976,15769,967,14341,951,4956,572,7021,730,1862,374,502,269,1428,378,401,197,280,169,121,123,1027,326,672,288,355,166,23995,1428,21627,1414,8983,1002,10845,1121,1271,407,528,283,2368,485,473,200,453,199,20,69,1895,439,1481,376,414,240
BK90,East Williamsburg,4096,478,1548,285,842,223,439,161,241,131,153,111,9,42,706,203,32,52,32,52,0,40,674,199,490,188,184,101,2548,385,1084,248,546,178,338,157,139,111,61,73,1464,351,91,69,91,69,0,40,1373,347,1050,300,323,183
BK91,East Flatbush-Farragut,10491,806,3558,471,1532,359,1069,314,359,171,78,79,26,65,2026,335,290,154,199,121,91,107,1736,306,1395,256,341,160,6933,607,2773,452,2205,409,356,173,212,127,0,54,4160,502,768,254,697,246,71,79,3392,463,2824,440,568,201
BK93,Starrett City,2560,453,773,304,72,70,47,56,25,39,0,24,0,24,701,298,9,25,0,24,9,25,692,297,439,200,253,219,1787,393,429,268,387,263,29,35,0,24,13,27,1358,428,44,43,37,40,7,24,1314,422,995,384,319,187
BK95,Erasmus,6772,729,2324,376,918,267,654,246,233,144,10,36,21,45,1406,314,176,122,119,93,57,87,1230,303,923,257,307,182,4448,576,1979,476,1404,442,372,179,170,121,33,55,2469,379,254,112,193,97,61,68,2215,369,1957,344,258,137
BK96,Rugby-Remsen Village,11886,940,4335,538,1614,348,1111,271,404,205,54,69,45,73,2721,431,284,133,233,123,51,69,2437,414,1875,346,562,214,7551,722,2913,455,2172,382,638,275,88,73,15,56,4638,584,598,194,506,168,92,109,4040,557,3473,510,567,236
BK99,park-cemetery-etc-Brooklyn,116,145,28,60,0,40,0,40,0,40,0,40,0,40,28,60,28,60,0,40,28,60,0,40,0,40,0,40,88,106,0,40,0,40,0,40,0,40,0,40,88,106,51,89,0,40,51,89,37,70,37,70,0,40
BX01,Claremont-Bathgate,9096,827,3051,444,722,250,405,202,269,133,21,50,27,51,2329,388,243,171,227,166,16,44,2086,353,1568,318,518,194,6045,673,1687,475,1080,411,535,232,25,48,47,67,4358,601,150,93,72,61,78,80,4208,595,2657,484,1551,392
BX03,Eastchester-Edenwald-Baychester,9469,942,2517,496,1097,339,818,280,227,180,52,90,0,40,1420,406,171,126,131,110,40,73,1249,398,778,282,471,253,6952,723,2889,577,2114,484,653,317,122,132,0,40,4063,573,552,255,442,222,110,130,3511,534,2836,534,675,272
BX05,Bedford Park-Fordham North,14303,1077,4935,587,1674,367,868,251,712,261,81,81,13,52,3261,539,449,221,449,221,0,50,2812,497,1725,402,1087,381,9368,909,2852,582,1824,507,760,281,146,124,122,110,6516,765,417,184,377,174,40,74,6099,752,4559,668,1540,458
BX06,Belmont,6923,792,2437,450,777,249,322,153,442,192,13,37,0,34,1660,380,279,144,250,137,29,55,1381,344,480,165,901,301,4486,536,984,297,541,234,365,175,78,77,0,34,3502,495,294,136,233,126,61,60,3208,476,2086,427,1122,299
BX07,Bronxdale,7440,687,2477,385,892,250,267,141,607,211,18,46,0,38,1585,338,136,91,93,72,43,66,1449,318,1200,300,249,113,4963,515,2010,386,1107,284,732,252,127,109,44,79,2953,465,313,167,229,136,84,103,2640,446,2195,430,445,164
BX08,West Farms-Bronx River,9498,930,3474,511,1039,281,679,228,262,131,66,85,32,68,2435,475,480,214,365,176,115,96,1955,414,1306,348,649,249,6024,720,1635,378,1076,329,269,127,247,154,43,50,4389,662,532,227,413,215,119,102,3857,629,2654,522,1203,412
BX09,Soundview-Castle Hill-Clason Point-Harding Park,12928,1027,3833,526,834,267,649,245,177,120,8,50,0,50,2999,479,536,220,397,167,139,148,2463,437,1542,343,921,286,9095,794,2462,447,1765,412,430,210,102,82,165,121,6633,743,844,282,721,248,123,147,5789,726,4023,604,1766,492
BX10,Pelham Bay-Country Club-City Island,4239,596,1414,352,934,319,653,266,281,197,0,34,0,34,480,200,71,90,71,90,0,34,409,184,244,136,165,136,2825,514,1757,432,1135,309,445,323,177,144,0,34,1068,302,403,197,403,197,0,34,665,241,468,203,197,136
BX13,Co-op City,7508,858,2251,426,1183,330,918,314,199,126,13,33,53,63,1068,322,207,142,207,142,0,33,861,277,676,236,185,152,5257,670,2156,490,1585,446,346,194,93,83,132,103,3101,524,389,190,347,178,42,72,2712,511,2201,460,511,283
BX14,East Concourse-Concourse Village,16184,1149,5215,651,1574,382,815,308,626,224,8,52,125,112,3641,571,701,284,664,278,37,77,2940,516,1863,418,1077,321,10969,907,3893,671,2130,512,1507,494,75,96,181,130,7076,778,1166,422,1051,412,115,99,5910,714,3847,598,2063,535
BX17,East Tremont,12360,921,4026,543,938,277,507,180,431,220,0,45,0,45,3088,501,349,143,295,139,54,56,2739,493,1615,359,1124,382,8334,706,1759,435,1033,358,571,239,78,90,77,86,6575,667,524,210,390,192,134,90,6051,651,4123,560,1928,445
BX22,North Riverdale-Fieldston-Riverdale,4713,597,1869,392,1623,377,997,322,591,247,0,38,35,66,246,134,7,38,7,38,0,38,239,134,196,126,43,55,2844,472,1800,314,1107,256,575,208,118,98,0,38,1044,372,211,196,199,195,12,42,833,295,772,285,61,84
BX26,Highbridge,10788,863,3513,497,1207,293,579,201,539,214,54,55,35,68,2306,422,306,115,275,111,31,45,2000,412,1348,324,652,255,7275,691,2479,516,1197,357,980,392,206,145,96,72,4796,618,454,202,349,173,105,106,4342,582,3335,506,1007,329
BX27,Hunts Point,8023,640,2473,358,587,191,299,124,281,150,7,38,0,38,1886,314,222,103,165,88,57,59,1664,304,1062,245,602,214,5550,552,1218,289,754,251,388,153,36,54,40,58,4332,558,412,223,303,208,109,124,3920,549,2873,512,1047,293
BX28,Van Cortlandt Village,11586,875,3716,506,1423,331,608,205,736,251,66,95,13,48,2293,441,313,149,264,136,49,73,1980,407,1464,335,516,264,7870,691,2756,508,1663,402,785,298,185,133,123,94,5114,608,588,196,492,188,96,75,4526,589,3455,552,1071,306
BX29,Spuyten Duyvil-Kingsbridge,5473,524,2369,363,1698,322,1002,245,595,242,53,58,48,82,671,201,127,98,98,84,29,62,544,189,390,176,154,92,3104,419,2000,367,1086,257,652,249,166,139,96,100,1104,278,258,163,258,163,0,38,846,239,687,206,159,130
BX30,Kingsbridge Heights,6829,683,2276,412,790,227,496,188,248,130,46,81,0,38,1486,337,291,167,277,165,14,41,1195,304,988,286,207,113,4553,558,1697,402,969,290,570,277,141,117,17,44,2856,474,339,156,277,140,62,75,2517,465,2004,432,513,252
BX31,Allerton-Pelham Gardens,7492,726,2100,351,1386,295,937,224,445,198,4,40,0,42,714,221,99,80,64,59,35,68,615,206,535,192,80,87,5392,607,3261,474,2158,378,931,314,155,103,17,47,2131,445,456,243,423,242,33,49,1675,383,1263,305,412,269
BX33,Longwood,7867,747,2502,421,574,242,234,110,325,211,15,40,0,36,1928,362,339,199,291,189,48,74,1589,305,1036,257,553,197,5365,570,1099,265,590,197,488,191,14,47,7,34,4266,553,391,179,347,176,44,45,3875,546,2691,484,1184,367
