area_id,area_name,c24010d001,c24010d001_moe,c24010d002,c24010d002_moe,c24010d003,c24010d003_moe,c24010d004,c24010d004_moe,c24010d005,c24010d005_moe,c24010d006,c24010d006_moe,c24010d007,c24010d007_moe,c24010d008,c24010d008_moe,c24010d009,c24010d009_moe,c24010d010,c24010d010_moe,c24010d011,c24010d011_moe,c24010d012,c24010d012_moe,c24010d013,c24010d013_moe
BK09,Brooklyn Heights-Cobble Hill,1186,289,481,165,350,138,7,30,76,70,48,68,0,29,705,196,470,157,70,80,165,93,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4447,546,2284,312,658,189,292,118,474,145,264,124,596,200,2163,334,838,202,395,134,649,180,0,55,281,125
BK19,Brighton Beach,1773,321,1018,222,283,103,82,67,285,111,99,64,269,108,755,179,315,106,188,82,234,103,0,38,18,45
BK21,Seagate-Coney Island,1242,332,794,261,131,90,118,63,218,114,100,82,227,130,448,148,102,65,180,107,141,64,0,38,25,42
BK23,West Brighton,46,43,38,41,28,37,10,29,0,27,0,27,0,27,8,28,8,28,0,27,0,27,0,27,0,27
BK25,Homecrest,1971,414,1087,271,198,97,225,104,344,165,123,84,197,103,884,197,370,128,274,113,158,82,29,65,53,63
BK26,Gravesend,3053,446,1725,287,381,145,351,131,347,121,133,79,513,147,1328,238,469,131,375,151,378,112,0,36,106,79
BK27,Bath Beach,3915,491,2198,315,578,138,397,136,614,160,142,83,467,150,1717,279,589,156,391,144,612,142,0,40,125,78
BK28,Bensonhurst West,14033,952,7855,609,1535,230,2050,379,1498,252,936,216,1836,290,6178,522,1624,248,1987,303,1854,273,10,64,703,161
BK29,Bensonhurst East,10828,834,6324,518,1443,249,1440,263,1514,257,605,170,1322,252,4504,458,1260,227,1343,247,1410,267,0,51,491,136
BK30,Dyker Heights,7523,736,3791,425,469,135,1384,280,772,186,414,130,752,202,3732,450,825,186,1649,322,909,220,14,50,335,149
BK31,Bay Ridge,5639,596,2998,377,1174,235,521,153,715,188,138,102,450,143,2641,322,1266,224,334,117,824,204,9,66,208,111
BK32,Sunset Park West,4087,632,1921,368,439,138,918,266,211,100,104,69,249,109,2166,375,573,173,797,259,564,185,8,52,224,106
BK33,Carroll Gardens-Columbia Street-Red Hook,1470,404,672,268,530,256,68,71,64,59,0,45,10,46,798,249,547,214,73,65,151,108,0,45,27,51
BK34,Sunset Park East,15706,952,9073,635,728,174,4753,521,1129,244,1084,228,1379,263,6633,495,909,196,2867,337,1687,277,25,63,1145,217
BK35,Stuyvesant Heights,803,230,389,137,220,113,36,59,58,73,11,52,64,71,414,161,130,85,102,108,177,106,0,51,5,50
BK37,Park Slope-Gowanus,3429,478,1357,268,1035,226,20,58,226,138,10,59,66,94,2072,333,1599,296,49,69,323,128,0,58,101,96
