area_id,area_name,b08105f001,b08105f001_moe,b08105f002,b08105f002_moe,b08105f003,b08105f003_moe,b08105f004,b08105f004_moe,b08105f005,b08105f005_moe,b08105f006,b08105f006_moe,b08105f007,b08105f007_moe
BK09,Brooklyn Heights-Cobble Hill,239,183,7,26,0,29,211,181,21,36,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,259,140,0,55,0,55,173,111,81,104,0,55,5,55
BK19,Brighton Beach,329,255,50,72,52,90,162,144,64,82,0,38,1,36
BK21,Seagate-Coney Island,898,297,178,110,34,67,551,213,123,77,12,40,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,533,291,40,67,160,142,281,198,35,56,0,48,17,49
BK26,Gravesend,438,177,50,56,12,39,376,157,0,36,0,36,0,36
BK27,Bath Beach,754,336,132,105,21,50,594,276,7,38,0,40,0,40
BK28,Bensonhurst West,1878,550,198,117,87,107,1068,404,200,154,112,132,213,138
BK29,Bensonhurst East,1019,324,168,121,36,64,704,242,85,81,26,64,0,51
BK30,Dyker Heights,506,235,72,81,134,187,214,111,50,71,0,51,36,63
BK31,Bay Ridge,1956,391,300,149,108,123,1252,271,202,110,29,73,65,87
BK32,Sunset Park West,7359,822,636,187,333,145,4881,640,1182,307,213,120,114,82
BK33,Carroll Gardens-Columbia Street-Red Hook,1794,408,366,183,74,85,1077,303,234,135,33,66,10,46
BK34,Sunset Park East,4624,731,489,169,121,77,2724,551,1016,298,139,118,135,108
BK35,Stuyvesant Heights,1649,428,178,109,73,113,1236,336,106,97,0,51,56,75
BK37,Park Slope-Gowanus,2934,572,436,186,92,78,1876,492,342,148,99,93,89,85
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1324,338,59,73,35,68,856,213,234,126,22,53,118,93
BK40,Windsor Terrace,680,247,105,75,12,39,509,196,29,42,0,32,25,47
BK41,Kensington-Ocean Parkway,1577,457,199,129,19,47,1225,406,107,88,27,50,0,40
BK42,Flatbush,5510,943,625,185,96,89,3827,723,490,236,268,294,204,149
BK43,Midwood,810,312,212,152,67,80,524,219,0,51,0,51,7,51
BK44,Madison,312,153,97,79,0,46,213,112,0,46,0,46,2,44
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,649,256,126,89,93,85,359,167,50,73,0,55,21,68
BK46,Ocean Parkway South,392,194,5,35,79,108,205,124,77,66,0,36,26,51
BK50,Canarsie,1471,403,404,180,138,155,700,254,180,141,29,73,20,77
BK58,Flatlands,969,309,247,136,135,124,431,171,25,73,0,62,131,139
BK60,Prospect Lefferts Gardens-Wingate,1416,418,184,171,17,62,1091,355,124,91,0,58,0,58
BK61,Crown Heights North,1963,458,199,130,27,70,1510,391,76,97,47,84,104,98
BK63,Crown Heights South,770,311,78,90,0,40,412,200,58,65,0,40,222,172
BK64,Prospect Heights,622,244,117,87,0,32,470,212,0,32,0,32,35,52
BK68,Fort Greene,1077,358,94,96,40,50,713,295,145,92,29,58,56,58
BK69,Clinton Hill,1083,307,71,77,6,40,728,254,146,94,59,69,73,78
BK72,Williamsburg,260,146,74,75,0,36,158,94,11,36,17,44,0,36
BK73,North Side-South Side,1397,354,179,122,22,50,810,247,322,172,0,48,64,67
BK75,Bedford,2467,496,329,176,46,68,1520,339,209,110,331,230,32,60
BK76,Greenpoint,923,250,115,93,0,42,534,204,253,146,11,43,10,43
BK77,Bushwick North,10911,1059,1046,245,436,192,6825,855,1641,364,597,193,366,151
BK78,Bushwick South,5771,714,974,282,191,101,3335,516,795,230,246,130,230,141
BK79,Ocean Hill,1338,312,374,162,13,41,832,227,57,65,10,40,52,59
BK81,Brownsville,1226,298,120,89,50,66,937,242,53,64,45,86,21,59
BK82,East New York,2741,519,494,243,177,158,1502,300,468,246,55,76,45,70
BK83,Cypress Hills-City Line,2614,419,562,165,189,143,1674,305,91,72,40,56,58,74
BK85,East New York (Pennsylvania Ave),1177,351,275,147,29,58,811,256,54,62,0,36,8,39
BK88,Borough Park,3110,673,306,164,113,115,2125,518,321,176,213,131,32,74
BK90,East Williamsburg,1635,366,233,115,15,44,1151,289,212,131,0,40,24,54
BK91,East Flatbush-Farragut,313,136,137,104,12,55,121,81,43,65,0,54,0,54
BK93,Starrett City,282,201,13,27,0,24,269,202,0,24,0,24,0,24
BK95,Erasmus,485,221,32,54,0,36,436,216,0,36,0,36,17,40
BK96,Rugby-Remsen Village,501,211,46,66,0,54,316,160,114,115,0,54,25,66
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,3359,520,581,199,158,94,2077,407,224,126,40,73,279,139
BX03,Eastchester-Edenwald-Baychester,1790,398,566,185,86,78,1036,310,102,107,0,40,0,40
BX05,Bedford Park-Fordham North,11404,1076,1386,316,433,202,7586,847,1187,336,141,102,671,236
BX06,Belmont,3875,637,579,267,191,203,1869,393,792,252,230,141,214,111
BX07,Bronxdale,4759,808,852,259,214,134,3063,708,451,191,22,50,157,128
BX08,West Farms-Bronx River,6199,865,1129,301,131,96,4220,775,280,171,167,106,272,164
BX09,Soundview-Castle Hill-Clason Point-Harding Park,8122,828,2920,494,980,275,3712,533,369,155,66,76,75,89
BX10,Pelham Bay-Country Club-City Island,2932,552,1172,372,226,152,1359,363,49,58,59,69,67,83
BX13,Co-op City,2240,614,667,272,194,131,1150,387,151,117,16,35,62,85
BX14,East Concourse-Concourse Village,9627,1194,1145,308,440,231,6701,1010,573,266,279,156,489,231
BX17,East Tremont,5989,885,1017,257,118,75,3875,692,726,228,58,81,195,134
BX22,North Riverdale-Fieldston-Riverdale,1014,267,313,121,88,72,513,199,71,53,0,38,29,50
BX26,Highbridge,5653,601,835,234,414,157,3440,465,507,197,58,54,399,148
BX27,Hunts Point,3298,463,308,137,218,130,2211,393,374,145,33,46,154,76
BX28,Van Cortlandt Village,9859,947,1286,336,629,261,6376,748,1005,292,117,82,446,191
