area_id,area_name,b11001c001,b11001c001_moe,b11001c002,b11001c002_moe,b11001c003,b11001c003_moe,b11001c004,b11001c004_moe,b11001c005,b11001c005_moe,b11001c006,b11001c006_moe,b11001c007,b11001c007_moe,b11001c008,b11001c008_moe,b11001c009,b11001c009_moe
BK09,Brooklyn Heights-Cobble Hill,41,46,31,44,31,44,0,29,0,29,0,29,10,32,10,32,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,16,60,0,55,0,55,0,55,0,55,0,55,16,60,16,60,0,55
BK19,Brighton Beach,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,71,64,59,63,0,38,59,63,16,42,43,61,12,39,12,39,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,44,55,9,49,0,48,9,49,9,49,0,48,35,54,35,54,0,48
BK26,Gravesend,32,47,32,47,12,38,20,46,0,36,20,46,0,36,0,36,0,36
BK27,Bath Beach,26,52,21,53,0,40,21,53,0,40,21,53,5,39,5,39,0,40
BK28,Bensonhurst West,171,116,147,114,94,99,53,85,53,85,0,64,24,66,0,64,24,66
BK29,Bensonhurst East,36,57,24,55,14,54,10,53,10,53,0,51,12,53,12,53,0,51
BK30,Dyker Heights,38,65,17,57,0,51,17,57,0,51,17,57,21,59,21,59,0,51
BK31,Bay Ridge,132,100,111,95,48,80,63,84,18,71,45,79,21,73,21,73,0,66
BK32,Sunset Park West,304,140,156,99,110,90,46,61,28,55,18,56,148,111,148,111,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
BK34,Sunset Park East,256,122,256,122,92,87,164,102,59,77,105,87,0,59,0,59,0,59
BK35,Stuyvesant Heights,54,65,8,51,0,51,8,51,0,51,8,51,46,65,46,65,0,51
BK37,Park Slope-Gowanus,119,116,56,64,26,60,30,61,13,60,17,59,63,111,63,111,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21,45,9,43,0,42,9,43,0,42,9,43,12,44,12,44,0,42
BK40,Windsor Terrace,71,54,36,41,9,32,27,41,0,32,27,41,35,47,35,47,0,32
BK41,Kensington-Ocean Parkway,8,39,8,39,8,39,0,40,0,40,0,40,0,40,0,40,0,40
BK42,Flatbush,126,112,95,108,0,68,95,108,11,69,84,107,31,75,31,75,0,68
BK43,Midwood,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
BK44,Madison,19,55,0,46,0,46,0,46,0,46,0,46,19,55,19,55,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,54,3,54,3,54,0,55,0,55,0,55,0,55,0,55,0,55
BK46,Ocean Parkway South,25,38,13,36,13,36,0,36,0,36,0,36,12,38,12,38,0,36
BK50,Canarsie,20,72,20,72,0,70,20,72,7,70,13,72,0,70,0,70,0,70
BK58,Flatlands,43,71,43,71,32,69,11,64,0,62,11,64,0,62,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,97,90,53,82,20,62,33,77,0,58,33,77,44,69,44,69,0,58
BK61,Crown Heights North,77,83,34,75,0,67,34,75,0,67,34,75,43,75,43,75,0,67
BK63,Crown Heights South,28,49,20,49,0,40,20,49,0,40,20,49,8,40,8,40,0,40
BK64,Prospect Heights,12,34,0,32,0,32,0,32,0,32,0,32,12,34,0,32,12,34
BK68,Fort Greene,32,50,0,38,0,38,0,38,0,38,0,38,32,50,32,50,0,38
BK69,Clinton Hill,9,40,0,40,0,40,0,40,0,40,0,40,9,40,9,40,0,40
BK72,Williamsburg,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,42,59,42,59,42,59,0,48,0,48,0,48,0,48,0,48,0,48
BK75,Bedford,69,73,19,59,19,59,0,56,0,56,0,56,50,71,37,69,13,59
BK76,Greenpoint,104,83,48,54,17,48,31,47,0,42,31,47,56,75,46,74,10,43
BK77,Bushwick North,50,57,34,53,5,52,29,55,10,55,19,53,16,58,16,58,0,54
BK78,Bushwick South,188,95,155,83,112,76,43,65,12,58,31,64,33,73,0,56,33,73
BK79,Ocean Hill,52,61,35,58,35,58,0,38,0,38,0,38,17,39,17,39,0,38
BK81,Brownsville,79,74,59,69,0,51,59,69,0,51,59,69,20,58,20,58,0,51
BK82,East New York,96,80,45,71,5,64,40,72,0,65,40,72,51,74,39,73,12,67
BK83,Cypress Hills-City Line,67,73,30,57,0,49,30,57,4,48,26,58,37,67,0,49,37,67
BK85,East New York (Pennsylvania Ave),27,52,27,52,27,52,0,36,0,36,0,36,0,36,0,36,0,36
BK88,Borough Park,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68
BK90,East Williamsburg,80,85,80,85,71,85,9,40,9,40,0,40,0,40,0,40,0,40
BK91,East Flatbush-Farragut,29,59,18,58,18,58,0,54,0,54,0,54,11,56,0,54,11,56
BK93,Starrett City,43,53,43,53,0,24,43,53,21,38,22,40,0,24,0,24,0,24
BK95,Erasmus,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK96,Rugby-Remsen Village,36,58,13,56,0,54,13,56,0,54,13,56,23,57,23,57,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,72,61,50,51,16,45,34,47,0,40,34,47,22,50,22,50,0,40
BX03,Eastchester-Edenwald-Baychester,69,69,43,59,18,43,25,56,0,40,25,56,26,54,26,54,0,40
