area_id,area_name,c23002h001,c23002h001_moe,c23002h002,c23002h002_moe,c23002h003,c23002h003_moe,c23002h004,c23002h004_moe,c23002h005,c23002h005_moe,c23002h006,c23002h006_moe,c23002h007,c23002h007_moe,c23002h008,c23002h008_moe,c23002h009,c23002h009_moe,c23002h010,c23002h010_moe,c23002h011,c23002h011_moe,c23002h012,c23002h012_moe,c23002h013,c23002h013_moe,c23002h014,c23002h014_moe,c23002h015,c23002h015_moe,c23002h016,c23002h016_moe,c23002h017,c23002h017_moe,c23002h018,c23002h018_moe,c23002h019,c23002h019_moe,c23002h020,c23002h020_moe,c23002h021,c23002h021_moe,c23002h022,c23002h022_moe,c23002h023,c23002h023_moe,c23002h024,c23002h024_moe,c23002h025,c23002h025_moe,c23002h026,c23002h026_moe,c23002h027,c23002h027_moe
BK09,Brooklyn Heights-Cobble Hill,15886,793,8263,559,7080,525,5748,480,0,29,5748,480,5452,472,296,127,1332,251,1183,199,345,110,345,110,0,29,838,174,7623,474,6565,443,5376,377,0,29,5376,377,5108,378,268,141,1189,242,1058,214,268,110,259,109,9,30,790,190
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,36420,1195,16833,732,13338,714,10243,569,0,55,10243,569,9446,538,797,195,3095,425,3495,314,477,112,419,105,58,60,3018,305,19587,755,13943,699,9433,610,0,55,9433,610,8846,586,587,199,4510,498,5644,413,433,113,412,112,21,55,5211,406
BK19,Brighton Beach,19574,855,8490,537,6291,497,4648,429,18,48,4630,428,4223,419,407,146,1643,289,2199,255,163,73,139,71,24,42,2036,244,11084,575,7215,543,4759,430,0,38,4759,430,4546,419,213,106,2456,398,3869,323,231,95,221,93,10,38,3638,321
BK21,Seagate-Coney Island,8401,722,3857,417,2570,372,1733,318,0,38,1733,318,1449,286,284,131,837,225,1287,200,122,71,113,71,9,37,1165,191,4544,401,2603,358,1621,292,0,38,1621,292,1427,266,194,129,982,211,1941,234,101,66,101,66,0,38,1840,231
BK23,West Brighton,13922,646,5900,418,3532,439,2667,377,53,66,2614,379,2419,375,195,94,865,232,2368,274,196,96,186,94,10,29,2172,280,8022,451,4603,492,3483,439,0,27,3483,439,3310,432,173,145,1120,271,3419,310,293,114,241,96,52,64,3126,299
BK25,Homecrest,26313,985,12673,608,10040,592,7770,490,0,48,7770,490,7130,450,640,176,2270,311,2633,266,333,82,323,80,10,49,2300,259,13640,553,10172,528,5896,430,0,48,5896,430,5202,414,694,179,4276,377,3468,292,157,65,148,64,9,49,3311,290
BK26,Gravesend,13169,723,5990,460,3737,413,2751,344,0,36,2751,344,2496,343,255,107,986,219,2253,280,89,51,77,46,12,39,2164,281,7179,418,4333,383,3025,336,0,36,3025,336,2719,317,306,112,1308,232,2846,288,121,53,121,53,0,36,2725,286
BK27,Bath Beach,13796,837,6535,479,4703,459,3600,402,0,40,3600,402,3316,383,284,105,1103,206,1832,240,199,77,192,76,7,40,1633,223,7261,493,4690,468,3042,397,0,40,3042,397,2849,380,193,87,1648,255,2571,258,133,77,125,76,8,37,2438,255
BK28,Bensonhurst West,34847,1251,15813,724,11939,696,9465,600,0,64,9465,600,8412,554,1053,228,2474,327,3874,356,323,100,261,94,62,62,3551,347,19034,763,13192,694,8168,568,0,64,8168,568,7443,532,725,169,5024,464,5842,443,289,93,222,82,67,70,5553,442
BK29,Bensonhurst East,25475,1065,11876,637,8607,624,6878,538,0,51,6878,538,6147,504,731,195,1729,283,3269,291,253,98,227,97,26,52,3016,280,13599,669,9417,647,6179,523,0,51,6179,523,5529,497,650,159,3238,382,4182,337,178,70,176,71,2,50,4004,333
BK30,Dyker Heights,20364,902,9940,586,7547,567,6004,479,0,51,6004,479,5439,425,565,219,1543,274,2393,253,197,78,182,77,15,51,2196,243,10424,498,7187,462,4454,381,0,51,4454,381,4193,373,261,87,2733,309,3237,280,209,79,204,78,5,50,3028,275
BK31,Bay Ridge,47002,1350,22203,837,18641,814,14911,684,174,101,14737,681,13456,645,1281,238,3730,411,3562,308,564,125,516,122,48,66,2998,297,24799,844,18805,809,12178,620,15,69,12163,620,10982,587,1181,237,6627,615,5994,377,635,128,611,127,24,65,5359,374
BK32,Sunset Park West,8608,686,4496,445,4093,436,3214,398,0,49,3214,398,2959,346,255,157,879,177,403,118,69,68,69,68,0,49,334,106,4112,405,3436,366,2691,310,0,49,2691,310,2396,296,295,110,745,178,676,196,18,48,18,48,0,49,658,195
BK33,Carroll Gardens-Columbia Street-Red Hook,19749,833,9438,551,8546,553,7585,518,0,45,7585,518,7157,488,428,151,961,213,892,172,171,75,171,75,0,45,721,160,10311,602,8993,570,7478,533,0,45,7478,533,7131,524,347,163,1515,272,1318,229,153,76,153,76,0,45,1165,218
BK34,Sunset Park East,8095,664,4100,423,3563,391,2736,325,0,59,2736,325,2530,304,206,99,827,196,537,138,62,64,57,65,5,57,475,129,3995,386,3086,361,2012,294,0,59,2012,294,1906,292,106,70,1074,226,909,166,121,75,103,73,18,58,788,157
BK35,Stuyvesant Heights,2615,479,1320,285,1304,285,1111,257,0,51,1111,257,1036,252,75,75,193,105,16,46,0,51,0,51,0,51,16,46,1295,272,1192,262,938,243,0,51,938,243,902,241,36,59,254,117,103,78,21,60,21,60,0,51,82,71
BK37,Park Slope-Gowanus,41087,1301,19458,809,17813,808,16460,772,0,58,16460,772,15398,761,1062,244,1353,227,1645,245,556,130,536,127,20,61,1089,207,21629,909,19772,868,16704,792,0,58,16704,792,15830,785,874,227,3068,376,1857,247,446,136,438,136,8,58,1411,224
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,13122,653,6611,457,6128,449,5261,395,0,42,5261,395,5125,394,136,76,867,215,483,114,165,71,158,70,7,41,318,103,6511,386,6043,373,5070,338,0,42,5070,338,4883,333,187,86,973,193,468,110,43,46,39,46,4,40,425,109
BK40,Windsor Terrace,12704,701,6150,412,5619,398,4822,344,0,32,4822,344,4541,341,281,110,797,191,531,121,143,57,120,52,23,35,388,108,6554,434,5461,397,4720,381,0,32,4720,381,4514,378,206,90,741,167,1093,159,111,62,111,62,0,32,982,149
BK41,Kensington-Ocean Parkway,14323,915,6937,572,5909,558,4300,436,50,89,4250,440,3803,416,447,155,1609,305,1028,183,93,47,93,47,0,40,935,178,7386,504,6006,484,4281,411,0,40,4281,411,3935,394,346,130,1725,316,1380,196,95,52,87,52,8,40,1285,194
BK42,Flatbush,18281,1063,9057,692,7662,659,5884,526,20,75,5864,527,5429,506,435,144,1778,350,1395,202,313,120,287,120,26,69,1082,176,9224,597,7211,568,4881,449,10,69,4871,449,4462,428,409,140,2330,318,2013,229,252,97,252,97,0,68,1761,220
BK43,Midwood,30540,1033,14556,652,12134,646,8248,493,0,51,8248,493,7592,478,656,179,3886,420,2422,241,547,126,513,124,34,50,1875,223,15984,615,12368,594,7598,493,0,51,7598,493,7203,488,395,134,4770,458,3616,290,391,108,380,108,11,49,3225,280
BK44,Madison,23194,909,10944,564,8994,563,6973,444,0,46,6973,444,6511,441,462,139,2021,319,1950,213,249,80,218,75,31,50,1701,202,12250,559,9328,533,5687,417,0,46,5687,417,5357,410,330,103,3641,368,2922,255,135,61,131,62,4,45,2787,253
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,27696,976,12921,592,10575,561,8295,479,7,54,8288,478,7645,461,643,178,2280,291,2346,256,490,139,450,138,40,55,1856,237,14775,604,11340,584,7274,477,0,55,7274,477,6695,461,579,171,4066,455,3435,298,372,101,358,100,14,54,3063,284
BK46,Ocean Parkway South,12388,666,6099,396,5000,398,3709,343,33,57,3676,341,3341,327,335,105,1291,215,1099,148,170,57,144,54,26,40,929,144,6289,385,4970,390,2726,296,0,36,2726,296,2492,279,234,107,2244,297,1319,157,132,52,132,52,0,36,1187,151
BK50,Canarsie,4419,505,2041,305,1293,255,795,199,0,70,795,199,688,182,107,97,498,143,748,144,94,91,90,92,4,69,654,127,2378,290,1298,234,579,146,0,70,579,146,568,146,11,69,719,185,1080,160,69,73,69,73,0,70,1011,157
BK58,Flatlands,9600,678,4797,414,3963,398,2794,305,14,66,2780,305,2584,291,196,93,1169,215,834,148,100,70,92,69,8,63,734,140,4803,380,3424,341,2166,263,0,62,2166,263,2064,258,102,69,1258,221,1379,181,144,81,132,80,12,64,1235,171
BK60,Prospect Lefferts Gardens-Wingate,5277,675,2850,417,2656,386,2063,328,0,58,2063,328,1935,320,128,81,593,192,194,114,37,59,24,58,13,59,157,112,2427,372,2242,353,1741,298,0,58,1741,298,1544,274,197,124,501,166,185,127,13,60,0,58,13,60,172,125
BK61,Crown Heights North,9110,783,4552,494,4352,487,3632,432,0,67,3632,432,3393,421,239,113,720,188,200,97,15,67,15,67,0,67,185,96,4558,467,4299,462,3321,383,0,67,3321,383,3217,372,104,81,978,240,259,97,9,65,9,65,0,67,250,95
BK63,Crown Heights South,6824,723,3632,453,3459,454,2194,278,0,40,2194,278,2036,267,158,87,1265,326,173,79,62,49,58,48,4,39,111,71,3192,365,3023,365,1683,264,0,40,1683,264,1553,258,130,67,1340,257,169,76,25,42,25,42,0,40,144,72
BK64,Prospect Heights,9088,701,4256,414,4123,411,3757,381,0,32,3757,381,3564,363,193,105,366,148,133,61,43,44,43,44,0,32,90,47,4832,524,4617,523,4184,502,0,32,4184,502,3952,493,232,99,433,152,215,100,84,58,77,57,7,31,131,87
BK68,Fort Greene,6387,499,2898,331,2749,326,2518,316,0,38,2518,316,2445,316,73,59,231,85,149,66,16,40,12,41,4,37,133,62,3489,329,3298,327,2970,326,0,38,2970,326,2855,323,115,71,328,108,191,71,28,41,28,41,0,38,163,66
BK69,Clinton Hill,11375,884,5577,590,5418,586,4123,487,0,40,4123,487,3920,475,203,98,1295,279,159,77,113,65,97,64,16,40,46,53,5798,521,5630,512,4452,454,0,40,4452,454,4080,432,372,125,1178,255,168,80,36,50,36,50,0,40,132,75
BK72,Williamsburg,14808,717,7522,464,7070,454,4142,297,0,36,4142,297,4060,297,82,52,2928,358,452,120,90,63,79,61,11,38,362,108,7286,403,6509,396,2432,273,0,36,2432,273,2299,268,133,75,4077,393,777,158,25,38,25,38,0,36,752,158
BK73,North Side-South Side,20180,962,10557,664,10147,660,9089,619,0,48,9089,619,8738,620,351,115,1058,231,410,139,26,51,26,51,0,48,384,135,9623,665,9142,663,7357,602,0,48,7357,602,6895,594,462,136,1785,299,481,131,16,48,16,48,0,48,465,129
BK75,Bedford,9725,671,4947,402,4830,398,3909,341,0,56,3909,341,3653,331,256,112,921,202,117,80,9,57,9,57,0,56,108,80,4778,427,4717,422,2680,378,0,56,2680,378,2557,372,123,84,2037,214,61,69,0,56,0,56,0,56,61,69
BK76,Greenpoint,22075,931,10969,617,10289,610,8770,585,0,42,8770,585,8122,573,648,164,1519,277,680,140,122,59,115,58,7,42,558,130,11106,625,9587,600,7489,527,0,42,7489,527,7146,514,343,107,2098,338,1519,225,152,77,152,77,0,42,1367,218
BK77,Bushwick North,5680,580,3108,400,2976,398,2610,378,0,54,2610,378,2401,362,209,125,366,151,132,69,2,53,2,53,0,54,130,70,2572,354,2355,336,1876,282,0,54,1876,282,1722,269,154,79,479,190,217,86,0,54,0,54,0,54,217,86
BK78,Bushwick South,6451,743,3502,535,3445,532,3119,489,0,56,3119,489,2945,482,174,88,326,124,57,77,0,56,0,56,0,56,57,77,2949,427,2735,389,2304,360,0,56,2304,360,2190,353,114,108,431,147,214,164,0,56,0,56,0,56,214,164
BK79,Ocean Hill,365,148,234,112,199,109,119,91,0,38,119,91,84,83,35,53,80,70,35,41,0,38,0,38,0,38,35,41,131,67,97,64,35,49,0,38,35,49,27,49,8,38,62,56,34,38,0,38,0,38,0,38,34,38
BK81,Brownsville,283,127,169,98,159,95,88,63,0,51,88,63,86,66,2,48,71,80,10,54,0,51,0,51,0,51,10,54,114,71,83,63,49,61,0,51,49,61,34,58,15,54,34,52,31,59,0,51,0,51,0,51,31,59
