area_id,area_name,b19025f001,b19025f001_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2787100,2060082
BK19,Brighton Beach,5758500,4690665
BK21,Seagate-Coney Island,28984200,10002403
BK25,Homecrest,5299000,3000909
BK26,Gravesend,26921500,24865391
BK27,Bath Beach,9961400,5518581
BK28,Bensonhurst West,33255200,11077464
BK29,Bensonhurst East,21585800,9520555
BK30,Dyker Heights,10750900,6759230
BK31,Bay Ridge,70847300,15997095
BK32,Sunset Park West,232697700,27521676
BK33,Carroll Gardens-Columbia Street-Red Hook,103906000,29489417
BK34,Sunset Park East,115143400,17892215
BK35,Stuyvesant Heights,53933400,13286619
BK37,Park Slope-Gowanus,121399900,29404160
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,47548300,13897322
BK40,Windsor Terrace,25008400,10012541
BK41,Kensington-Ocean Parkway,61580000,19444014
BK42,Flatbush,149474400,24787223
BK43,Midwood,18952900,8167761
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,9256200,6980628
BK46,Ocean Parkway South,4815200,4570716
BK50,Canarsie,49111900,18064459
BK58,Flatlands,19498900,9202117
BK60,Prospect Lefferts Gardens-Wingate,40717500,12586318
BK61,Crown Heights North,55217000,13286528
BK63,Crown Heights South,20031200,8785315
BK64,Prospect Heights,17058400,8917768
BK68,Fort Greene,34597400,13315267
BK69,Clinton Hill,38679800,13076937
BK72,Williamsburg,12901200,7890730
BK73,North Side-South Side,42169200,13408469
BK75,Bedford,67023800,14580031
BK76,Greenpoint,27158000,10134341
BK77,Bushwick North,309908100,29491872
BK78,Bushwick South,223405400,30218279
BK79,Ocean Hill,53064100,15333462
BK81,Brownsville,33793400,8809536
BK82,East New York,91070600,17173923
BK83,Cypress Hills-City Line,85906100,14008388
BK85,East New York (Pennsylvania Ave),34925300,10129292
BK88,Borough Park,63769100,14957608
BK90,East Williamsburg,57797700,14623161
BK91,East Flatbush-Farragut,1995900,2174942
BK93,Starrett City,14246300,9480822
BK95,Erasmus,11904600,5935516
BK96,Rugby-Remsen Village,3820700,2858383
BX01,Claremont-Bathgate,111863400,15334832
BX03,Eastchester-Edenwald-Baychester,65925300,16214497
BX05,Bedford Park-Fordham North,356581200,37401403
BX06,Belmont,102833600,16699884
BX07,Bronxdale,161810700,23969752
BX08,West Farms-Bronx River,184145800,26448698
BX09,Soundview-Castle Hill-Clason Point-Harding Park,350641600,35890610
BX10,Pelham Bay-Country Club-City Island,116996300,29197028
BX13,Co-op City,117024000,33729690
BX14,East Concourse-Concourse Village,276252000,30345568
BX17,East Tremont,175768500,21684055
BX22,North Riverdale-Fieldston-Riverdale,31783200,9618595
BX26,Highbridge,155726100,16739481
BX27,Hunts Point,99738900,12133336
BX28,Van Cortlandt Village,328820400,35123838
BX29,Spuyten Duyvil-Kingsbridge,129312500,26037712
BX30,Kingsbridge Heights,198664100,23805403
BX31,Allerton-Pelham Gardens,115404000,25505864
BX33,Longwood,124972000,16989521
BX34,Melrose South-Mott Haven North,137160400,17883096
BX35,Morrisania-Melrose,158932200,19834633
BX36,University Heights-Morris Heights,266988700,25056268
BX37,Van Nest-Morris Park-Westchester Square,180874500,24908281
BX39,Mott Haven-Port Morris,150471900,18151171
BX40,Fordham South,113991900,18555682
BX41,Mount Hope,280347000,47441654
BX43,Norwood,222555800,38140120
BX44,Williamsbridge-Olinville,95061500,14703983
BX46,Parkchester,137869700,23137084
BX49,Pelham Parkway,150745200,24481874
BX52,Schuylerville-Throgs Neck-Edgewater Park,229122100,38779999
BX55,Soundview-Bruckner,164240000,25510750
BX59,Westchester-Unionport,200934800,25322666
BX62,Woodlawn-Wakefield,63213000,16328455
BX63,West Concourse,199497200,25052403
BX75,Crotona Park East,109147900,12668420
BX99,park-cemetery-etc-Bronx,10952400,6767511
MN01,Marble Hill-Inwood,259764800,29346642
MN03,Central Harlem North-Polo Grounds,86212600,18453271
MN04,Hamilton Heights,95504100,18917666
MN06,Manhattanville,65307300,13247565
MN09,Morningside Heights,50925600,12622755
MN11,Central Harlem South,101680800,55296174
MN12,Upper West Side,119561500,47975482
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,54822300,24385885
MN14,Lincoln Square,3317000,3090665
MN15,Clinton,50555600,17600054
MN17,Midtown-Midtown South,1673100,801979
MN20,Murray Hill-Kips Bay,80295400,38475679
MN21,Gramercy,56652800,65774984
MN22,East Village,27595900,11167852
MN23,West Village,16305800,9059087
MN24,SoHo-TriBeCa-Civic Center-Little Italy,3443700,2206809
MN25,Battery Park City-Lower Manhattan,77662200,74039241
MN27,Chinatown,32907400,9058994
MN28,Lower East Side,150866300,18977708
MN31,Lenox Hill-Roosevelt Island,9732000,8591568
MN32,Yorkville,109142600,80934231
MN33,East Harlem South,143998300,27609136
MN34,East Harlem North,194423700,31263869
MN35,Washington Heights North,355887700,37030427
MN36,Washington Heights South,488031300,49201488
MN50,Stuyvesant Town-Cooper Village,4561700,5073206
QN01,South Jamaica,85416000,20212754
QN02,Springfield Gardens North,5491000,4624530
QN05,Rosedale,7346200,9258024
QN06,Jamaica Estates-Holliswood,37934300,11921515
QN07,Hollis,31358600,9649191
QN08,St. Albans,15604500,6805483
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,9918500,6568372
QN12,Hammels-Arverne-Edgemere,40360100,12764549
QN15,Far Rockaway-Bayswater,39159000,13733398
QN17,Forest Hills,101252100,29070617
QN18,Rego Park,24840100,9183163
QN19,Glendale,13246900,5552839
QN20,Ridgewood,92861400,18146364
QN21,Middle Village,11599400,6914948
QN22,Flushing,83921400,33255541
QN23,College Point,103194700,24459145
QN25,Corona,160349100,30347334
QN26,North Corona,231635900,31009165
QN27,East Elmhurst,166177600,25953565
QN28,Jackson Heights,394511600,46978060
QN29,Elmhurst,102736800,20224885
QN30,Maspeth,32641200,9311716
QN31,Hunters Point-Sunnyside-West Maspeth,82191800,16692227
QN34,Queens Village,99425300,20139062
QN35,Briarwood-Jamaica Hills,159808800,29752005
QN37,Kew Gardens Hills,54781800,18852078
QN38,Pomonok-Flushing Heights-Hillcrest,57371100,15069425
QN41,Fresh Meadows-Utopia,25017500,13825051
QN42,Oakland Gardens,7627600,7602058
QN43,Bellerose,30487200,13723446
QN44,Glen Oaks-Floral Park-New Hyde Park,5581300,4141675
QN45,Douglas Manor-Douglaston-Little Neck,9012200,6066105
QN46,Bayside-Bayside Hills,28130800,10234455
QN48,Auburndale,14182300,8957365
QN49,Whitestone,21905100,11285497
QN50,Elmhurst-Maspeth,34268900,13238794
QN51,Murray Hill,59011100,18544909
QN52,East Flushing,20040600,6505146
QN53,Woodhaven,293001100,31364425
QN54,Richmond Hill,305368000,32044132
QN55,South Ozone Park,446270200,64966857
QN56,Ozone Park,91385200,25545133
QN57,Lindenwood-Howard Beach,37170300,17058455
QN60,Kew Gardens,63219600,18287556
QN61,Jamaica,215892500,24729595
QN62,Queensboro Hill,26246800,8687955
QN63,Woodside,80900600,26000113
QN68,Queensbridge-Ravenswood-Long Island City,50966000,14242370
QN70,Astoria,100926000,25522775
QN71,Old Astoria,38662100,11177155
QN72,Steinway,82529200,20183904
QN76,Baisley Park,60662500,14799995
SI05,New Springville-Bloomfield-Travis,4578600,3637500
SI07,Westerleigh,1168400,1178789
SI08,Grymes Hill-Clifton-Fox Hills,19872500,9574636
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,67592300,22284719
SI14,Grasmere-Arrochar-Ft. Wadsworth,7710400,6064226
