area_id,area_name,b17006001,b17006001_moe,b17006002,b17006002_moe,b17006003,b17006003_moe,b17006004,b17006004_moe,b17006005,b17006005_moe,b17006006,b17006006_moe,b17006007,b17006007_moe,b17006008,b17006008_moe,b17006009,b17006009_moe,b17006010,b17006010_moe,b17006011,b17006011_moe,b17006012,b17006012_moe,b17006013,b17006013_moe,b17006014,b17006014_moe,b17006015,b17006015_moe,b17006016,b17006016_moe,b17006017,b17006017_moe,b17006018,b17006018_moe,b17006019,b17006019_moe,b17006020,b17006020_moe,b17006021,b17006021_moe,b17006022,b17006022_moe,b17006023,b17006023_moe,b17006024,b17006024_moe,b17006025,b17006025_moe,b17006026,b17006026_moe,b17006027,b17006027_moe,b17006028,b17006028_moe,b17006029,b17006029_moe
BK09,Brooklyn Heights-Cobble Hill,2971,420,113,82,67,76,21,41,0,29,46,68,46,42,6,29,6,29,0,29,0,29,40,43,40,43,0,29,0,29,2858,417,2607,404,1393,248,77,55,1137,330,251,121,144,91,53,46,0,29,91,64,107,82,23,47,0,29,84,72
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,11195,843,2270,550,477,200,155,117,0,55,322,161,1793,526,583,353,184,179,49,76,350,230,1210,418,394,226,15,57,801,298,8925,755,7204,708,2002,352,575,180,4627,541,1721,416,414,176,101,96,0,55,313,157,1307,393,303,185,91,91,913,285
BK19,Brighton Beach,5116,634,1456,385,1027,338,260,141,172,103,595,221,429,209,170,133,14,43,0,38,156,122,259,166,25,53,8,39,226,148,3660,578,3107,558,1062,309,162,90,1883,375,553,193,231,154,64,60,11,39,156,133,322,144,49,62,13,41,260,125
BK21,Seagate-Coney Island,6423,761,2394,540,765,325,106,88,55,57,604,274,1629,465,40,57,28,57,0,38,12,39,1589,462,521,224,101,86,967,311,4029,610,2235,500,493,186,183,102,1559,379,1794,409,83,70,6,38,0,38,77,70,1711,407,195,108,121,86,1395,368
BK23,West Brighton,1287,245,50,48,22,42,22,42,0,27,0,27,28,35,0,27,0,27,0,27,0,27,28,35,0,27,0,27,28,35,1237,244,875,229,249,140,64,69,562,187,362,158,23,35,17,30,0,27,6,26,339,157,83,86,6,26,250,125
BK25,Homecrest,10053,903,1844,493,1304,405,268,146,66,60,970,306,540,285,51,60,13,50,12,49,26,50,489,282,92,82,24,61,373,240,8209,826,7304,781,1981,332,435,139,4888,583,905,308,226,141,56,75,0,48,170,130,679,274,188,113,0,48,491,219
BK26,Gravesend,5138,697,1510,485,765,272,308,167,24,50,433,168,745,417,0,36,0,36,0,36,0,36,745,417,79,98,122,112,544,297,3628,559,2988,526,824,226,151,82,2013,425,640,228,53,55,15,40,4,36,34,45,587,225,193,116,34,43,360,186
BK27,Bath Beach,5682,628,1153,346,866,315,241,119,43,61,582,239,287,148,4,39,0,40,0,40,4,39,283,148,48,62,0,40,235,139,4529,580,4023,563,1414,291,236,102,2373,407,506,176,122,92,72,68,0,40,50,45,384,154,32,43,8,40,344,141
BK28,Bensonhurst West,18069,1055,4818,728,3813,674,887,221,195,103,2731,526,1005,305,355,211,65,87,10,65,280,183,650,233,255,141,37,73,358,171,13251,903,11254,849,3355,425,709,180,7190,658,1997,394,625,214,270,133,34,73,321,147,1372,353,242,122,180,110,950,288
BK29,Bensonhurst East,11520,805,2428,489,1852,437,532,207,150,83,1170,314,576,227,102,79,14,51,8,51,80,67,474,217,151,103,7,51,316,181,9092,724,7830,694,2400,372,529,182,4901,533,1262,300,397,186,93,76,40,61,264,154,865,236,128,93,49,74,688,193
BK30,Dyker Heights,9218,780,1656,384,1196,330,454,200,92,72,650,218,460,189,84,116,23,62,22,60,39,62,376,155,115,101,0,51,261,111,7562,757,6486,731,1753,287,350,124,4383,593,1076,302,194,153,103,110,0,51,91,76,882,264,222,121,64,77,596,192
BK31,Bay Ridge,16979,1084,3645,698,2723,610,685,217,72,85,1966,477,922,351,134,121,46,77,12,68,76,90,788,334,314,211,101,108,373,187,13334,976,10887,897,3720,443,642,175,6525,692,2447,517,571,270,280,141,55,93,236,124,1876,453,191,105,84,103,1601,392
BK32,Sunset Park West,12711,904,4618,696,2375,527,877,262,118,74,1380,351,2243,539,537,302,304,210,0,49,233,138,1706,445,506,187,175,123,1025,323,8093,756,5576,695,1907,373,430,157,3239,478,2517,473,896,292,412,164,57,59,427,192,1621,382,332,139,63,67,1226,321
BK33,Carroll Gardens-Columbia Street-Red Hook,7662,664,1513,453,160,145,27,48,14,49,119,135,1353,411,383,274,49,88,8,45,326,241,970,376,194,114,25,58,751,322,6149,600,4223,478,1705,280,432,135,2086,349,1926,439,187,102,39,54,27,51,121,85,1739,428,357,155,58,71,1324,381
BK34,Sunset Park East,17059,1074,6903,819,4495,725,1429,332,391,132,2675,493,2408,470,572,232,266,156,18,62,288,142,1836,414,588,221,162,103,1086,277,10156,881,7676,834,2378,428,418,136,4880,595,2480,427,741,244,273,133,45,68,423,180,1739,365,406,143,97,67,1236,303
BK35,Stuyvesant Heights,15902,1145,6248,935,955,389,330,163,66,74,559,248,5293,864,287,176,91,89,35,62,161,100,5006,856,1406,340,209,101,3391,658,9654,938,3663,588,1290,280,200,103,2173,423,5991,794,710,242,170,103,0,51,540,210,5281,785,1518,346,287,134,3476,560
BK37,Park Slope-Gowanus,12864,914,888,365,398,235,113,89,32,61,253,161,490,284,67,76,0,58,0,58,67,76,423,279,10,58,0,58,413,279,11976,871,9702,812,3986,496,568,176,5148,567,2274,415,663,257,265,162,19,57,379,174,1611,334,524,176,106,80,981,247
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6242,593,1747,443,110,108,38,54,23,51,49,55,1637,443,62,63,0,42,0,42,62,63,1575,440,485,185,70,75,1020,352,4495,516,3009,412,1231,229,203,93,1575,314,1486,365,116,79,32,49,10,44,74,61,1370,355,273,114,53,49,1044,310
BK40,Windsor Terrace,4174,546,732,362,407,280,199,178,42,73,166,117,325,250,117,150,10,33,0,32,107,150,208,200,121,177,0,32,87,92,3442,406,2741,371,1086,217,127,56,1528,284,701,229,150,84,101,66,14,37,35,34,551,223,172,103,57,56,322,150
BK41,Kensington-Ocean Parkway,9572,885,3478,747,2944,669,937,261,139,76,1868,472,534,325,52,57,33,51,0,40,19,47,482,323,65,79,39,72,378,293,6094,803,5119,764,1616,401,348,121,3155,527,975,351,300,178,114,75,0,40,186,131,675,303,136,94,36,59,503,234
BK42,Flatbush,25272,1422,8045,1043,4093,784,1137,305,283,129,2673,574,3952,720,516,237,223,145,21,69,272,161,3436,684,837,269,185,110,2414,552,17227,1229,10206,1069,3067,436,605,181,6534,807,7021,797,1341,352,560,195,43,77,738,232,5680,731,1576,344,260,144,3844,576
BK43,Midwood,13196,1026,3351,732,2565,667,864,272,118,79,1583,450,786,287,81,115,0,51,0,51,81,115,705,270,144,88,65,79,496,212,9845,905,9074,879,2593,367,351,102,6130,656,771,269,246,206,77,97,19,58,150,132,525,179,113,90,29,55,383,140
BK44,Madison,8289,716,919,287,675,236,219,124,12,47,444,158,244,177,131,155,83,138,0,46,48,88,113,103,38,65,12,49,63,67,7370,701,6570,705,1958,345,512,141,4100,538,800,209,168,101,14,50,18,49,136,91,632,186,95,75,0,46,537,173
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,12180,844,1316,419,909,366,202,124,33,56,674,293,407,217,186,175,98,117,53,72,35,61,221,140,25,59,40,62,156,123,10864,803,8831,812,2840,436,625,142,5366,583,2033,446,454,224,118,89,29,64,307,178,1579,394,329,154,79,76,1171,329
BK46,Ocean Parkway South,5525,682,771,343,713,341,349,167,59,57,305,197,58,58,20,41,16,42,0,36,4,35,38,55,0,36,18,42,20,40,4754,650,4400,639,1228,245,246,96,2926,482,354,146,107,97,11,39,0,36,96,96,247,113,48,50,2,35,197,97
BK50,Canarsie,20970,1107,3659,598,772,308,213,136,30,72,529,242,2887,512,229,154,46,83,0,70,183,135,2658,495,695,189,169,105,1794,378,17311,1021,10235,911,2536,399,578,167,7121,703,7076,713,1184,340,316,178,29,76,839,251,5892,634,1169,238,377,130,4346,535
BK58,Flatlands,16551,935,2976,610,1068,359,230,119,78,85,760,267,1908,502,117,99,82,85,13,64,22,70,1791,496,440,221,23,60,1328,388,13575,815,8400,757,2138,308,476,136,5786,602,5175,528,950,284,393,162,11,64,546,214,4225,474,948,233,180,93,3097,387
BK60,Prospect Lefferts Gardens-Wingate,14999,1113,4351,789,921,472,226,169,50,77,645,375,3430,706,264,228,87,129,21,65,156,151,3166,672,961,273,284,136,1921,495,10648,1050,5645,828,2254,447,383,153,3008,522,5003,743,697,254,239,172,33,65,425,170,4306,698,947,270,218,114,3141,548
BK61,Crown Heights North,22235,1253,8639,969,1653,498,520,180,72,90,1061,364,6986,862,549,243,301,161,21,73,227,143,6437,846,1834,357,334,147,4269,632,13596,1056,5304,741,1733,347,160,103,3411,578,8292,853,1200,378,396,176,24,75,780,322,7092,806,1636,325,192,128,5264,646
BK63,Crown Heights South,11057,971,3059,662,1543,528,595,231,96,69,852,361,1516,430,305,215,65,76,72,75,168,133,1211,382,307,141,76,83,828,263,7998,855,5600,792,1435,284,320,122,3845,626,2398,433,394,207,161,115,0,40,233,135,2004,385,347,139,122,89,1535,333
BK64,Prospect Heights,2927,382,443,210,51,55,38,41,0,32,13,34,392,206,69,85,8,33,0,32,61,81,323,186,115,101,27,44,181,110,2484,372,1695,321,848,180,92,55,755,245,789,248,301,198,69,73,45,74,187,142,488,175,118,75,21,30,349,155
BK68,Fort Greene,4631,506,1825,406,319,170,47,46,9,40,263,155,1506,384,118,170,40,58,26,55,52,90,1388,360,408,169,48,66,932,279,2806,374,1305,260,710,188,117,84,478,167,1501,284,209,191,17,45,75,97,117,103,1292,263,410,161,55,62,827,208
BK69,Clinton Hill,5852,626,1765,414,819,266,328,112,50,48,441,209,946,329,210,233,82,77,0,40,128,181,736,262,241,153,79,71,416,181,4087,543,2614,480,1083,229,248,115,1283,335,1473,311,111,69,31,40,0,40,80,63,1362,307,425,181,49,60,888,225
BK72,Williamsburg,15634,1183,9543,1150,8689,1108,3869,544,503,130,4317,709,854,362,87,100,54,86,6,35,27,52,767,349,178,104,11,34,578,276,6091,800,5249,760,1857,410,393,119,2999,533,842,316,544,278,152,126,16,42,376,218,298,161,53,76,24,48,221,115
BK73,North Side-South Side,8946,876,4118,613,2508,490,1006,240,136,81,1366,351,1610,458,478,299,122,111,19,55,337,224,1132,369,187,119,72,125,873,282,4828,723,3360,668,1086,237,186,92,2088,500,1468,353,405,268,193,161,26,56,186,127,1063,237,345,140,38,52,680,184
BK75,Bedford,21281,1129,10069,983,5752,745,2358,341,382,103,3012,486,4317,723,353,235,131,100,4,56,218,203,3964,693,1212,272,154,91,2598,479,11212,995,6168,830,2357,400,358,124,3453,520,5044,645,530,237,102,88,10,57,418,196,4514,618,1026,246,173,97,3315,485
BK76,Greenpoint,3253,487,377,203,233,176,28,60,82,91,123,102,144,97,56,62,12,45,0,42,44,60,88,84,56,63,0,42,32,55,2876,458,2383,440,771,201,166,86,1446,332,493,167,76,57,24,44,0,42,52,52,417,161,35,48,0,42,382,160
BK77,Bushwick North,15235,1023,6863,869,1789,465,610,215,124,84,1055,339,5074,748,1019,370,454,188,50,66,515,220,4055,697,1172,308,242,119,2641,517,8372,834,4442,732,1439,328,273,119,2730,503,3930,553,1445,378,559,235,124,104,762,233,2485,438,642,185,116,90,1727,338
BK78,Bushwick South,17378,1094,7145,881,1285,381,370,156,73,75,842,294,5860,828,514,256,107,95,42,84,365,213,5346,792,1349,300,425,170,3572,594,10233,963,5766,803,1419,333,345,129,4002,655,4467,662,637,226,229,151,31,73,377,155,3830,632,882,241,205,95,2743,498
BK79,Ocean Hill,9188,783,3607,593,513,266,187,136,11,39,315,188,3094,533,535,276,155,96,33,52,347,245,2559,476,822,238,89,66,1648,311,5581,660,2368,443,770,216,105,70,1493,301,3213,538,354,143,144,89,0,38,210,107,2859,529,546,180,168,95,2145,425
BK81,Brownsville,16197,1081,8181,1022,1085,482,516,257,106,117,463,236,7096,922,269,161,142,110,21,52,106,75,6827,912,2264,490,456,157,4107,609,8016,755,2622,523,706,216,146,98,1770,402,5394,608,662,233,181,124,59,74,422,166,4732,578,930,234,20,54,3782,484
BK82,East New York,26848,1386,12224,1194,2698,710,732,325,331,174,1635,420,9526,1050,805,329,298,147,105,100,402,170,8721,1011,2644,463,329,135,5748,713,14624,1052,6778,783,1813,356,287,109,4678,602,7846,800,967,291,282,144,41,78,644,223,6879,759,1626,319,324,133,4929,595
BK83,Cypress Hills-City Line,13321,924,5298,785,1637,442,504,216,46,64,1087,334,3661,677,244,150,11,51,0,49,233,147,3417,665,1089,283,238,106,2090,491,8023,710,5057,650,1414,300,339,126,3304,474,2966,468,689,250,213,124,25,52,451,193,2277,407,730,204,87,64,1460,297
BK85,East New York (Pennsylvania Ave),9381,720,4980,677,416,237,167,130,20,47,229,137,4564,651,192,129,9,38,0,36,183,120,4372,635,1256,294,265,105,2851,463,4401,562,2009,397,636,199,125,83,1248,293,2392,456,217,153,11,39,0,36,206,152,2175,444,391,161,121,72,1663,354
BK88,Borough Park,40049,1978,18484,1626,16412,1549,6103,644,970,196,9339,1046,2072,572,495,246,178,121,18,69,299,167,1577,517,358,202,63,85,1156,387,21565,1550,19865,1546,6366,645,957,186,12542,1117,1700,407,362,201,193,141,22,74,147,119,1338,358,464,196,144,103,730,225
BK90,East Williamsburg,4183,482,1475,329,549,195,175,107,20,43,354,150,926,308,0,40,0,40,0,40,0,40,926,308,246,140,3,39,677,240,2708,446,1575,329,688,204,75,70,812,235,1133,339,152,80,49,55,0,40,103,70,981,333,179,119,113,91,689,272
BK91,East Flatbush-Farragut,11302,816,1844,457,118,106,25,59,0,54,93,89,1726,448,170,126,27,62,10,55,133,106,1556,443,375,178,96,75,1085,314,9458,759,4676,632,1383,331,301,126,2992,436,4782,566,660,223,93,86,63,98,504,197,4122,553,1164,242,271,106,2687,418
BK93,Starrett City,2655,438,720,297,40,39,0,24,0,24,40,39,680,297,11,27,0,24,0,24,11,27,669,299,114,87,45,48,510,269,1935,424,491,271,55,64,34,42,402,263,1444,440,20,30,0,24,0,24,20,30,1424,437,457,243,68,101,899,350
BK95,Erasmus,7257,771,1728,419,441,198,185,124,44,47,212,123,1287,371,50,48,6,38,5,38,39,37,1237,365,402,208,57,53,778,226,5529,735,2787,664,692,229,155,105,1940,530,2742,432,349,167,145,107,0,36,204,99,2393,424,638,191,104,73,1651,318
BK96,Rugby-Remsen Village,12404,947,2387,507,590,324,246,176,28,59,316,206,1797,403,109,116,36,74,0,54,73,105,1688,387,549,193,83,78,1056,296,10017,819,4822,630,1520,310,214,87,3088,448,5195,638,777,237,274,132,46,65,457,160,4418,597,1180,280,257,122,2981,482
BK99,park-cemetery-etc-Brooklyn,128,145,116,145,0,40,0,40,0,40,0,40,116,145,79,133,28,60,0,40,51,89,37,70,0,40,0,40,37,70,12,40,0,40,0,40,0,40,0,40,12,40,0,40,0,40,0,40,0,40,12,40,0,40,0,40,12,40
BX01,Claremont-Bathgate,9522,850,5715,818,837,449,189,114,71,58,577,348,4878,745,197,158,73,101,34,56,90,87,4681,740,1102,266,378,172,3201,598,3807,554,1648,444,498,223,49,56,1101,325,2159,408,179,111,130,95,0,40,49,54,1980,397,505,169,98,67,1377,322
BX03,Eastchester-Edenwald-Baychester,9989,964,2790,638,558,370,50,67,80,84,428,295,2232,525,107,128,40,70,0,40,67,114,2125,520,508,214,91,99,1526,388,7199,854,3740,710,1041,365,138,80,2561,508,3459,625,595,259,83,87,0,40,512,224,2864,588,516,217,101,80,2247,465
BX05,Bedford Park-Fordham North,14719,1087,6588,1006,1166,407,409,205,10,49,747,305,5422,942,380,242,221,174,20,57,139,117,5042,917,1107,326,393,152,3542,690,8131,816,3836,661,1146,270,244,116,2446,549,4295,646,446,207,231,136,0,50,215,128,3849,621,1094,296,133,80,2622,475
BX06,Belmont,7040,803,4222,768,558,305,189,117,65,64,304,171,3664,704,374,213,137,106,43,61,194,112,3290,664,977,315,133,90,2180,449,2818,512,1155,372,318,152,127,80,710,258,1663,402,292,141,168,124,5,31,119,80,1371,373,304,144,0,34,1067,302
BX07,Bronxdale,7710,689,2700,494,632,273,260,148,70,72,302,180,2068,482,214,158,24,45,51,56,139,125,1854,454,616,222,64,55,1174,308,5010,612,2297,438,505,179,94,79,1698,347,2713,525,309,173,66,63,0,38,243,139,2404,493,632,217,106,78,1666,370
BX08,West Farms-Bronx River,9686,943,4384,814,604,268,170,117,58,61,376,183,3780,812,396,295,101,136,8,39,287,205,3384,749,1050,352,130,85,2204,544,5302,726,2244,511,824,253,65,60,1355,348,3058,559,649,256,272,140,42,59,335,172,2409,517,772,307,44,51,1593,382
BX09,Soundview-Castle Hill-Clason Point-Harding Park,13266,1029,4388,722,411,233,200,131,0,50,211,131,3977,712,170,145,65,71,10,50,95,97,3807,702,885,246,158,103,2764,558,8878,861,3282,605,833,263,93,81,2356,442,5596,742,1128,414,274,178,70,71,784,278,4468,665,973,272,297,156,3198,519
BX10,Pelham Bay-Country Club-City Island,4287,599,452,287,87,171,1,45,0,34,86,143,365,226,9,35,0,34,0,34,9,35,356,226,68,80,85,83,203,139,3835,577,2710,520,789,296,187,138,1734,400,1125,314,475,225,55,74,16,44,404,199,650,227,194,122,19,41,437,197
BX13,Co-op City,7766,856,1475,529,277,241,97,87,0,33,180,160,1198,463,153,171,50,85,0,33,103,104,1045,426,214,145,20,47,811,351,6291,789,3130,621,872,275,314,134,1944,473,3161,581,510,276,106,83,45,75,359,189,2651,527,363,177,183,122,2105,440
BX14,East Concourse-Concourse Village,16824,1171,7771,1031,1732,610,574,286,95,97,1063,451,6039,903,698,295,294,165,23,55,381,216,5341,893,1479,376,380,158,3482,662,9053,992,4485,734,1063,255,83,76,3339,597,4568,763,1166,527,408,231,79,91,679,355,3402,552,775,210,86,74,2541,457
BX17,East Tremont,12699,910,7171,881,715,279,203,127,64,65,448,216,6456,857,314,146,109,78,47,64,158,97,6142,853,1711,413,270,132,4161,611,5528,721,2072,522,582,194,142,84,1348,384,3456,564,614,283,193,113,85,91,336,179,2842,505,585,189,135,93,2122,391
BX22,North Riverdale-Fieldston-Riverdale,4761,596,255,210,6,37,0,38,0,38,6,37,249,210,0,38,0,38,0,38,0,38,249,210,64,79,0,38,185,174,4506,570,3442,450,1419,341,206,104,1817,317,1064,399,233,199,0,38,0,38,233,199,831,328,125,103,55,58,651,247
BX26,Highbridge,11070,856,5423,756,1084,382,286,136,32,44,766,307,4339,707,168,122,11,42,1,39,156,117,4171,699,1005,320,377,138,2789,508,5647,692,2657,603,773,239,172,103,1712,455,2990,491,523,204,251,114,17,46,255,143,2467,451,518,170,140,95,1809,354
BX27,Hunts Point,8405,671,4477,621,659,277,237,146,18,38,404,175,3818,591,202,143,21,40,33,50,148,131,3616,586,1126,267,83,64,2407,464,3928,533,1255,303,375,126,39,52,841,243,2673,498,563,326,196,147,79,68,288,210,2110,427,350,112,78,65,1682,374
BX28,Van Cortlandt Village,11779,888,4583,726,812,349,227,131,22,53,563,259,3771,665,412,264,95,99,38,57,279,180,3359,625,972,300,127,83,2260,444,7196,745,3676,599,1261,319,127,73,2288,438,3520,582,543,260,140,87,73,79,330,186,2977,528,636,206,54,64,2287,459
BX29,Spuyten Duyvil-Kingsbridge,5510,525,867,326,287,198,133,106,0,38,154,107,580,276,0,38,0,38,0,38,0,38,580,276,213,108,29,58,338,186,4643,462,3468,440,1390,301,204,96,1874,358,1175,306,300,215,54,64,44,68,202,152,875,238,292,143,10,40,573,173
BX30,Kingsbridge Heights,6993,680,3031,584,817,309,178,133,62,60,577,220,2214,492,244,164,73,80,14,41,157,126,1970,474,447,216,177,103,1346,369,3962,615,1754,486,432,164,139,85,1183,356,2208,463,406,198,131,98,55,70,220,119,1802,440,529,194,67,56,1206,346
BX31,Allerton-Pelham Gardens,7664,729,1470,449,568,316,134,114,41,59,393,214,902,323,15,48,0,42,0,42,15,48,887,321,122,76,25,48,740,293,6194,663,4487,612,1126,254,222,99,3139,485,1707,393,447,247,118,96,10,43,319,221,1260,319,249,150,107,69,904,230
BX33,Longwood,8062,761,3846,673,330,216,139,146,24,52,167,103,3516,642,87,90,68,82,8,34,11,48,3429,639,1048,264,68,61,2313,509,4216,572,1461,388,382,187,98,81,981,263,2755,463,622,279,199,170,61,63,362,175,2133,398,404,138,69,72,1660,336
BX34,Melrose South-Mott Haven North,12212,998,7089,991,594,309,173,121,43,55,378,210,6495,1017,410,267,74,79,70,74,266,178,6085,967,1681,384,361,145,4043,673,5123,702,1989,480,490,175,166,109,1333,363,3134,552,405,200,116,97,8,40,281,158,2729,511,834,252,235,159,1660,378
BX35,Morrisania-Melrose,11158,800,5063,682,949,382,261,122,68,60,620,320,4114,652,249,157,57,65,25,54,167,118,3865,636,947,246,250,113,2668,505,6095,677,2227,455,629,183,152,74,1446,333,3868,584,421,225,112,108,1,41,308,196,3447,559,977,250,100,83,2370,381
BX36,University Heights-Morris Heights,14540,965,7326,886,1573,456,572,249,83,73,918,306,5753,832,514,274,188,120,27,56,299,218,5239,793,1402,337,223,101,3614,585,7214,772,2934,520,716,219,156,100,2062,402,4280,645,785,290,263,158,39,67,483,197,3495,567,865,245,129,86,2501,446
BX37,Van Nest-Morris Park-Westchester Square,7593,687,2424,570,765,313,235,169,21,46,509,195,1659,477,129,93,41,54,12,44,76,77,1530,470,370,167,95,75,1065,333,5169,605,3009,509,1043,251,169,83,1797,391,2160,444,579,289,239,128,13,45,327,216,1581,357,427,173,94,80,1060,289
