area_id,area_name,c21001d001,c21001d001_moe,c21001d002,c21001d002_moe,c21001d003,c21001d003_moe,c21001d004,c21001d004_moe,c21001d005,c21001d005_moe,c21001d006,c21001d006_moe,c21001d007,c21001d007_moe,c21001d008,c21001d008_moe,c21001d009,c21001d009_moe,c21001d010,c21001d010_moe,c21001d011,c21001d011_moe,c21001d012,c21001d012_moe,c21001d013,c21001d013_moe,c21001d014,c21001d014_moe,c21001d015,c21001d015_moe
BK09,Brooklyn Heights-Cobble Hill,1606,364,559,171,551,170,0,29,551,170,8,29,0,29,8,29,1047,253,941,237,0,29,941,237,106,85,0,29,106,85
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,7727,840,3593,423,3048,371,27,60,3021,369,545,155,30,59,515,154,4134,492,3565,455,0,55,3565,455,569,150,0,55,569,150
BK19,Brighton Beach,3149,547,1655,308,1484,289,0,38,1484,289,171,74,18,44,153,70,1494,300,1327,276,0,38,1327,276,167,81,0,38,167,81
BK21,Seagate-Coney Island,2454,487,1433,366,1170,365,10,37,1160,363,263,99,0,38,263,99,1021,200,843,188,0,38,843,188,178,89,0,38,178,89
BK23,West Brighton,97,87,57,58,38,41,14,32,24,34,19,33,8,28,11,29,40,40,21,33,0,27,21,33,19,33,0,27,19,33
BK25,Homecrest,3354,590,1691,322,1468,306,8,48,1460,306,223,108,0,48,223,108,1663,296,1390,268,0,48,1390,268,273,102,0,48,273,102
BK26,Gravesend,5032,683,2451,364,2198,338,46,63,2152,333,253,112,0,36,253,112,2581,361,2365,334,5,36,2360,333,216,110,0,36,216,110
BK27,Bath Beach,6855,775,3235,405,3046,394,38,45,3008,394,189,74,9,40,180,72,3620,442,3320,408,0,40,3320,408,300,109,0,40,300,109
BK28,Bensonhurst West,24724,1431,12279,768,11035,744,73,80,10962,742,1244,212,14,62,1230,211,12445,803,11098,740,7,64,11091,740,1347,211,0,64,1347,211
BK29,Bensonhurst East,18300,1208,9002,631,7906,594,28,54,7878,594,1096,196,10,52,1086,195,9298,667,8191,639,0,51,8191,639,1107,186,0,51,1107,186
BK30,Dyker Heights,12448,1006,6008,537,5390,502,40,52,5350,501,618,158,34,57,584,155,6440,579,5803,553,8,51,5795,553,637,157,0,51,637,157
BK31,Bay Ridge,9546,897,4578,512,3996,480,143,113,3853,470,582,134,25,67,557,133,4968,486,4108,428,29,71,4079,426,860,193,13,67,847,192
BK32,Sunset Park West,6860,817,3151,464,2828,456,0,49,2828,456,323,108,13,49,310,107,3709,456,3175,431,3,49,3172,432,534,141,0,49,534,141
BK33,Carroll Gardens-Columbia Street-Red Hook,1982,511,836,301,749,293,0,45,749,293,87,64,0,45,87,64,1146,300,1085,296,0,45,1085,296,61,53,0,45,61,53
BK34,Sunset Park East,26822,1377,13486,779,12328,766,9,60,12319,766,1158,217,7,59,1151,217,13336,740,11996,698,0,59,11996,698,1340,223,0,59,1340,223
BK35,Stuyvesant Heights,1437,403,660,204,603,192,3,50,600,192,57,66,11,52,46,64,777,251,733,245,3,50,730,245,44,62,0,51,44,62
BK37,Park Slope-Gowanus,4305,596,1767,358,1664,352,42,78,1622,348,103,90,0,58,103,90,2538,369,2414,359,0,58,2414,359,124,95,0,58,124,95
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2641,395,1322,265,1223,255,0,42,1223,255,99,59,0,42,99,59,1319,218,1197,209,0,42,1197,209,122,59,0,42,122,59
BK40,Windsor Terrace,1871,440,899,282,744,270,10,32,734,269,155,76,6,31,149,76,972,258,789,226,0,32,789,226,183,87,0,32,183,87
BK41,Kensington-Ocean Parkway,6129,793,2931,438,2793,437,9,41,2784,436,138,72,0,40,138,72,3198,441,3017,417,0,40,3017,417,181,87,0,40,181,87
BK42,Flatbush,6312,752,2955,400,2686,384,23,73,2663,387,269,111,21,68,248,110,3357,430,3115,407,0,68,3115,407,242,112,0,68,242,112
BK43,Midwood,3739,573,1849,325,1673,323,0,51,1673,323,176,74,24,55,152,70,1890,298,1600,279,0,51,1600,279,290,108,0,51,290,108
BK44,Madison,6660,715,3419,425,2969,390,21,49,2948,387,450,108,0,46,450,108,3241,369,2738,320,0,46,2738,320,503,121,0,46,503,121
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1773,439,760,208,698,200,10,56,688,199,62,57,0,55,62,57,1013,258,863,227,0,55,863,227,150,83,0,55,150,83
BK46,Ocean Parkway South,655,255,311,136,293,130,0,36,293,130,18,39,0,36,18,39,344,148,290,126,0,36,290,126,54,53,0,36,54,53
BK50,Canarsie,1980,490,972,285,791,253,0,70,791,253,181,101,7,68,174,103,1008,251,824,223,14,72,810,220,184,100,0,70,184,100
BK58,Flatlands,1420,307,719,170,615,159,0,62,615,159,104,66,8,63,96,65,701,172,584,162,5,62,579,162,117,70,0,62,117,70
BK60,Prospect Lefferts Gardens-Wingate,1343,381,573,220,475,216,0,58,475,216,98,71,0,58,98,71,770,212,647,190,0,58,647,190,123,73,0,58,123,73
BK61,Crown Heights North,1780,406,817,235,729,226,13,71,716,224,88,80,0,67,88,80,963,229,896,226,0,67,896,226,67,78,0,67,67,78
BK63,Crown Heights South,466,302,212,185,201,182,0,40,201,182,11,43,0,40,11,43,254,136,230,127,0,40,230,127,24,44,0,40,24,44
BK64,Prospect Heights,1290,364,644,214,594,206,0,32,594,206,50,50,0,32,50,50,646,225,569,204,0,32,569,204,77,91,0,32,77,91
BK68,Fort Greene,2095,360,811,183,647,165,0,38,647,165,164,75,0,38,164,75,1284,251,1067,230,0,38,1067,230,217,100,0,38,217,100
BK69,Clinton Hill,1681,330,557,174,541,169,0,40,541,169,16,45,0,40,16,45,1124,242,1116,240,0,40,1116,240,8,40,0,40,8,40
BK72,Williamsburg,30,41,21,40,21,40,0,36,21,40,0,36,0,36,0,36,9,38,9,38,0,36,9,38,0,36,0,36,0,36
BK73,North Side-South Side,1926,333,675,176,656,175,22,52,634,173,19,49,0,48,19,49,1251,234,1184,229,0,48,1184,229,67,65,0,48,67,65
BK75,Bedford,1596,399,812,234,770,233,0,56,770,233,42,60,0,56,42,60,784,220,742,219,11,57,731,217,42,64,0,56,42,64
BK76,Greenpoint,1347,274,606,164,530,161,38,58,492,156,76,58,0,42,76,58,741,170,662,169,0,42,662,169,79,60,0,42,79,60
BK77,Bushwick North,3131,516,1627,331,1475,321,0,54,1475,321,152,75,0,54,152,75,1504,262,1288,248,14,56,1274,251,216,105,0,54,216,105
BK78,Bushwick South,1401,313,769,207,673,202,0,56,673,202,96,74,4,55,92,74,632,183,572,180,0,56,572,180,60,67,0,56,60,67
BK79,Ocean Hill,171,91,78,55,69,53,0,38,69,53,9,39,0,38,9,39,93,68,70,68,0,38,70,68,23,39,0,38,23,39
BK81,Brownsville,474,276,245,130,230,124,2,50,228,124,15,50,0,51,15,50,229,163,212,160,0,51,212,160,17,52,0,51,17,52
BK82,East New York,1109,309,642,228,583,203,0,65,583,203,59,82,0,65,59,82,467,141,452,139,0,65,452,139,15,68,0,65,15,68
BK83,Cypress Hills-City Line,2608,500,1246,250,1094,233,0,49,1094,233,152,66,11,51,141,64,1362,281,1160,239,11,49,1149,236,202,99,0,49,202,99
BK85,East New York (Pennsylvania Ave),165,99,75,63,57,51,0,36,57,51,18,38,0,36,18,38,90,58,81,56,0,36,81,56,9,37,0,36,9,37
BK88,Borough Park,9693,1011,4920,570,4320,541,30,70,4290,540,600,149,16,69,584,147,4773,518,4246,493,24,76,4222,488,527,142,0,68,527,142
BK90,East Williamsburg,3430,380,1456,213,1122,193,0,40,1122,193,334,137,0,40,334,137,1974,279,1724,281,0,40,1724,281,250,96,0,40,250,96
BK91,East Flatbush-Farragut,383,181,224,108,207,105,0,54,207,105,17,55,0,54,17,55,159,96,151,95,0,54,151,95,8,54,0,54,8,54
BK93,Starrett City,305,230,102,92,68,70,0,24,68,70,34,40,0,24,34,40,203,147,153,118,0,24,153,118,50,46,0,24,50,46
BK95,Erasmus,677,430,352,241,314,232,0,36,314,232,38,50,0,36,38,50,325,202,249,194,0,36,249,194,76,68,0,36,76,68
BK96,Rugby-Remsen Village,813,432,315,145,274,137,0,54,274,137,41,72,0,54,41,72,498,319,453,313,0,54,453,313,45,66,0,54,45,66
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,42,50,19,48,19,48,0,40,19,48,0,40,0,40,0,40,23,42,23,42,0,40,23,42,0,40,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,268,250,200,229,189,228,0,40,189,228,11,42,0,40,11,42,68,71,68,71,0,40,68,71,0,40,0,40,0,40
BX05,Bedford Park-Fordham North,2014,494,1103,299,983,269,0,50,983,269,120,88,0,50,120,88,911,259,806,247,0,50,806,247,105,78,0,50,105,78
BX06,Belmont,640,224,350,147,272,120,13,36,259,119,78,64,0,34,78,64,290,120,152,89,0,34,152,89,138,70,0,34,138,70
BX07,Bronxdale,1069,331,521,168,461,157,0,38,461,157,60,57,14,44,46,50,548,190,484,177,0,38,484,177,64,62,0,38,64,62
BX08,West Farms-Bronx River,800,343,409,172,409,172,0,40,409,172,0,40,0,40,0,40,391,205,368,209,0,40,368,209,23,47,0,40,23,47
BX09,Soundview-Castle Hill-Clason Point-Harding Park,703,344,354,185,274,154,13,52,261,149,80,86,0,50,80,86,349,209,332,196,0,50,332,196,17,55,0,50,17,55
BX10,Pelham Bay-Country Club-City Island,783,330,365,158,286,154,0,34,286,154,79,61,0,34,79,61,418,188,357,187,0,34,357,187,61,54,0,34,61,54
BX13,Co-op City,350,189,97,77,72,57,0,33,72,57,25,47,0,33,25,47,253,146,214,131,0,33,214,131,39,52,0,33,39,52
BX14,East Concourse-Concourse Village,459,199,227,109,197,103,0,51,197,103,30,56,15,55,15,50,232,110,214,108,0,51,214,108,18,53,0,51,18,53
BX17,East Tremont,335,284,227,213,227,213,0,45,227,213,0,45,0,45,0,45,108,94,85,87,0,45,85,87,23,51,0,45,23,51
BX22,North Riverdale-Fieldston-Riverdale,1458,317,597,185,423,166,0,38,423,166,174,87,8,38,166,87,861,196,718,181,0,38,718,181,143,64,0,38,143,64
BX26,Highbridge,143,139,77,88,43,57,0,42,43,57,34,56,0,42,34,56,66,70,66,70,0,42,66,70,0,42,0,42,0,42
BX27,Hunts Point,142,111,56,57,44,49,0,38,44,49,12,40,0,38,12,40,86,80,76,79,0,38,76,79,10,40,0,38,10,40
BX28,Van Cortlandt Village,1506,383,738,225,612,200,17,47,595,199,126,65,0,43,126,65,768,224,648,206,0,43,648,206,120,66,0,43,120,66
BX29,Spuyten Duyvil-Kingsbridge,1751,393,697,199,554,179,0,38,554,179,143,92,13,39,130,90,1054,255,874,207,0,38,874,207,180,92,0,38,180,92
