area_id,area_name,c15002i001,c15002i001_moe,c15002i002,c15002i002_moe,c15002i003,c15002i003_moe,c15002i004,c15002i004_moe,c15002i005,c15002i005_moe,c15002i006,c15002i006_moe,c15002i007,c15002i007_moe,c15002i008,c15002i008_moe,c15002i009,c15002i009_moe,c15002i010,c15002i010_moe,c15002i011,c15002i011_moe
BK09,Brooklyn Heights-Cobble Hill,1387,302,644,184,72,62,106,64,142,106,324,109,743,198,71,50,121,97,192,120,359,127
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2809,428,1113,245,292,134,308,134,201,112,312,142,1696,272,488,170,586,198,320,133,302,134
BK19,Brighton Beach,2386,441,1111,250,406,149,558,182,137,94,10,36,1275,260,504,172,485,171,85,66,201,113
BK21,Seagate-Coney Island,4000,535,1647,326,975,260,384,155,205,149,83,67,2353,327,1062,217,620,165,422,169,249,133
BK23,West Brighton,116,109,1,24,0,27,1,24,0,27,0,27,115,109,24,35,0,27,59,93,32,55
BK25,Homecrest,1984,472,1128,321,599,214,284,166,149,109,96,112,856,204,464,164,180,87,72,58,140,82
BK26,Gravesend,2534,465,1162,263,529,183,401,163,165,90,67,69,1372,306,690,232,208,130,235,123,239,127
BK27,Bath Beach,2114,504,1167,358,509,286,429,166,128,70,101,73,947,239,336,151,292,148,145,76,174,83
BK28,Bensonhurst West,7716,919,4109,596,2137,464,1344,314,462,163,166,120,3607,441,1608,315,1026,244,502,162,471,147
BK29,Bensonhurst East,4701,667,2591,424,1052,281,762,234,425,153,352,140,2110,336,1028,219,491,172,379,150,212,99
BK30,Dyker Heights,2568,470,1193,321,378,192,437,181,226,106,152,89,1375,280,332,120,215,99,431,150,397,156
BK31,Bay Ridge,8334,721,3633,446,806,234,1258,267,808,223,761,202,4701,470,1093,290,966,217,1087,216,1555,262
BK32,Sunset Park West,20676,1134,11536,830,5510,584,2766,406,1908,327,1352,285,9140,528,4774,425,1831,296,1449,240,1086,198
BK33,Carroll Gardens-Columbia Street-Red Hook,5678,640,2344,369,853,214,596,212,386,158,509,162,3334,417,1215,246,640,182,603,185,876,255
BK34,Sunset Park East,14276,989,6981,665,3653,505,2020,352,757,187,551,201,7295,519,3598,418,1823,272,1215,236,659,174
BK35,Stuyvesant Heights,7768,762,3576,514,1813,352,753,212,633,185,377,148,4192,445,1454,252,1029,248,993,228,716,180
BK37,Park Slope-Gowanus,8662,856,4509,537,1157,311,879,233,1207,284,1266,268,4153,487,1175,228,1067,270,771,232,1140,233
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5578,548,2403,361,1047,237,522,172,410,146,424,132,3175,342,1251,187,740,203,562,164,622,182
BK40,Windsor Terrace,2123,365,948,204,118,75,148,86,324,136,358,134,1175,244,267,117,211,120,241,110,456,146
BK41,Kensington-Ocean Parkway,3259,575,1718,360,654,199,637,266,243,123,184,95,1541,306,537,168,444,194,340,146,220,104
BK42,Flatbush,12331,1117,6112,696,2306,421,1894,397,1232,284,680,193,6219,622,2486,370,1750,389,891,200,1092,241
BK43,Midwood,2089,447,1196,323,384,192,431,163,346,216,35,55,893,245,147,82,289,116,255,156,202,114
BK44,Madison,1583,394,695,216,239,117,167,84,170,102,119,87,888,268,193,100,133,88,336,183,226,122
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2526,465,1089,275,106,71,330,142,403,151,250,128,1437,308,125,89,402,188,462,158,448,136
BK46,Ocean Parkway South,987,362,506,232,281,202,134,100,70,59,21,40,481,181,203,106,135,134,63,42,80,54
BK50,Canarsie,4604,601,2084,353,740,210,574,165,578,187,192,121,2520,352,562,166,785,192,646,178,527,173
BK58,Flatlands,3378,493,1508,285,422,166,577,166,350,126,159,85,1870,280,342,124,626,164,508,143,394,128
BK60,Prospect Lefferts Gardens-Wingate,4411,666,1721,390,491,220,662,202,412,182,156,111,2690,423,535,164,779,223,825,265,551,204
BK61,Crown Heights North,7288,845,3482,573,1412,385,1085,269,611,181,374,131,3806,496,1393,293,757,196,1070,242,586,167
BK63,Crown Heights South,2150,410,1054,264,500,229,208,96,189,102,157,96,1096,225,420,138,339,135,183,83,154,82
BK64,Prospect Heights,1833,382,853,216,122,78,183,121,183,104,365,153,980,245,274,147,151,83,160,96,395,141
BK68,Fort Greene,3318,475,1556,345,733,273,220,113,267,126,336,141,1762,288,684,155,349,122,284,114,445,161
BK69,Clinton Hill,3618,475,1935,351,544,183,388,180,505,171,498,166,1683,267,532,139,407,147,247,90,497,155
BK72,Williamsburg,2399,394,1042,240,591,187,170,103,189,94,92,101,1357,232,759,233,275,104,276,120,47,62
BK73,North Side-South Side,11080,742,4673,494,2360,384,846,228,754,205,713,209,6407,489,2823,322,1233,231,1207,250,1144,270
BK75,Bedford,7742,774,3347,552,1554,358,765,246,755,200,273,109,4395,417,1751,259,1084,218,931,203,629,162
BK76,Greenpoint,3440,519,1504,277,405,140,465,156,226,101,408,154,1936,316,626,145,300,126,392,160,618,189
BK77,Bushwick North,26853,1249,13457,889,8328,770,2916,478,1331,268,882,222,13396,695,7730,576,2456,359,2108,322,1102,248
BK78,Bushwick South,25240,1329,11635,835,5083,572,3414,455,2354,384,784,208,13605,746,6372,536,3021,417,2643,358,1569,287
BK79,Ocean Hill,3271,454,1629,289,557,167,534,173,471,153,67,60,1642,257,632,169,441,134,255,100,314,123
BK81,Brownsville,5486,621,1706,345,826,237,532,182,289,122,59,67,3780,435,1542,284,1210,288,840,211,188,119
BK82,East New York,14246,998,6196,623,2622,474,2273,375,822,207,479,165,8050,574,2726,334,3050,389,1593,263,681,175
BK83,Cypress Hills-City Line,16256,1087,7326,665,2259,390,3208,399,1275,241,584,198,8930,607,3035,365,3340,373,1713,302,842,206
BK85,East New York (Pennsylvania Ave),4452,574,1806,369,694,197,760,243,261,120,91,84,2646,346,1221,230,603,171,666,190,156,82
BK88,Borough Park,7066,869,4015,625,2051,502,1255,337,407,154,302,136,3051,385,1440,298,953,230,444,151,214,109
BK90,East Williamsburg,7528,667,3310,434,1457,328,667,190,860,244,326,122,4218,406,1719,255,967,228,935,238,597,161
BK91,East Flatbush-Farragut,2240,421,989,225,238,122,361,147,252,106,138,89,1251,260,253,111,297,118,441,176,260,96
BK93,Starrett City,1444,410,425,223,95,100,235,148,95,103,0,24,1019,295,198,119,250,162,341,160,230,203
BK95,Erasmus,1486,350,733,211,269,122,315,158,96,67,53,51,753,189,167,90,397,154,134,70,55,53
BK96,Rugby-Remsen Village,1585,381,746,244,221,133,333,185,171,112,21,54,839,237,213,130,288,130,208,104,130,89
