area_id,area_name,b13002b001,b13002b001_moe,b13002b002,b13002b002_moe,b13002b003,b13002b003_moe,b13002b004,b13002b004_moe,b13002b005,b13002b005_moe,b13002b006,b13002b006_moe,b13002b007,b13002b007_moe
BK09,Brooklyn Heights-Cobble Hill,308,127,12,33,12,33,0,29,296,126,35,39,261,119
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1184,262,141,110,13,57,128,108,1043,225,265,120,778,214
BK19,Brighton Beach,138,94,5,38,0,38,5,38,133,94,48,70,85,71
BK21,Seagate-Coney Island,3176,481,213,117,36,56,177,108,2963,455,556,188,2407,411
BK23,West Brighton,28,40,0,27,0,27,0,27,28,40,0,27,28,40
BK25,Homecrest,75,67,0,48,0,48,0,48,75,67,26,53,49,63
BK26,Gravesend,831,251,0,36,0,36,0,36,831,251,138,87,693,234
BK27,Bath Beach,139,90,0,40,0,40,0,40,139,90,106,84,33,51
BK28,Bensonhurst West,258,122,21,66,0,64,21,66,237,119,115,90,122,97
BK29,Bensonhurst East,134,96,0,51,0,51,0,51,134,96,58,64,76,76
BK30,Dyker Heights,233,150,0,51,0,51,0,51,233,150,52,68,181,142
BK31,Bay Ridge,547,161,49,85,9,66,40,84,498,150,171,107,327,123
BK32,Sunset Park West,541,151,16,53,2,49,14,53,525,148,125,84,400,135
BK33,Carroll Gardens-Columbia Street-Red Hook,1417,315,61,71,13,47,48,70,1356,300,228,111,1128,293
BK34,Sunset Park East,672,218,16,57,16,57,0,59,656,217,179,102,477,169
BK35,Stuyvesant Heights,13889,851,749,201,251,117,498,163,13140,846,2924,385,10216,771
BK37,Park Slope-Gowanus,1251,264,21,61,0,58,21,61,1230,262,360,155,870,218
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2868,374,161,100,28,53,133,95,2707,371,461,133,2246,373
BK40,Windsor Terrace,454,166,21,36,0,32,21,36,433,165,114,92,319,139
BK41,Kensington-Ocean Parkway,737,242,82,74,82,74,0,40,655,232,267,131,388,145
BK42,Flatbush,16318,991,823,214,381,149,442,162,15495,984,4013,432,11482,855
BK43,Midwood,775,199,4,50,4,50,0,51,771,199,233,119,538,176
BK44,Madison,145,93,0,46,0,46,0,46,145,93,23,48,122,91
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1597,315,41,76,41,76,0,55,1556,312,753,203,803,243
BK46,Ocean Parkway South,59,49,0,36,0,36,0,36,59,49,21,38,38,45
BK50,Canarsie,21897,935,825,196,472,159,353,133,21072,928,6937,495,14135,805
BK58,Flatlands,14700,761,450,142,163,90,287,123,14250,757,4361,390,9889,677
BK60,Prospect Lefferts Gardens-Wingate,15094,958,654,203,343,150,311,147,14440,941,4152,441,10288,819
BK61,Crown Heights North,22802,1114,1138,255,330,138,808,220,21664,1094,5494,526,16170,982
BK63,Crown Heights South,7237,651,492,150,169,97,323,123,6745,642,1733,291,5012,566
BK64,Prospect Heights,1388,272,15,34,13,36,2,30,1373,273,297,127,1076,277
BK68,Fort Greene,3479,362,109,80,42,53,67,68,3370,360,542,159,2828,348
BK69,Clinton Hill,4000,444,228,104,109,73,119,81,3772,429,1030,214,2742,367
BK72,Williamsburg,190,100,15,42,0,36,15,42,175,92,47,54,128,80
BK73,North Side-South Side,873,248,27,55,0,48,27,55,846,245,157,104,689,225
BK75,Bedford,11350,748,489,145,128,84,361,129,10861,738,2464,329,8397,655
BK76,Greenpoint,79,63,0,42,0,42,0,42,79,63,19,44,60,59
BK77,Bushwick North,2257,409,115,86,44,68,71,76,2142,399,662,177,1480,322
BK78,Bushwick South,6896,649,260,128,66,83,194,112,6636,627,1452,255,5184,562
BK79,Ocean Hill,8165,546,357,109,168,88,189,78,7808,542,2499,305,5309,503
BK81,Brownsville,14670,787,547,180,155,108,392,148,14123,776,2755,350,11368,748
BK82,East New York,19720,951,910,214,205,100,705,198,18810,934,4320,440,14490,846
BK83,Cypress Hills-City Line,4151,529,228,115,110,84,118,90,3923,513,1574,287,2349,388
BK85,East New York (Pennsylvania Ave),6807,517,261,107,68,70,193,86,6546,506,1550,248,4996,472
BK88,Borough Park,170,94,18,71,18,71,0,68,152,91,51,79,101,80
BK90,East Williamsburg,959,241,80,69,6,39,74,71,879,223,92,65,787,218
BK91,East Flatbush-Farragut,13434,737,574,168,325,139,249,106,12860,735,3379,364,9481,682
BK93,Starrett City,2373,466,127,114,0,24,127,114,2246,454,362,157,1884,430
BK95,Erasmus,7834,655,396,139,148,84,248,116,7438,641,2274,289,5164,545
BK96,Rugby-Remsen Village,14628,807,829,215,416,154,413,136,13799,786,4211,380,9588,709
BK99,park-cemetery-etc-Brooklyn,19,48,0,40,0,40,0,40,19,48,0,40,19,48
BX01,Claremont-Bathgate,4650,506,232,112,71,65,161,98,4418,498,942,202,3476,432
BX03,Eastchester-Edenwald-Baychester,8177,751,180,100,95,79,85,74,7997,747,2357,340,5640,655
BX05,Bedford Park-Fordham North,3513,516,250,132,158,108,92,94,3263,511,911,231,2352,427
BX06,Belmont,1802,329,91,67,17,33,74,61,1711,326,347,128,1364,287
BX07,Bronxdale,3118,404,114,86,41,59,73,72,3004,395,783,201,2221,349
BX08,West Farms-Bronx River,3155,519,213,113,89,67,124,95,2942,509,823,200,2119,426
BX09,Soundview-Castle Hill-Clason Point-Harding Park,5962,607,157,103,93,81,64,73,5805,589,1191,251,4614,558
BX10,Pelham Bay-Country Club-City Island,269,170,0,34,0,34,0,34,269,170,16,35,253,168
BX13,Co-op City,6413,771,229,180,180,163,49,84,6184,783,1720,390,4464,697
BX14,East Concourse-Concourse Village,6996,657,219,114,86,80,133,95,6777,645,1943,326,4834,585
BX17,East Tremont,4398,486,257,102,139,81,118,69,4141,483,893,213,3248,425
BX22,North Riverdale-Fieldston-Riverdale,519,143,0,38,0,38,0,38,519,143,180,96,339,138
BX26,Highbridge,4312,520,366,130,189,96,177,91,3946,509,1281,262,2665,390
BX27,Hunts Point,2274,347,130,72,43,45,87,63,2144,350,579,155,1565,297
BX28,Van Cortlandt Village,3497,463,175,126,50,61,125,114,3322,433,756,183,2566,416
BX29,Spuyten Duyvil-Kingsbridge,740,200,16,39,8,38,8,39,724,198,210,105,514,167
BX30,Kingsbridge Heights,2010,360,168,120,56,60,112,88,1842,336,374,132,1468,309
BX31,Allerton-Pelham Gardens,2974,390,99,72,74,67,25,47,2875,382,1046,196,1829,308
BX33,Longwood,2332,336,166,103,67,81,99,70,2166,329,521,150,1645,303
BX34,Melrose South-Mott Haven North,4462,624,378,168,64,66,314,160,4084,608,866,205,3218,565
BX35,Morrisania-Melrose,4436,476,301,120,122,72,179,99,4135,460,875,185,3260,430
BX36,University Heights-Morris Heights,5304,520,440,163,181,102,259,134,4864,506,931,219,3933,470
BX37,Van Nest-Morris Park-Westchester Square,771,276,42,55,30,53,12,44,729,273,199,103,530,212
BX39,Mott Haven-Port Morris,5541,624,402,151,81,74,321,141,5139,607,939,198,4200,557
BX40,Fordham South,2822,434,167,105,69,80,98,71,2655,426,462,159,2193,372
BX41,Mount Hope,4868,504,309,125,71,62,238,116,4559,473,1136,215,3423,433
BX43,Norwood,3175,525,264,134,103,70,161,119,2911,511,729,224,2182,428
BX44,Williamsbridge-Olinville,13207,783,751,178,264,111,487,141,12456,777,3686,382,8770,680
BX46,Parkchester,4164,465,177,119,94,87,83,87,3987,444,1217,265,2770,376
BX49,Pelham Parkway,974,203,44,66,44,66,0,38,930,203,389,130,541,174
BX52,Schuylerville-Throgs Neck-Edgewater Park,1377,318,139,105,68,90,71,75,1238,305,310,134,928,263
BX55,Soundview-Bruckner,3239,492,139,88,80,69,59,67,3100,483,701,188,2399,410
BX59,Westchester-Unionport,1518,378,91,92,22,39,69,90,1427,344,386,142,1041,276
BX62,Woodlawn-Wakefield,8514,675,288,126,141,91,147,95,8226,662,2434,321,5792,564
BX63,West Concourse,3484,463,411,162,242,122,169,115,3073,462,917,213,2156,410
BX75,Crotona Park East,1621,300,159,78,20,31,139,74,1462,280,396,131,1066,257
BX98,Rikers Island,537,265,0,17,0,17,0,17,537,265,69,40,468,230
BX99,park-cemetery-etc-Bronx,159,67,23,34,0,32,23,34,136,60,17,31,119,62
MN01,Marble Hill-Inwood,1917,399,59,55,23,40,36,55,1858,391,364,149,1494,365
MN03,Central Harlem North-Polo Grounds,15047,989,871,291,255,156,616,215,14176,947,2862,407,11314,897
MN04,Hamilton Heights,6197,836,161,101,0,46,161,101,6036,843,1271,285,4765,770
MN06,Manhattanville,2360,410,87,70,39,58,48,49,2273,408,575,178,1698,370
MN09,Morningside Heights,2259,425,41,62,25,57,16,49,2218,422,585,195,1633,359
MN11,Central Harlem South,8399,700,300,160,61,53,239,154,8099,694,2039,308,6060,637
MN12,Upper West Side,3564,611,66,90,34,76,32,70,3498,604,396,155,3102,604
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,1276,350,24,55,3,53,21,55,1252,346,218,146,1034,280
MN14,Lincoln Square,832,422,0,48,0,48,0,48,832,422,89,98,743,404
MN15,Clinton,812,258,10,46,0,43,10,46,802,255,86,61,716,253
MN17,Midtown-Midtown South,299,120,0,51,0,51,0,51,299,120,26,55,273,117
MN19,Turtle Bay-East Midtown,276,138,0,48,0,48,0,48,276,138,33,57,243,138
MN20,Murray Hill-Kips Bay,526,269,24,55,24,55,0,42,502,257,68,67,434,238
MN21,Gramercy,312,134,12,36,12,36,0,34,300,133,24,39,276,129
MN22,East Village,584,258,41,60,0,40,41,60,543,254,159,118,384,222
MN23,West Village,486,191,0,56,0,56,0,56,486,191,92,74,394,183
MN24,SoHo-TriBeCa-Civic Center-Little Italy,238,120,0,42,0,42,0,42,238,120,65,64,173,103
MN25,Battery Park City-Lower Manhattan,401,195,0,42,0,42,0,42,401,195,81,80,320,181
MN27,Chinatown,369,156,15,46,2,43,13,47,354,147,19,38,335,143
MN28,Lower East Side,2137,419,95,83,0,56,95,83,2042,412,326,146,1716,343
MN31,Lenox Hill-Roosevelt Island,1087,323,75,91,71,95,4,47,1012,308,289,148,723,263
MN32,Yorkville,879,294,0,50,0,50,0,50,879,294,174,99,705,272
MN33,East Harlem South,4748,594,193,103,102,91,91,69,4555,586,774,212,3781,533
MN34,East Harlem North,7259,774,376,202,74,96,302,179,6883,715,1260,273,5623,712
MN35,Washington Heights North,1431,352,91,73,57,72,34,53,1340,347,266,143,1074,310
MN36,Washington Heights South,4004,546,133,85,55,65,78,78,3871,539,921,285,2950,505
MN40,Upper East Side-Carnegie Hill,182,101,12,56,0,52,12,56,170,98,55,70,115,80
MN50,Stuyvesant Town-Cooper Village,284,162,0,22,0,22,0,22,284,162,110,86,174,143
MN99,park-cemetery-etc-Manhattan,91,86,2,30,2,30,0,32,89,86,31,50,58,59
QN01,South Jamaica,7337,612,295,110,106,80,189,85,7042,604,1970,251,5072,551
QN02,Springfield Gardens North,6901,679,270,131,71,64,199,126,6631,657,1840,351,4791,592
QN03,Springfield Gardens South-Brookville,4993,434,270,111,142,85,128,80,4723,425,1498,248,3225,356
QN05,Rosedale,7159,631,411,149,206,105,205,110,6748,622,2297,304,4451,538
QN06,Jamaica Estates-Holliswood,1772,354,41,55,41,55,0,36,1731,351,633,186,1098,276
QN07,Hollis,3964,411,217,92,140,74,77,63,3747,417,1024,196,2723,383
QN08,St. Albans,12826,697,471,136,133,93,338,115,12355,694,3948,363,8407,609
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,674,176,77,83,71,81,6,38,597,168,190,102,407,140
QN12,Hammels-Arverne-Edgemere,6521,629,513,186,113,86,400,161,6008,601,1647,283,4361,529
QN15,Far Rockaway-Bayswater,7222,720,414,163,76,61,338,159,6808,702,1649,294,5159,616
QN17,Forest Hills,710,243,8,64,0,64,8,64,702,242,212,140,490,198
QN18,Rego Park,329,132,6,34,0,34,6,34,323,132,52,55,271,123
QN19,Glendale,68,67,0,43,0,43,0,43,68,67,5,43,63,67
QN20,Ridgewood,517,157,62,93,0,56,62,93,455,138,157,77,298,116
QN21,Middle Village,105,70,0,51,0,51,0,51,105,70,76,60,29,55
QN22,Flushing,833,241,140,139,73,114,67,92,693,204,211,108,482,154
QN23,College Point,206,109,0,34,0,34,0,34,206,109,42,41,164,97
QN25,Corona,2466,456,225,130,158,120,67,67,2241,455,693,227,1548,375
QN26,North Corona,568,176,57,57,34,52,23,50,511,167,146,79,365,126
QN27,East Elmhurst,1274,283,84,62,48,54,36,43,1190,277,284,92,906,254
QN28,Jackson Heights,764,257,49,81,38,77,11,69,715,233,228,125,487,196
QN29,Elmhurst,297,128,0,60,0,60,0,60,297,128,74,74,223,118
QN30,Maspeth,106,79,11,47,11,47,0,45,95,77,29,50,66,69
QN31,Hunters Point-Sunnyside-West Maspeth,305,134,22,64,22,64,0,56,283,131,131,91,152,96
QN33,Cambria Heights,4730,454,171,81,104,67,67,61,4559,438,1562,212,2997,378
QN34,Queens Village,8251,587,335,125,184,99,151,93,7916,571,2656,298,5260,486
QN35,Briarwood-Jamaica Hills,1383,325,0,47,0,47,0,47,1383,325,333,153,1050,270
QN37,Kew Gardens Hills,905,209,33,50,33,50,0,40,872,213,326,144,546,150
QN38,Pomonok-Flushing Heights-Hillcrest,1209,315,124,95,71,70,53,73,1085,307,175,124,910,256
QN41,Fresh Meadows-Utopia,297,178,0,27,0,27,0,27,297,178,72,67,225,176
QN42,Oakland Gardens,196,131,0,34,0,34,0,34,196,131,34,50,162,107
QN43,Bellerose,570,207,24,50,24,50,0,34,546,205,199,93,347,154
QN44,Glen Oaks-Floral Park-New Hyde Park,285,185,0,32,0,32,0,32,285,185,46,43,239,177
QN45,Douglas Manor-Douglaston-Little Neck,304,249,9,35,9,35,0,34,295,248,74,88,221,206
QN46,Bayside-Bayside Hills,375,146,0,51,0,51,0,51,375,146,91,73,284,130
QN47,Ft. Totten-Bay Terrace-Clearview,115,121,0,34,0,34,0,34,115,121,22,41,93,119
QN48,Auburndale,97,67,13,32,10,34,3,30,84,61,11,34,73,53
QN49,Whitestone,27,50,2,36,0,38,2,36,25,52,22,50,3,39
QN50,Elmhurst-Maspeth,60,62,0,34,0,34,0,34,60,62,15,33,45,47
QN51,Murray Hill,187,107,21,54,0,50,21,54,166,96,59,69,107,85
QN52,East Flushing,205,166,0,42,0,42,0,42,205,166,85,70,120,123
QN53,Woodhaven,1414,318,133,88,67,73,66,71,1281,300,342,114,939,248
QN54,Richmond Hill,2127,339,96,74,34,62,62,72,2031,326,825,212,1206,230
QN55,South Ozone Park,5916,612,334,130,170,108,164,94,5582,587,2007,290,3575,483
QN56,Ozone Park,502,239,1,32,0,36,1,32,501,239,139,86,362,221
