area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
BK09,Brooklyn Heights-Cobble Hill,547,177,263,135,198,127,54,52,0,29,0,29,11,32,284,128,115,95,146,81,0,29,0,29,23,46
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,409,223,174,106,101,88,66,74,7,55,0,55,0,55,235,137,134,96,77,84,16,60,0,55,8,55
BK19,Brighton Beach,697,336,320,156,224,146,96,68,0,38,0,38,0,38,377,207,143,105,148,77,0,38,11,40,75,99
BK21,Seagate-Coney Island,347,197,201,160,139,154,28,43,0,38,16,43,18,39,146,80,56,65,54,55,23,50,4,37,9,40
BK23,West Brighton,37,48,24,35,0,27,24,35,0,27,0,27,0,27,13,31,0,27,6,26,7,27,0,27,0,27
BK25,Homecrest,490,370,273,226,145,147,66,64,0,48,17,50,45,84,217,156,122,94,47,61,0,48,11,50,37,75
BK26,Gravesend,220,131,88,80,40,67,48,52,0,36,0,36,0,36,132,92,66,58,28,45,0,36,21,39,17,42
BK27,Bath Beach,221,115,152,84,31,50,87,65,0,40,13,39,21,44,69,52,12,41,34,47,16,41,6,39,1,38
BK28,Bensonhurst West,395,143,229,107,93,81,129,85,0,64,2,63,5,63,166,85,34,69,76,68,0,64,13,66,43,71
BK29,Bensonhurst East,533,229,299,156,149,118,143,94,0,51,7,51,0,51,234,107,82,68,144,93,0,51,0,51,8,51
BK30,Dyker Heights,295,181,153,126,97,96,51,59,5,50,0,51,0,51,142,96,79,75,63,64,0,51,0,51,0,51
BK31,Bay Ridge,1030,301,512,177,212,111,244,121,29,67,18,71,9,66,518,175,337,131,132,90,13,68,16,66,20,66
BK32,Sunset Park West,1192,314,777,233,465,189,217,106,47,68,8,50,40,56,415,137,211,91,117,77,11,51,22,51,54,71
BK33,Carroll Gardens-Columbia Street-Red Hook,856,253,299,116,210,102,66,56,23,57,0,45,0,45,557,209,404,192,97,62,15,49,14,48,27,46
BK34,Sunset Park East,820,254,369,177,181,121,145,81,12,61,0,59,31,70,451,156,301,136,81,72,10,60,9,58,50,69
BK35,Stuyvesant Heights,753,229,404,164,231,118,103,78,1,52,0,51,69,66,349,127,182,95,59,70,25,63,25,57,58,60
BK37,Park Slope-Gowanus,1586,283,778,202,455,165,264,114,6,58,0,58,53,71,808,186,371,147,288,103,8,58,54,65,87,89
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1012,219,421,133,152,80,143,79,17,47,41,56,68,65,591,164,352,131,120,70,24,44,21,43,74,66
BK40,Windsor Terrace,430,180,193,108,85,68,86,65,0,32,0,32,22,35,237,125,160,105,39,43,0,32,6,31,32,43
BK41,Kensington-Ocean Parkway,587,222,279,124,95,57,173,99,0,40,11,42,0,40,308,138,88,71,157,98,0,40,9,40,54,50
BK42,Flatbush,1512,367,652,211,304,157,274,118,42,80,12,68,20,73,860,232,338,146,312,119,0,68,37,72,173,115
BK43,Midwood,532,199,278,119,46,68,206,99,23,68,0,51,3,50,254,116,84,72,126,77,6,50,22,61,16,52
BK44,Madison,184,96,120,75,38,49,82,62,0,46,0,46,0,46,64,56,21,50,33,48,10,47,0,46,0,46
