area_id,area_name,b18103001,b18103001_moe,b18103002,b18103002_moe,b18103003,b18103003_moe,b18103004,b18103004_moe,b18103005,b18103005_moe,b18103006,b18103006_moe,b18103007,b18103007_moe,b18103008,b18103008_moe,b18103009,b18103009_moe,b18103010,b18103010_moe,b18103011,b18103011_moe,b18103012,b18103012_moe,b18103013,b18103013_moe,b18103014,b18103014_moe,b18103015,b18103015_moe,b18103016,b18103016_moe,b18103017,b18103017_moe,b18103018,b18103018_moe,b18103019,b18103019_moe,b18103020,b18103020_moe,b18103021,b18103021_moe,b18103022,b18103022_moe,b18103023,b18103023_moe,b18103024,b18103024_moe,b18103025,b18103025_moe,b18103026,b18103026_moe,b18103027,b18103027_moe,b18103028,b18103028_moe,b18103029,b18103029_moe,b18103030,b18103030_moe,b18103031,b18103031_moe,b18103032,b18103032_moe,b18103033,b18103033_moe,b18103034,b18103034_moe,b18103035,b18103035_moe,b18103036,b18103036_moe,b18103037,b18103037_moe,b18103038,b18103038_moe,b18103039,b18103039_moe
BK85,East New York (Pennsylvania Ave),29811,1192,13048,771,1083,235,7,36,1076,234,3759,416,64,49,3695,412,3440,428,37,44,3403,428,3969,423,65,58,3904,423,564,143,56,56,508,134,233,74,77,49,156,69,16763,805,1603,304,0,36,1603,304,3476,403,53,50,3423,399,4308,389,31,51,4277,390,6211,403,213,98,5998,395,719,135,117,81,602,122,446,118,48,50,398,110
BK88,Borough Park,105873,2868,54578,1718,7361,598,29,70,7332,596,14201,927,80,74,14121,927,13888,802,96,84,13792,796,15010,719,247,129,14763,717,1937,251,80,71,1857,248,2181,252,213,88,1968,242,51295,1555,6367,562,23,66,6344,560,12354,876,30,67,12324,875,12110,657,19,68,12091,658,14822,637,269,117,14553,633,1937,238,134,89,1803,234,3705,389,478,130,3227,361
BK90,East Williamsburg,33139,1146,15571,849,738,187,0,40,738,187,1660,294,0,40,1660,294,6112,586,0,40,6112,586,5266,476,109,91,5157,455,884,204,19,44,865,203,911,189,179,90,732,175,17568,780,603,184,0,40,603,184,1211,245,8,40,1203,243,7276,587,55,57,7221,587,5846,411,204,107,5642,412,1244,206,95,62,1149,201,1388,217,226,82,1162,211
BK91,East Flatbush-Farragut,52647,1676,23214,976,1337,255,0,54,1337,255,3991,455,0,54,3991,455,6180,588,59,83,6121,577,9031,528,164,88,8867,523,1695,234,37,59,1658,234,980,188,93,67,887,181,29433,1083,1732,308,22,62,1710,307,4367,451,14,56,4353,452,7097,559,12,55,7085,559,12043,580,211,111,11832,572,2459,281,86,70,2373,275,1735,242,169,77,1566,235
BK93,Starrett City,12813,807,4442,627,277,134,0,24,277,134,1082,379,0,24,1082,379,1011,310,0,24,1011,310,1025,253,68,55,957,246,389,137,42,39,347,130,658,198,97,61,561,201,8371,565,349,217,0,24,349,217,947,213,30,52,917,210,1667,396,17,33,1650,396,3186,363,117,88,3069,364,976,214,112,75,864,195,1246,244,310,119,936,221
BK95,Erasmus,29894,1514,13693,924,1111,255,0,36,1111,255,2889,437,0,36,2889,437,3633,479,0,36,3633,479,4934,449,93,71,4841,451,652,156,9,37,643,156,474,121,109,69,365,103,16201,945,993,220,0,36,993,220,2408,396,0,36,2408,396,4306,510,9,35,4297,510,6577,432,161,104,6416,427,1068,182,48,39,1020,181,849,171,99,64,750,168
BK96,Rugby-Remsen Village,56082,1881,25136,1082,1988,352,0,54,1988,352,4687,490,6,53,4681,490,6178,579,48,63,6130,579,9394,608,196,119,9198,593,1784,251,104,74,1680,247,1105,215,121,82,984,207,30946,1253,1902,342,0,54,1902,342,3961,479,0,54,3961,479,7141,600,106,89,7035,597,13700,659,297,114,13403,660,2478,286,106,72,2372,283,1764,293,191,98,1573,266
BK99,park-cemetery-etc-Brooklyn,416,260,180,121,28,60,0,40,28,60,18,48,0,40,18,48,79,71,0,40,79,71,55,67,27,58,28,52,0,40,0,40,0,40,0,40,0,40,0,40,236,152,0,40,0,40,0,40,82,94,0,40,82,94,78,62,19,48,59,62,59,60,0,40,59,60,0,40,0,40,0,40,17,46,17,46,0,40
BX01,Claremont-Bathgate,30363,1361,13636,910,1409,323,0,40,1409,323,3792,497,0,40,3792,497,3730,470,26,46,3704,471,4006,434,253,106,3753,418,480,181,37,60,443,182,219,87,27,50,192,81,16727,876,1196,236,0,40,1196,236,3397,457,10,39,3387,455,4723,476,54,59,4669,475,6051,411,134,71,5917,406,824,205,46,49,778,201,536,146,91,61,445,142
BX03,Eastchester-Edenwald-Baychester,36345,1801,16198,1098,1207,336,0,40,1207,336,3914,533,39,52,3875,535,4026,530,0,40,4026,530,5599,594,217,132,5382,593,1099,245,97,92,1002,234,353,119,69,65,284,106,20147,1152,1083,324,15,45,1068,317,3938,536,14,43,3924,535,4634,509,21,50,4613,508,8415,563,231,115,8184,564,1173,211,69,56,1104,205,904,197,138,80,766,181
BX05,Bedford Park-Fordham North,52440,1964,24922,1392,2218,398,0,50,2218,398,5196,636,59,58,5137,633,7041,798,27,54,7014,798,9144,742,213,96,8931,733,984,241,92,90,892,227,339,133,0,50,339,133,27518,1225,2062,384,0,50,2062,384,5384,633,56,65,5328,633,7457,650,99,75,7358,651,10260,573,435,147,9825,562,1500,265,171,88,1329,255,855,190,145,102,710,167
BX06,Belmont,25783,1376,12173,857,1082,260,0,34,1082,260,2702,404,14,37,2688,406,4274,526,51,62,4223,520,3440,436,91,69,3349,440,435,133,63,64,372,130,240,100,22,34,218,98,13610,900,1063,273,13,37,1050,272,2330,383,17,32,2313,384,5025,514,26,41,4999,515,3896,346,109,84,3787,343,703,185,115,80,588,177,593,153,54,46,539,149
BX07,Bronxdale,33389,1344,15904,969,1100,254,20,47,1080,255,2942,380,0,38,2942,380,4448,608,12,40,4436,607,5987,578,210,113,5777,580,779,170,139,92,640,158,648,160,127,80,521,144,17485,853,1023,268,10,39,1013,268,2724,391,46,53,2678,387,4170,450,106,76,4064,448,6943,431,245,99,6698,430,1386,243,260,138,1126,208,1239,214,211,98,1028,197
BX08,West Farms-Bronx River,35316,1713,17169,1095,1484,344,0,40,1484,344,3615,526,20,40,3595,525,5020,657,103,100,4917,659,5966,562,113,72,5853,564,755,196,48,42,707,190,329,127,20,46,309,124,18147,1040,1796,356,35,53,1761,354,2916,423,28,47,2888,421,5405,519,27,47,5378,519,6113,475,157,88,5956,476,971,216,111,66,860,211,946,198,138,92,808,174
BX09,Soundview-Castle Hill-Clason Point-Harding Park,53551,1865,23881,1157,1711,326,21,59,1690,324,5286,581,39,58,5247,580,6177,686,43,70,6134,684,8306,646,250,110,8056,642,1535,266,52,55,1483,264,866,205,117,95,749,185,29670,1291,1567,291,0,50,1567,291,4787,570,0,50,4787,570,7138,710,31,54,7107,710,11972,613,349,122,11623,612,2594,328,124,72,2470,328,1612,265,181,81,1431,261
BX10,Pelham Bay-Country Club-City Island,25888,1306,12165,819,595,217,0,34,595,217,1483,397,24,45,1459,391,2710,515,37,54,2673,515,5535,515,40,44,5495,517,899,195,0,34,899,195,943,216,120,77,823,206,13723,845,513,220,0,34,513,220,1734,359,13,38,1721,360,2845,419,29,43,2816,416,5371,474,173,131,5198,474,1204,205,37,50,1167,201,2056,283,297,132,1759,276
BX13,Co-op City,42816,1753,18598,1256,883,283,0,33,883,283,2821,507,22,45,2799,504,3973,612,79,95,3894,613,7744,686,218,162,7526,713,1753,321,247,140,1506,291,1424,281,65,72,1359,278,24218,1193,886,256,0,33,886,256,3350,535,80,82,3270,531,4224,657,16,39,4208,657,10720,704,408,228,10312,717,2682,357,144,114,2538,348,2356,360,257,121,2099,361
BX14,East Concourse-Concourse Village,62732,2156,30322,1472,2483,441,9,52,2474,441,6567,685,26,56,6541,684,8641,846,62,72,8579,846,10280,867,183,95,10097,870,1606,282,111,89,1495,274,745,190,190,108,555,164,32410,1370,2377,403,0,51,2377,403,6076,649,12,55,6064,649,8234,717,120,87,8114,712,12142,661,299,131,11843,664,2134,312,150,88,1984,311,1447,256,245,121,1202,242
BX17,East Tremont,41380,1622,18644,1175,1898,328,0,45,1898,328,4953,504,16,48,4937,504,5108,673,12,45,5096,673,5733,534,172,116,5561,540,563,131,61,58,502,124,389,143,14,47,375,143,22736,960,1639,306,17,52,1622,306,4591,525,47,55,4544,523,6027,510,27,50,6000,510,8317,450,323,142,7994,447,1345,226,138,80,1207,216,817,158,123,74,694,155
BX22,North Riverdale-Fieldston-Riverdale,25943,1160,12487,733,843,207,0,38,843,207,1599,308,19,40,1580,304,3095,417,31,56,3064,411,4938,376,57,61,4881,366,1074,182,39,49,1035,183,938,180,42,48,896,178,13456,718,786,236,0,38,786,236,1660,341,7,38,1653,340,3192,348,21,42,3171,343,4940,336,79,67,4861,331,1231,194,34,63,1197,185,1647,249,167,129,1480,232
BX26,Highbridge,36942,1403,17410,901,1753,345,47,68,1706,338,4046,449,95,78,3951,440,4563,541,86,103,4477,536,6182,526,334,162,5848,517,581,158,76,61,505,151,285,109,25,48,260,104,19532,968,1230,261,10,41,1220,261,4332,514,56,84,4276,514,5396,490,53,54,5343,490,6885,502,227,99,6658,498,1011,206,229,110,782,187,678,171,159,96,519,152
BX27,Hunts Point,26635,1211,12307,738,1226,238,0,38,1226,238,3064,387,0,38,3064,387,3403,416,88,74,3315,416,3671,370,175,86,3496,360,647,151,30,41,617,149,296,100,43,55,253,91,14328,745,1151,228,0,38,1151,228,3199,365,60,55,3139,358,4134,456,150,112,3984,439,4527,329,172,106,4355,332,783,158,144,76,639,156,534,119,99,56,435,107
